Entry	Entry Name	Gene Names	Protein names	Organism	Length	Subcellular location [CC]	Keywords	Gene Ontology (biological process)	Gene Ontology (cellular component)
P0A9J0	RNG_ECOLI	rng cafA orfF yhdF b3247 JW3216	Ribonuclease G (RNase G) (EC 3.1.26.-) (Cytoplasmic axial filament protein) (CafA protein)	Escherichia coli (strain K12)	489	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22509045, ECO:0000305|PubMed:14622423}. Cell inner membrane {ECO:0000269|PubMed:22509045}; Peripheral membrane protein {ECO:0000305|PubMed:22509045}. Cytoplasm, cytoskeleton {ECO:0000303|PubMed:8300545}. Note=Possible cytoskeletal location is upon overproduction. {ECO:0000303|PubMed:8300545}.	Cell cycle;Cell division;Cell inner membrane;Cell membrane;Cytoplasm;Cytoskeleton;Direct protein sequencing;Endonuclease;Hydrolase;Magnesium;Membrane;Metal-binding;Nuclease;Reference proteome;RNA-binding;rRNA processing;rRNA-binding;tRNA processing;tRNA-binding	cell division [GO:0051301]; maturation of SSU-rRNA [GO:0030490]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; plasma membrane [GO:0005886]
P0A9J4	PANE_ECOLI	panE apbA b0425 JW0415	2-dehydropantoate 2-reductase (EC 1.1.1.169) (Ketopantoate reductase) (KPA reductase) (KPR)	Escherichia coli (strain K12)	303	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	3D-structure;Cytoplasm;Direct protein sequencing;NADP;Oxidoreductase;Pantothenate biosynthesis;Reference proteome	pantothenate biosynthetic process [GO:0015940]	cytoplasm [GO:0005737]
P0A9J6	RBSK_ECOLI	rbsK b3752 JW3731	Ribokinase (RK) (EC 2.7.1.15)	Escherichia coli (strain K12)	309	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01987, ECO:0000305}.	3D-structure;ATP-binding;Carbohydrate metabolism;Cytoplasm;Direct protein sequencing;Kinase;Magnesium;Metal-binding;Nucleotide-binding;Potassium;Reference proteome;Transferase	D-ribose catabolic process [GO:0019303]	cytosol [GO:0005829]
P0A9J8	CMPDT_ECOLI	pheA b2599 JW2580	Bifunctional chorismate mutase/prephenate dehydratase (Chorismate mutase-prephenate dehydratase) (P-protein) [Includes: Chorismate mutase (CM) (EC 5.4.99.5); Prephenate dehydratase (PDT) (EC 4.2.1.51)]	Escherichia coli (strain K12)	386	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	3D-structure;Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Cytoplasm;Isomerase;Lyase;Multifunctional enzyme;Phenylalanine biosynthesis;Reference proteome	chorismate metabolic process [GO:0046417]; L-phenylalanine biosynthetic process [GO:0009094]; tyrosine biosynthetic process [GO:0006571]	cytoplasm [GO:0005737]
P0A9K7	PHOU_ECOLI	phoU nmpA b3724 JW3702	Phosphate-specific transport system accessory protein PhoU (Pst system accessory protein PhoU) (Negative regulator of Pho regulon)	Escherichia coli (strain K12)	241	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:3536855}.	Cytoplasm;Direct protein sequencing;Pharmaceutical;Phosphate transport;Reference proteome;Transport	cellular response to antibiotic [GO:0071236]; cellular response to heat [GO:0034605]; cellular response to pH [GO:0071467]; cellular response to phosphate starvation [GO:0016036]; cellular response to starvation [GO:0009267]; intracellular phosphate ion homeostasis [GO:0030643]; negative regulation of gene expression [GO:0010629]; negative regulation of phosphate metabolic process [GO:0045936]; negative regulation of phosphate transmembrane transport [GO:2000186]; phosphate ion transport [GO:0006817]; regulation of cell growth [GO:0001558]	cytoplasm [GO:0005737]
P0A9K9	SLYD_ECOLI	slyD b3349 JW3311	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD (PPIase) (EC 5.2.1.8) (Histidine-rich protein) (Metallochaperone SlyD) (Rotamase) (Sensitivity to lysis protein D) (WHP)	Escherichia coli (strain K12)	196	SUBCELLULAR LOCATION: Cytoplasm.	3D-structure;Chaperone;Cobalt;Copper;Cytoplasm;Direct protein sequencing;Isomerase;Metal-binding;Nickel;Reference proteome;Rotamase;Zinc	protein maturation [GO:0051604]; protein refolding [GO:0042026]; protein stabilization [GO:0050821]; response to heat [GO:0009408]	cytosol [GO:0005829]
P0A9L3	FKBB_ECOLI	fklB ytfC b4207 JW5746	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase (FKBP22) (PPIase) (EC 5.2.1.8) (Rotamase)	Escherichia coli (strain K12)	206	SUBCELLULAR LOCATION: Cytoplasm. Periplasm {ECO:0000269|PubMed:7610040, ECO:0000269|PubMed:8703024}.	Cytoplasm;Direct protein sequencing;Isomerase;Periplasm;Reference proteome;Rotamase	protein folding [GO:0006457]	cytosol [GO:0005829]; periplasmic space [GO:0042597]
P0A9M0	LON_ECOLI	lon capR deg lopA muc b0439 JW0429	Lon protease (EC 3.4.21.53) (ATP-dependent protease La)	Escherichia coli (strain K12)	784	SUBCELLULAR LOCATION: Cytoplasm.	3D-structure;ATP-binding;Cytoplasm;Direct protein sequencing;Hydrolase;Nucleotide-binding;Protease;Reference proteome;Serine protease;Stress response	cellular response to heat [GO:0034605]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]; proteolysis [GO:0006508]; response to heat [GO:0009408]; response to X-ray [GO:0010165]	cytoplasm [GO:0005737]; cytosol [GO:0005829]
P0A9M2	HPRT_ECOLI	hpt b0125 JW5009	Hypoxanthine phosphoribosyltransferase (HPRT) (EC 2.4.2.8) (6-oxopurine phosphoribosyltransferase) (6-oxopurine PRTase)	Escherichia coli (strain K12)	178	SUBCELLULAR LOCATION: Cytoplasm.	3D-structure;Cytoplasm;Glycosyltransferase;Magnesium;Metal-binding;Nucleotide-binding;Purine salvage;Reference proteome;Transferase	GMP salvage [GO:0032263]; guanine salvage [GO:0006178]; hypoxanthine metabolic process [GO:0046100]; IMP salvage [GO:0032264]; protein homotetramerization [GO:0051289]; purine ribonucleoside salvage [GO:0006166]	cytosol [GO:0005829]; protein-containing complex [GO:0032991]
P0A9M5	XGPT_ECOLI	gpt gpp gxu b0238 JW0228	Xanthine-guanine phosphoribosyltransferase (XGPRT) (EC 2.4.2.-) (EC 2.4.2.22) (Xanthine phosphoribosyltransferase)	Escherichia coli (strain K12)	152	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}.	3D-structure;Cell inner membrane;Cell membrane;Direct protein sequencing;Glycosyltransferase;Magnesium;Membrane;Metal-binding;Purine salvage;Reference proteome;Transferase	GMP salvage [GO:0032263]; IMP salvage [GO:0032264]; protein homotetramerization [GO:0051289]; purine ribonucleoside salvage [GO:0006166]; XMP salvage [GO:0032265]	cytosol [GO:0005829]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]
P0A9M8	PTA_ECOLI	pta b2297 JW2294	Phosphate acetyltransferase (EC 2.3.1.8) (Phosphotransacetylase)	Escherichia coli (strain K12)	714	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	3D-structure;Acyltransferase;Cytoplasm;Direct protein sequencing;Reference proteome;Transferase	acetate biosynthetic process [GO:0019413]; acetate catabolic process [GO:0045733]; acetate metabolic process [GO:0006083]; acetyl-CoA biosynthetic process from acetate [GO:0019427]; L-threonine catabolic process to propionate [GO:0070689]	cytosol [GO:0005829]
P0A9N4	PFLA_ECOLI	pflA act b0902 JW0885	Pyruvate formate-lyase 1-activating enzyme (EC 1.97.1.4) (Formate-C-acetyltransferase-activating enzyme 1) (PFL-activating enzyme 1)	Escherichia coli (strain K12)	246	SUBCELLULAR LOCATION: Cytoplasm.	3D-structure;4Fe-4S;Carbohydrate metabolism;Cytoplasm;Direct protein sequencing;Glucose metabolism;Iron;Iron-sulfur;Metal-binding;Oxidoreductase;Reference proteome;S-adenosyl-L-methionine	DNA damage response [GO:0006974]; glucose metabolic process [GO:0006006]; protein maturation [GO:0051604]	cytosol [GO:0005829]
P0A9N8	NRDG_ECOLI	nrdG yjgE b4237 JW4196	Anaerobic ribonucleoside-triphosphate reductase-activating protein (EC 1.97.1.-) (Class III anaerobic ribonucleotide reductase small component)	Escherichia coli (strain K12)	154	SUBCELLULAR LOCATION: Cytoplasm.	4Fe-4S;Cytoplasm;Iron;Iron-sulfur;Metal-binding;Oxidoreductase;Reference proteome;S-adenosyl-L-methionine	2'-deoxyribonucleotide biosynthetic process [GO:0009265]; nucleobase-containing small molecule interconversion [GO:0015949]	anaerobic ribonucleoside-triphosphate reductase complex [GO:0031250]
P0A9P0	DLDH_ECOLI	lpdA lpd b0116 JW0112	Dihydrolipoyl dehydrogenase (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (E3 component of pyruvate and 2-oxoglutarate dehydrogenases complexes) (Glycine cleavage system L protein)	Escherichia coli (strain K12)	474	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16079137}. Cell inner membrane {ECO:0000269|PubMed:16079137}; Peripheral membrane protein {ECO:0000269|PubMed:16079137}.	3D-structure;Acetylation;Cell inner membrane;Cell membrane;Cytoplasm;Direct protein sequencing;Disulfide bond;FAD;Flavoprotein;Membrane;NAD;Oxidoreductase;Redox-active center;Reference proteome	2-oxoglutarate metabolic process [GO:0006103]; glycine decarboxylation via glycine cleavage system [GO:0019464]; one-carbon metabolic process [GO:0006730]; pyruvate catabolic process [GO:0042867]; response to oxidative stress [GO:0006979]; tricarboxylic acid cycle [GO:0006099]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; glycine cleavage complex [GO:0005960]; membrane [GO:0016020]; oxoglutarate dehydrogenase complex [GO:0045252]; plasma membrane [GO:0005886]; pyruvate dehydrogenase complex [GO:0045254]
P0A9P4	TRXB_ECOLI	trxB b0888 JW0871	Thioredoxin reductase (TRXR) (EC 1.8.1.9)	Escherichia coli (strain K12)	321	SUBCELLULAR LOCATION: Cytoplasm.	3D-structure;Cytoplasm;Direct protein sequencing;Disulfide bond;FAD;Flavoprotein;NADP;Oxidoreductase;Redox-active center;Reference proteome	cell redox homeostasis [GO:0045454]; removal of superoxide radicals [GO:0019430]	cytosol [GO:0005829]; thioredoxin-disulfide reductase complex [GO:1902515]
P0A9P6	DEAD_ECOLI	deaD csdA mssB rhlD b3162 JW5531	ATP-dependent RNA helicase DeaD (EC 3.6.4.13) (Cold-shock DEAD box protein A) (Translation factor W2)	Escherichia coli (strain K12)	629	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00964, ECO:0000269|PubMed:8552679}.	3D-structure;ATP-binding;Cytoplasm;Direct protein sequencing;Helicase;Hydrolase;Nucleotide-binding;Reference proteome;RNA-binding;Stress response	cellular response to cold [GO:0070417]; mRNA stabilization [GO:0048255]; positive regulation of translation [GO:0045727]; response to cold [GO:0009409]; response to radiation [GO:0009314]; ribosomal large subunit assembly [GO:0000027]; RNA catabolic process [GO:0006401]	cytosol [GO:0005829]
P0A9Q1	ARCA_ECOLI	arcA cpxC dye fexA msp seg sfrA b4401 JW4364	Aerobic respiration control protein ArcA (Dye resistance protein)	Escherichia coli (strain K12)	238	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	3D-structure;Activator;Cytoplasm;Direct protein sequencing;DNA-binding;Phosphoprotein;Reference proteome;Repressor;Transcription;Transcription regulation;Two-component regulatory system	negative regulation of DNA-templated transcription [GO:0045892]; phosphorelay signal transduction system [GO:0000160]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of DNA-templated transcription [GO:0006355]	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]
P0A9Q5	ACCD_ECOLI	accD dedB usg b2316 JW2313	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	Escherichia coli (strain K12)	304	SUBCELLULAR LOCATION: Cytoplasm.	3D-structure;ATP-binding;Cytoplasm;Fatty acid biosynthesis;Fatty acid metabolism;Lipid biosynthesis;Lipid metabolism;Metal-binding;Nucleotide-binding;Reference proteome;RNA-binding;Transferase;Translation regulation;Zinc;Zinc-finger	fatty acid biosynthetic process [GO:0006633]; long-chain fatty acid biosynthetic process [GO:0042759]; malonyl-CoA biosynthetic process [GO:2001295]; negative regulation of translation [GO:0017148]	acetate CoA-transferase complex [GO:0009329]; acetyl-CoA carboxylase complex [GO:0009317]; cytosol [GO:0005829]
P0A9Q7	ADHE_ECOLI	adhE ana b1241 JW1228	Bifunctional aldehyde-alcohol dehydrogenase AdhE (Alcohol dehydrogenase E) [Includes: Acetaldehyde dehydrogenase [acetylating] (ACDH) (EC 1.2.1.10); Alcohol dehydrogenase (ADH) (EC 1.1.1.1)]	Escherichia coli (strain K12)	891		3D-structure;Acetylation;Direct protein sequencing;Iron;Metal-binding;Multifunctional enzyme;NAD;Oxidoreductase;Reference proteome	carbon utilization [GO:0015976]; ethanol biosynthetic process [GO:0006115]; mixed acid fermentation [GO:0019664]; protein homooligomerization [GO:0051260]; response to oxidative stress [GO:0006979]	cytosol [GO:0005829]; membrane [GO:0016020]
P0A9Q9	DHAS_ECOLI	asd hom b3433 JW3396	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)	Escherichia coli (strain K12)	367		3D-structure;Amino-acid biosynthesis;Diaminopimelate biosynthesis;Direct protein sequencing;Lysine biosynthesis;Methionine biosynthesis;NADP;Oxidoreductase;Reference proteome;Threonine biosynthesis	'de novo' L-methionine biosynthetic process [GO:0071266]; diaminopimelate biosynthetic process [GO:0019877]; DNA damage response [GO:0006974]; homoserine biosynthetic process [GO:0009090]; isoleucine biosynthetic process [GO:0009097]; lysine biosynthetic process via diaminopimelate [GO:0009089]; threonine biosynthetic process [GO:0009088]	cytosol [GO:0005829]
P0A9R4	FER_ECOLI	fdx b2525 JW2509	2Fe-2S ferredoxin	Escherichia coli (strain K12)	111		2Fe-2S;3D-structure;Direct protein sequencing;Electron transport;Iron;Iron-sulfur;Metal-binding;Reference proteome;Transport	electron transport chain [GO:0022900]; iron-sulfur cluster assembly [GO:0016226]; P450-containing electron transport chain [GO:0140647]	cytosol [GO:0005829]
P0A9R7	FTSE_ECOLI	ftsE b3463 JW3428	Cell division ATP-binding protein FtsE	Escherichia coli (strain K12)	222	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:10048040, ECO:0000269|PubMed:3323846}; Peripheral membrane protein {ECO:0000269|PubMed:10048040}; Cytoplasmic side {ECO:0000305}. Note=Associated with the membrane through an interaction with FtsX (PubMed:10048040). Localizes to the septal ring at the later stages of cell growth and remains there until division is complete (PubMed:14729705). This localization is dependent on localization of FtsZ, FtsA and ZipA, but not on the downstream division proteins FtsK, FtsQ or FtsI (PubMed:14729705). {ECO:0000269|PubMed:10048040, ECO:0000269|PubMed:14729705}.	3D-structure;ATP-binding;Cell cycle;Cell division;Cell inner membrane;Cell membrane;Membrane;Nucleotide-binding;Reference proteome	cell division [GO:0051301]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]; peptidoglycan turnover [GO:0009254]; positive regulation of cell division [GO:0051781]; response to antibiotic [GO:0046677]; transmembrane transport [GO:0055085]	ATPase complex [GO:1904949]; cell division site [GO:0032153]; cytoplasm [GO:0005737]; division septum [GO:0000935]; divisome complex [GO:1990586]; extrinsic component of membrane [GO:0019898]; plasma membrane [GO:0005886]; plasma membrane protein complex [GO:0098797]
P0A9S1	FUCO_ECOLI	fucO b2799 JW2770	Lactaldehyde reductase (EC 1.1.1.77) (Propanediol oxidoreductase)	Escherichia coli (strain K12)	382		3D-structure;Carbohydrate metabolism;Fucose metabolism;Iron;Metal-binding;NAD;Nucleotide-binding;Oxidoreductase;Reference proteome	glycol catabolic process [GO:0042846]; L-fucose catabolic process [GO:0042355]; rhamnose catabolic process [GO:0019301]	cytosol [GO:0005829]
P0A9S5	GLDA_ECOLI	gldA b3945 JW5556	Glycerol dehydrogenase (GDH) (GLDH) (EC 1.1.1.6) ((R)-aminopropanol dehydrogenase) (EC 1.1.1.75) (1,2-propanediol dehydrogenase) (D-1-amino-2-propanol oxidoreductase)	Escherichia coli (strain K12)	367		3D-structure;Direct protein sequencing;Glycerol metabolism;Metal-binding;NAD;Oxidoreductase;Reference proteome;Zinc	anaerobic glycerol catabolic process [GO:0019588]; methylglyoxal catabolic process [GO:0051596]; protein homotetramerization [GO:0051289]	cytosol [GO:0005829]; protein-containing complex [GO:0032991]
P0A9S7	LIVG_ECOLI	livG b3455 JW3420	High-affinity branched-chain amino acid transport ATP-binding protein LivG (LIV-I protein G)	Escherichia coli (strain K12)	255		Amino-acid transport;ATP-binding;Nucleotide-binding;Reference proteome;Transport	branched-chain amino acid transport [GO:0015803]; D-alanine transmembrane transport [GO:0042941]; isoleucine transmembrane transport [GO:1903714]; L-alanine transport [GO:0015808]; L-isoleucine import across plasma membrane [GO:1903806]; L-valine import across plasma membrane [GO:1903805]; L-valine transmembrane transport [GO:1903785]; phenylalanine transport [GO:0015823]	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; membrane [GO:0016020]; plasma membrane [GO:0005886]
P0A9T0	SERA_ECOLI	serA b2913 JW2880	D-3-phosphoglycerate dehydrogenase (PGDH) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399)	Escherichia coli (strain K12)	410		3D-structure;Amino-acid biosynthesis;Direct protein sequencing;NAD;Oxidoreductase;Reference proteome;Serine biosynthesis	L-serine biosynthetic process [GO:0006564]	cytosol [GO:0005829]
P0A9V1	LPTB_ECOLI	lptB yhbG b3201 JW3168	Lipopolysaccharide export system ATP-binding protein LptB (EC 7.5.2.-)	Escherichia coli (strain K12)	241	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16079137}. Cell inner membrane {ECO:0000269|PubMed:16079137}; Peripheral membrane protein {ECO:0000269|PubMed:16079137}; Cytoplasmic side {ECO:0000269|PubMed:16079137}.	3D-structure;ATP-binding;Cell inner membrane;Cell membrane;Cytoplasm;Direct protein sequencing;Membrane;Nucleotide-binding;Reference proteome;Translocase;Transport	Gram-negative-bacterium-type cell outer membrane assembly [GO:0043165]; lipopolysaccharide transport [GO:0015920]; transmembrane transport [GO:0055085]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; cytoplasm [GO:0005737]; membrane [GO:0016020]; plasma membrane [GO:0005886]; transporter complex [GO:1990351]
P0A9V8	SQUU_ECOLI	yihU b3882 JW3853	3-sulfolactaldehyde reductase (SLA reductase) (EC 1.1.1.373) (4-hydroxybutyrate dehydrogenase) (EC 1.1.1.61) (Gamma-hydroxybutyrate dehydrogenase) (GHBDH) (Succinic semialdehyde reductase) (SSA reductase)	Escherichia coli (strain K12)	298		3D-structure;NAD;Oxidoreductase;Reference proteome	6-sulfoquinovose(1-) catabolic process [GO:1902777]; 6-sulfoquinovose(1-) catabolic process to glycerone phosphate and 3-sulfolactaldehyde [GO:0061720]; protein homotetramerization [GO:0051289]; toxin catabolic process [GO:0009407]	protein-containing complex [GO:0032991]
P0A9W3	ETTA_ECOLI	ettA yjjK b4391 JW4354	Energy-dependent translational throttle protein EttA (EC 3.6.1.-) (Translational regulatory factor EttA)	Escherichia coli (strain K12)	555	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00847, ECO:0000269|PubMed:24389466}. Note=Associates with ribosomes and polysomes. {ECO:0000255|HAMAP-Rule:MF_00847}.	3D-structure;ATP-binding;Cytoplasm;Direct protein sequencing;Hydrolase;Nucleotide-binding;Protein biosynthesis;Reference proteome;Repeat;RNA-binding;rRNA-binding;Translation regulation;tRNA-binding	negative regulation of translational elongation [GO:0045900]	cytoplasm [GO:0005737]
P0A9X4	MREB_ECOLI	mreB envB rodY b3251 JW3220	Cell shape-determining protein MreB (Actin-like MreB protein) (Rod shape-determining protein MreB)	Escherichia coli (strain K12)	347	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15612918}. Note=Membrane-associated (PubMed:15612918). Preferentially localizes to regions of negative curvature (PubMed:24550515). May associate with the membrane via MreC (PubMed:15612918). Localization depends on MreC, MreD and RodA (PubMed:15612918). {ECO:0000269|PubMed:15612918, ECO:0000269|PubMed:24550515}.	ATP-binding;Cell shape;Cytoplasm;Direct protein sequencing;Nucleotide-binding;Reference proteome	cell morphogenesis [GO:0000902]; FtsZ-dependent cytokinesis [GO:0043093]; negative regulation of cell division [GO:0051782]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; regulation of chromosome segregation [GO:0051983]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; plasma membrane [GO:0005886]; polymeric cytoskeletal fiber [GO:0099513]
P0A9X9	CSPA_ECOLI	cspA cspS b3556 JW3525	Cold shock protein CspA (CSP-A) (7.4 kDa cold shock protein) (CS7.4)	Escherichia coli (strain K12)	70	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:2404279}.	3D-structure;Activator;Cytoplasm;Direct protein sequencing;DNA-binding;Reference proteome;Stress response;Transcription;Transcription regulation	negative regulation of termination of DNA-templated transcription [GO:0060567]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of gene expression [GO:0010468]; response to cold [GO:0009409]	cytosol [GO:0005829]
P0A9Y6	CSPC_ECOLI	cspC msmB b1823 JW1812	Cold shock-like protein CspC (CSP-C)	Escherichia coli (strain K12)	69	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.	3D-structure;Activator;Cytoplasm;Direct protein sequencing;DNA-binding;Reference proteome;Transcription;Transcription regulation	cellular response to heat [GO:0034605]; negative regulation of termination of DNA-templated transcription [GO:0060567]; regulation of gene expression [GO:0010468]	cytosol [GO:0005829]; membrane [GO:0016020]
P0A9Z1	GLNB_ECOLI	glnB b2553 JW2537	Nitrogen regulatory protein P-II 1	Escherichia coli (strain K12)	112		3D-structure;Nucleotide-binding;Phosphoprotein;Reference proteome;Transcription;Transcription regulation	regulation of fatty acid biosynthetic process [GO:0042304]; regulation of nitrogen utilization [GO:0006808]	cytosol [GO:0005829]
P0AA04	PTHP_ECOLI	ptsH hpr b2415 JW2408	Phosphocarrier protein HPr (Histidine-containing protein)	Escherichia coli (strain K12)	85	SUBCELLULAR LOCATION: Cytoplasm.	3D-structure;Cytoplasm;Direct protein sequencing;Phosphotransferase system;Reference proteome;Sugar transport;Transport	phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; positive regulation of glycogen catabolic process [GO:0045819]; regulation of carbon utilization [GO:0043609]	cytosol [GO:0005829]
P0AA10	RL13_ECOLI	rplM b3231 JW3200	Large ribosomal subunit protein uL13 (50S ribosomal protein L13)	Escherichia coli (strain K12)	142		3D-structure;Direct protein sequencing;Reference proteome;Ribonucleoprotein;Ribosomal protein	cytoplasmic translation [GO:0002181]; negative regulation of translation [GO:0017148]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; ribosome [GO:0005840]
P0AA16	OMPR_ECOLI	ompR kmt ompB b3405 JW3368	DNA-binding dual transcriptional regulator OmpR (Transcriptional regulatory protein OmpR)	Escherichia coli (strain K12)	239	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:3533941}.	3D-structure;Activator;Cytoplasm;Direct protein sequencing;DNA-binding;Phosphoprotein;Reference proteome;Repressor;Stress response;Transcription;Transcription regulation;Two-component regulatory system	phosphorelay signal transduction system [GO:0000160]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of DNA-templated transcription [GO:0006355]	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]
P0AA25	THIO_ECOLI	trxA fipA tsnC b3781 JW5856	Thioredoxin 1 (Trx-1)	Escherichia coli (strain K12)	109		3D-structure;Acetylation;Direct protein sequencing;Disulfide bond;Electron transport;Host-virus interaction;Redox-active center;Reference proteome;Transport	cell redox homeostasis [GO:0045454]	cytoplasm [GO:0005737]; cytosol [GO:0005829]
P0AA37	RLUA_ECOLI	rluA yabO b0058 JW0057	Dual-specificity RNA pseudouridine synthase RluA (EC 5.4.99.28) (EC 5.4.99.29) (23S rRNA pseudouridine(746) synthase) (Ribosomal large subunit pseudouridine synthase A) (rRNA pseudouridylate synthase A) (rRNA-uridine isomerase A) (tRNA pseudouridine(32) synthase)	Escherichia coli (strain K12)	219		3D-structure;Direct protein sequencing;Isomerase;Reference proteome;rRNA processing;tRNA processing	enzyme-directed rRNA pseudouridine synthesis [GO:0000455]; pseudouridine synthesis [GO:0001522]; RNA modification [GO:0009451]; rRNA processing [GO:0006364]; rRNA pseudouridine synthesis [GO:0031118]; tRNA processing [GO:0008033]; tRNA pseudouridine synthesis [GO:0031119]	
P0AA41	TRUC_ECOLI	truC yqcB b2791 JW2762	tRNA pseudouridine synthase C (EC 5.4.99.26) (tRNA pseudouridine(65) synthase) (tRNA pseudouridylate synthase C) (tRNA-uridine isomerase C)	Escherichia coli (strain K12)	260		Isomerase;Reference proteome;tRNA processing	enzyme-directed rRNA pseudouridine synthesis [GO:0000455]; RNA modification [GO:0009451]; tRNA metabolic process [GO:0006399]; tRNA processing [GO:0008033]; tRNA pseudouridine synthesis [GO:0031119]	cytosol [GO:0005829]
P0AA43	RSUA_ECOLI	rsuA yejD b2183 JW2171	Ribosomal small subunit pseudouridine synthase A (EC 5.4.99.19) (16S pseudouridylate 516 synthase) (16S rRNA pseudouridine(516) synthase) (rRNA pseudouridylate synthase A) (rRNA-uridine isomerase A)	Escherichia coli (strain K12)	231		3D-structure;Direct protein sequencing;Isomerase;Reference proteome;RNA-binding;rRNA processing	enzyme-directed rRNA pseudouridine synthesis [GO:0000455]	cytosol [GO:0005829]
P0AA47	PLAP_ECOLI	plaP yeeF b2014 JW5330	Low-affinity putrescine importer PlaP (Putrescine low affinity permease)	Escherichia coli (strain K12)	452	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255}.	Amino-acid transport;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Symport;Transmembrane;Transmembrane helix;Transport	amino acid transport [GO:0006865]; cell motility [GO:0048870]; putrescine transport [GO:0015847]	plasma membrane [GO:0005886]
P0AA76	DGOT_ECOLI	dgoT yidT b3691 JW5859	D-galactonate transporter (D-galactonate/H(+) symporter)	Escherichia coli (strain K12)	430	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:31083648}; Multi-pass membrane protein {ECO:0000269|PubMed:31083648}.	3D-structure;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Symport;Transmembrane;Transmembrane helix;Transport	D-galactonate catabolic process [GO:0034194]; D-galactonate transmembrane transport [GO:0042875]	plasma membrane [GO:0005886]
P0AA78	EXUT_ECOLI	exuT b3093 JW3064	Hexuronate transporter (Aldohexuronate transport system)	Escherichia coli (strain K12)	432	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255}.	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix;Transport	hexuronate transmembrane transport [GO:0015736]	plasma membrane [GO:0005886]
