accession	status	total_energy	backbone_hbond	sidechain_hbond	vdw_clashes	electrostatics	solvation_polar	solvation_hydrophobic	entropy_mainchain	entropy_sidechain	error
A8MUU1	success	6.33									
A8MUU9	success	1158.35									
A8MUV8	success	446.34									RepairPDB_failed_using_unrepaired
A8MUX0	success	866.53									
A8MUZ8	success	165.83									
A8MV23	success	24.83									
A8MV24	success	97.78									
A8MV57	success	46.88									
A8MV65	success	466.4									
A8MV72	success	417.27									
A8MV81	success	48.89									
A8MVA2	success	255.38									
A8MVJ9	success	114.44									RepairPDB_failed_using_unrepaired
A8MVM7	success	1143.15									RepairPDB_failed_using_unrepaired
A8MVS5	success	109.14									
A8MVU1	success	176.26									RepairPDB_failed_using_unrepaired
A8MVW0	success	839.58									
A8MVW5	success	141.48									
A8MVX0	success	1469.73									RepairPDB_failed_using_unrepaired
A8MVZ5	success	49.82									
A8MW92	success	1711.28									RepairPDB_failed_using_unrepaired
A8MW95	success	107.15									
A8MW99	success	231.8									RepairPDB_failed_using_unrepaired
A8MWA4	success	167.24									
A8MWA6	success	624.93									
A8MWD9	success	-6.75									
A8MWE9	success	84.88									
A8MWK0	success	207.57									RepairPDB_failed_using_unrepaired
A8MWL6	success	25.68									
A8MWL7	success	45.51									
A8MWP4	success	241.46									
A8MWV9	success	145.99									
A8MWX3	success	478.89									
A8MWY0	success	641.15									RepairPDB_failed_using_unrepaired
A8MX19	success	649.19									
A8MX34	success	492.36									
A8MX76	success	140.1									RepairPDB_failed_using_unrepaired
A8MX80	success	418.67									
A8MXD5	success	145.08									
A8MXE2	success	-80.43									
A8MXJ8	success	704.3									
A8MXK1	success	5.5									
A8MXQ7	success	176.42									RepairPDB_failed_using_unrepaired
A8MXT2	success	140.1									
A8MXU0	success	36.82									
A8MXV4	success	-51.93									
A8MXV6	success	328.33									
A8MXY4	success	774.89									RepairPDB_failed_using_unrepaired
A8MXZ1	success	636.58									
A8MXZ3	success	403.85									
A8MY62	success	-135.88									
A8MYA2	success	797.38									
A8MYB1	success	122.16									RepairPDB_failed_using_unrepaired
A8MYJ7	success	51.57									RepairPDB_failed_using_unrepaired
A8MYP8	success	208.01									
A8MYU2	success	615.42									RepairPDB_failed_using_unrepaired
A8MYV0	success	153.33									
A8MYZ0	success	188.56									RepairPDB_failed_using_unrepaired
A8MYZ5	success	-11.38									
A8MYZ6	success	693.84									
A8MZ25	success	212.0									
A8MZ26	success	-46.19									
A8MZ36	success	200.59									RepairPDB_failed_using_unrepaired
A8MZ59	success	213.99									
A8MZ97	success	241.81									
A8MZA4	success	362.5									RepairPDB_failed_using_unrepaired
A8MZF0	success	387.01									
A8MZG2	success	222.02									
A8MZH6	success	20.94									
A8TX70	success	1417.71									RepairPDB_failed_using_unrepaired
A9QM74	success	68.69									RepairPDB_failed_using_unrepaired
A9UHW6	success	-60.85									
A9YTQ3	success	931.32									RepairPDB_failed_using_unrepaired
B0FP48	success	80.4									
B0I1T2	success	155.88									RepairPDB_failed_using_unrepaired
B0L3A2	success	75.98									
B0L653	success	210.27									
B0YJ81	success	65.33									
B1AH88	success	126.75									
B1AJZ9	success	1075.03									RepairPDB_failed_using_unrepaired
B1AK53	success	740.65									RepairPDB_failed_using_unrepaired
B1AK76	success	73.25									
B1AKI9	success	303.23									
B1AL46	success	1309.67									RepairPDB_failed_using_unrepaired
B1AL88	success	440.37									RepairPDB_failed_using_unrepaired
B1AMM8	success	72.99									
B1ANH7	success	134.29									
B1ANS9	success	593.38									RepairPDB_failed_using_unrepaired
B1ANY3	success	301.42									
B1APH4	success	265.21									
B1ATL7	success	378.41									
B2CW77	success	238.98									
B2RBV5	success	19.96									
B2RC85	success	711.67									RepairPDB_failed_using_unrepaired
B2RD01	success	69.82									
B2RN74	success	-55.25									
B2RNN3	success	197.79									
B2RPK0	success	134.47									RepairPDB_failed_using_unrepaired
B2RTY4	success	3612.75									RepairPDB_failed_using_unrepaired
B2RU33	success	531.06									RepairPDB_failed_using_unrepaired
B2RUY7	success	95.67									
B2RUZ4	success	39.59									
B2RV13	success	63.33									
B2RXF0	success	81.1									
B2RXF5	success	317.78									
B2RXH2	success	190.39									
B2RXH4	success	1051.66									
B2RXH8	success	274.89									
B3EWF7	success	465.36									
B3EWG3	success	18.37									
B3EWG5	success	20.31									
B3EWG6	success	22.88									
B3GLJ2	success	8.8									
B3KNS4	success	68.56									
B3KS81	success	1663.43									
B3KU38	success	830.56									RepairPDB_failed_using_unrepaired
B3SHH9	success	-10.76									
B4DH59	success	3072.73									RepairPDB_failed_using_unrepaired
B4DI05	success	316.41									RepairPDB_failed_using_unrepaired
B4DJY2	success	82.28									
B4DS77	success	563.42									
B4DSL7	success	113.07									
B4DU55	success	485.32									RepairPDB_failed_using_unrepaired
B4DX44	success	387.6									RepairPDB_failed_using_unrepaired
B4DXR9	success	500.99									RepairPDB_failed_using_unrepaired
B4DYI2	success	2362.41									RepairPDB_failed_using_unrepaired
B4DZS4	success	138.34									RepairPDB_failed_using_unrepaired
B4E2M5	success	8.19									
B5MCN3	success	64.01									RepairPDB_failed_using_unrepaired
B5MCY1	success	1135.49									RepairPDB_failed_using_unrepaired
B5MD39	success	29.04									
B5ME19	success	706.33									RepairPDB_failed_using_unrepaired
B6A8C7	success	50.22									
B6SEH8	success	306.93									
B6SEH9	success	526.03									RepairPDB_failed_using_unrepaired
B7U540	success	141.89									
B7Z1M9	success	288.17									
B7Z368	success	176.24									
B7Z6K7	success	1005.35									RepairPDB_failed_using_unrepaired
B7Z8K6	success	44.5									
B7ZAP0	success	113.78									RepairPDB_failed_using_unrepaired
B7ZAQ6	success	55.88									RepairPDB_failed_using_unrepaired
B7ZBB8	success	176.39									
B7ZC32	success	350.93									RepairPDB_failed_using_unrepaired
B7ZLF3	success	163.95									
B7ZW38	success	270.7									
B8ZZ34	success	425.63									
B9A014	success	16.7									
B9A064	success	116.96									
B9A6J9	success	425.29									RepairPDB_failed_using_unrepaired
B9EJG8	success	-55.52									
C0HLS1	success	147.82									
C0HLU2	success	50.85									
C0HLV8	success	5.77									
C0HLZ6	success	69.1									
C0HM01	success	13.67									
C0HM02	success	14.9									
C0HM83	success	56.83									
C0HM98	success	121.14									
C0HMA1	success	10.54									
C0HMD6	success	247.85									
C0HMD7	success	157.78									
C1P5Z7	success	2.74									
C1P5Z8	success	-0.86									
C1P5Z9	success	-2.69									
C1P600	success	14.79									
C1P601	success	47.19									
C1P602	success	4.1									
C1P603	success	1.11									
C1P604	success	2.96									
C1P605	success	4.69									
C1P606	success	3.97									
C1P607	success	1.28									
C1P608	success	2.84									
C1P609	success	-1.27									
C1P610	success	4.06									
C1P611	success	1.47									
C1P612	success	-3.68									
C1P613	success	2.65									
C1P614	success	-2.99									
C1P615	success	-0.18									
C1P616	success	0.87									
C1P617	success	5.13									
C1P618	success	2.37									
C1P619	success	5.1									
C1P620	success	13.05									
C1P621	success	10.41									
C4AMC7	success	525.01									RepairPDB_failed_using_unrepaired
C9J069	success	1368.77									RepairPDB_failed_using_unrepaired
C9J1S8	success	149.01									RepairPDB_failed_using_unrepaired
C9J202	success	17.95									
C9J2P7	success	500.36									RepairPDB_failed_using_unrepaired
C9J302	success	204.6									
C9J3I9	success	33.8									
C9J3V5	success	158.72									
C9J6K1	success	89.98									
C9J798	success	205.86									RepairPDB_failed_using_unrepaired
C9J7I0	success	149.31									
C9JBD0	success	39.25									
C9JC47	success	442.2									
C9JCN9	success	0.42									
C9JDP6	success	20.24									
C9JE40	success	589.98									RepairPDB_failed_using_unrepaired
C9JFL3	success	77.7									
C9JG80	success	1254.48									RepairPDB_failed_using_unrepaired
C9JH25	success	867.79									
C9JI98	success	160.13									
C9JJ37	success	-32.03									
C9JJH3	success	439.27									RepairPDB_failed_using_unrepaired
C9JL84	success	450.3									
C9JLJ4	success	414.66									RepairPDB_failed_using_unrepaired
C9JLR9	success	838.94									RepairPDB_failed_using_unrepaired
C9JLW8	success	61.69									
C9JN71	success	435.23									RepairPDB_failed_using_unrepaired
C9JPN9	success	445.8									RepairPDB_failed_using_unrepaired
C9JQI7	success	257.02									RepairPDB_failed_using_unrepaired
C9JQL5	success	99.85									
C9JR72	success	-50.31									
C9JRZ8	success	-67.95									
C9JSJ3	success	1058.09									RepairPDB_failed_using_unrepaired
C9JTQ0	success	391.81									
C9JUS6	success	138.68									
C9JVI0	success	498.07									RepairPDB_failed_using_unrepaired
C9JVW0	success	195.61									
C9JXX5	success	62.56									
D0EPY3	success	-5.48									
D3DTV9	success	93.48									
D3W0D1	success	51.17									
D6R901	success	452.92									RepairPDB_failed_using_unrepaired
D6R9N7	success	527.65									RepairPDB_failed_using_unrepaired
D6RA61	success	445.32									RepairPDB_failed_using_unrepaired
D6RBM5	success	110.0									
D6RBQ6	success	466.45									RepairPDB_failed_using_unrepaired
D6RCP7	success	521.35									RepairPDB_failed_using_unrepaired
D6REC4	success	399.59									RepairPDB_failed_using_unrepaired
D6RF30	success	502.3									RepairPDB_failed_using_unrepaired
D6RGH6	success	294.44									
D6RGX4	success	751.19									
D6RIA3	success	4633.32									RepairPDB_failed_using_unrepaired
D6RJB6	success	505.99									RepairPDB_failed_using_unrepaired
E0CX11	success	0.06									
E2JKY7	success	9.78									
E2RYF6	success	1777.56									RepairPDB_failed_using_unrepaired
E2RYF7	success	172.44									
E5RG02	success	43.11									
E5RHQ5	success	1358.49									RepairPDB_failed_using_unrepaired
E5RIL1	success	80.25									
E5RJ46	success	113.88									
E5RJM6	success	0.89									
E5RQL4	success	31.04									
E7ERA6	success	146.48									
E7ETH6	success	527.87									RepairPDB_failed_using_unrepaired
E7EW31	success	1822.0									
E9PAV3	success	5733.04									RepairPDB_failed_using_unrepaired
E9PB15	success	101.58									
E9PGG2	success	214.3									
E9PI22	success	263.17									
E9PIF3	success	413.5									RepairPDB_failed_using_unrepaired
E9PJ23	success	560.23									RepairPDB_failed_using_unrepaired
E9PJI5	success	455.15									RepairPDB_failed_using_unrepaired
E9PKD4	success	489.33									RepairPDB_failed_using_unrepaired
E9PQ53	success	9.94									
E9PQR5	success	559.72									RepairPDB_failed_using_unrepaired
E9PQX1	success	-21.0									
E9PRG8	success	70.98									
F2Z333	success	59.76									
F2Z398	success	203.89									
F2Z3F1	success	163.08									
F5GYI3	success	365.85									
F5H094	success	217.06									RepairPDB_failed_using_unrepaired
F5H284	success	1.75									
F5H4A9	success	269.63									
F5H4B4	success	459.76									RepairPDB_failed_using_unrepaired
F7VJQ1	success	27.02									
F8VTS6	success	25.68									
F8W0I5	success	1569.13									RepairPDB_failed_using_unrepaired
F8W1W9	success	635.37									RepairPDB_failed_using_unrepaired
F8WBI6	success	524.93									RepairPDB_failed_using_unrepaired
F8WCM5	success	277.19									
F8WFD2	success	519.13									RepairPDB_failed_using_unrepaired
G2XKQ0	success	31.0									
G3MTW7	success	1.08									
G3V0H7	success	181.91									RepairPDB_failed_using_unrepaired
G3V211	success	75.08									
G3V523	success	45.39									
G5E9R7	success	424.86									
G9CGD6	success	995.58									RepairPDB_failed_using_unrepaired
H0UI37	success	39.79									
H0Y354	success	55.13									
H0Y7S4	success	99.97									RepairPDB_failed_using_unrepaired
H0YKK7	success	567.29									RepairPDB_failed_using_unrepaired
H0YL14	success	36.77									
H0YM25	success	367.35									RepairPDB_failed_using_unrepaired
H3BMG3	success	39.47									
H3BNL1	success	195.82									
H3BNL8	success	-39.5									
H3BPF8	success	554.77									RepairPDB_failed_using_unrepaired
H3BPM6	success	-10.94									
H3BQB6	success	324.78									
H3BQJ8	success	43.58									
H3BQL2	success	607.96									RepairPDB_failed_using_unrepaired
H3BQW9	success	120.24									
H3BR10	success	75.37									
H3BRN8	success	90.27									
H3BS89	success	28.2									
H3BSY2	success	586.03									RepairPDB_failed_using_unrepaired
H3BTG2	success	96.62									
H3BU77	success	25.4									
H3BUK9	success	473.27									RepairPDB_failed_using_unrepaired
H3BV12	success	530.91									RepairPDB_failed_using_unrepaired
H3BV60	success	132.29									
H7BZ55	success	1315.77									RepairPDB_failed_using_unrepaired
H7C241	success	-27.33									
H7C350	success	271.19									
I0J062	success	326.52									
I1YAP6	success	219.28									RepairPDB_failed_using_unrepaired
I3L0S3	success	179.08									
I3L1E1	success	230.36									
I3L273	success	876.87									
I3L3L1	success	170.71									
I3L3R5	success	184.87									
I6L899	success	517.38									RepairPDB_failed_using_unrepaired
J3KSC0	success	100.19									
K7EIQ3	success	103.01									
K7EJ46	success	28.08									
K9M1U5	success	16.46									
L0R6Q1	success	27.4									
L0R819	success	12.25									
L0R8F8	success	-4.89									
M0QZC1	success	298.95									
M0QZD8	success	580.39									RepairPDB_failed_using_unrepaired
M0R2J8	success	1374.95									RepairPDB_failed_using_unrepaired
M5A8F1	success	55.5									
O00110	success	116.83									
O00115	success	-32.41									
O00116	success	236.97									RepairPDB_failed_using_unrepaired
O00124	success	74.43									
O00139	success	287.35									RepairPDB_failed_using_unrepaired
O00141	success	137.67									RepairPDB_failed_using_unrepaired
O00142	success	15.85									
O00144	success	187.42									RepairPDB_failed_using_unrepaired
O00148	success	89.66									RepairPDB_failed_using_unrepaired
O00151	success	183.58									
O00154	success	45.88									
O00155	success	-5.81									
O00159	success	200.55									RepairPDB_failed_using_unrepaired
O00160	success	343.1									RepairPDB_failed_using_unrepaired
O00161	success	26.46									
O00165	success	279.82									
O00167	success	378.86									
O00168	success	19.08									
O00170	success	-56.39									
O00175	success	33.26									
O00178	success	365.94									RepairPDB_failed_using_unrepaired
O00180	success	21.6									
O00182	success	42.16									
O00186	success	107.76									RepairPDB_failed_using_unrepaired
O00187	success	215.48									RepairPDB_failed_using_unrepaired
O00189	success	-16.38									
O00192	success	844.5									RepairPDB_failed_using_unrepaired
O00193	success	182.9									
O00194	success	2.11									
O00198	success	19.62									
O00203	success	550.28									RepairPDB_failed_using_unrepaired
O00204	success	-2.27									
O00206	success	254.55									RepairPDB_failed_using_unrepaired
O00212	success	-23.84									
O00213	success	908.38									RepairPDB_failed_using_unrepaired
O00214	success	-37.95									
O00217	success	82.46									
O00219	success	40.77									RepairPDB_failed_using_unrepaired
O00220	success	450.97									
O00221	success	391.36									
O00222	success	322.65									RepairPDB_failed_using_unrepaired
O00230	success	76.91									
O00231	success	48.34									RepairPDB_failed_using_unrepaired
O00232	success	131.14									RepairPDB_failed_using_unrepaired
O00233	success	8.4									
O00237	success	416.77									RepairPDB_failed_using_unrepaired
O00238	success	164.75									RepairPDB_failed_using_unrepaired
O00241	success	72.93									
O00244	success	-17.11									
O00253	success	95.59									
O00254	success	-40.1									
O00255	success	247.72									RepairPDB_failed_using_unrepaired
O00257	success	790.49									
O00258	success	-22.01									
O00264	success	27.44									
O00267	success	1204.04									RepairPDB_failed_using_unrepaired
O00268	success	1843.06									RepairPDB_failed_using_unrepaired
O00270	success	-59.63									
O00273	success	93.19									
O00287	success	300.14									
O00291	success	416.9									RepairPDB_failed_using_unrepaired
O00292	success	38.47									
O00294	success	563.03									RepairPDB_failed_using_unrepaired
O00295	success	481.2									RepairPDB_failed_using_unrepaired
O00299	success	-40.5									
O00300	success	176.17									RepairPDB_failed_using_unrepaired
O00303	success	184.72									
O00305	success	497.61									RepairPDB_failed_using_unrepaired
O00308	success	517.43									RepairPDB_failed_using_unrepaired
O00311	success	450.46									RepairPDB_failed_using_unrepaired
O00321	success	524.97									
O00322	success	-60.96									
O00327	success	610.87									RepairPDB_failed_using_unrepaired
O00329	success	127.74									RepairPDB_failed_using_unrepaired
O00330	success	329.42									RepairPDB_failed_using_unrepaired
O00337	success	164.56									RepairPDB_failed_using_unrepaired
O00338	success	-60.57									
O00339	success	558.79									RepairPDB_failed_using_unrepaired
O00341	success	177.3									RepairPDB_failed_using_unrepaired
O00358	success	436.25									
O00370	success	208.34									RepairPDB_failed_using_unrepaired
O00391	success	395.07									RepairPDB_failed_using_unrepaired
O00398	success	-56.15									
O00399	success	47.06									
O00400	success	149.94									RepairPDB_failed_using_unrepaired
O00401	success	421.65									RepairPDB_failed_using_unrepaired
O00408	success	228.3									RepairPDB_failed_using_unrepaired
O00409	success	597.03									
O00410	success	12.23									RepairPDB_failed_using_unrepaired
O00411	success	352.52									RepairPDB_failed_using_unrepaired
O00418	success	596.62									RepairPDB_failed_using_unrepaired
O00421	success	7.39									
O00422	success	12.95									
O00423	success	427.63									RepairPDB_failed_using_unrepaired
O00425	success	206.5									RepairPDB_failed_using_unrepaired
O00429	success	378.2									RepairPDB_failed_using_unrepaired
O00442	success	43.45									RepairPDB_failed_using_unrepaired
O00443	success	1003.69									RepairPDB_failed_using_unrepaired
O00444	success	872.9									RepairPDB_failed_using_unrepaired
O00445	success	23.12									
O00451	success	329.05									RepairPDB_failed_using_unrepaired
O00453	success	46.43									
O00458	success	184.91									RepairPDB_failed_using_unrepaired
O00459	success	216.56									RepairPDB_failed_using_unrepaired
O00461	success	638.17									RepairPDB_failed_using_unrepaired
O00462	success	91.84									RepairPDB_failed_using_unrepaired
O00463	success	304.77									RepairPDB_failed_using_unrepaired
O00468	success	1396.88									RepairPDB_failed_using_unrepaired
O00469	success	147.63									RepairPDB_failed_using_unrepaired
O00470	success	332.04									
O00471	success	89.34									RepairPDB_failed_using_unrepaired
O00472	success	763.45									RepairPDB_failed_using_unrepaired
O00476	success	31.09									
O00478	success	315.09									RepairPDB_failed_using_unrepaired
O00479	success	120.2									
O00481	success	104.46									RepairPDB_failed_using_unrepaired
O00482	success	422.49									RepairPDB_failed_using_unrepaired
O00483	success	12.79									
O00487	success	34.82									
O00488	success	77.59									
O00499	success	530.17									RepairPDB_failed_using_unrepaired
O00501	success	2.49									
O00505	success	70.76									RepairPDB_failed_using_unrepaired
O00506	success	183.47									RepairPDB_failed_using_unrepaired
O00507	success	889.56									RepairPDB_failed_using_unrepaired
O00512	success	3547.69									RepairPDB_failed_using_unrepaired
O00515	success	1152.87									RepairPDB_failed_using_unrepaired
O00519	success	38.51									RepairPDB_failed_using_unrepaired
O00522	success	209.63									RepairPDB_failed_using_unrepaired
O00526	success	37.24									
O00533	success	666.47									RepairPDB_failed_using_unrepaired
O00534	success	174.14									RepairPDB_failed_using_unrepaired
O00541	success	279.36									RepairPDB_failed_using_unrepaired
O00548	success	576.54									RepairPDB_failed_using_unrepaired
O00555	success	3654.67									RepairPDB_failed_using_unrepaired
O00559	success	173.64									
O00560	success	28.08									
O00562	success	933.84									RepairPDB_failed_using_unrepaired
O00566	success	853.23									RepairPDB_failed_using_unrepaired
O00567	success	394.53									RepairPDB_failed_using_unrepaired
O00570	success	476.93									
O00571	success	467.51									RepairPDB_failed_using_unrepaired
O00574	success	-32.9									
O00584	success	7.26									
O00585	success	52.49									
O00587	success	-12.96									
O00590	success	38.71									
O00591	success	31.39									
O00592	success	748.69									
O00602	success	124.8									
O00622	success	77.76									
O00623	success	174.84									RepairPDB_failed_using_unrepaired
O00624	success	-12.48									
O00625	success	-54.9									
O00626	success	2.95									
O00628	success	-8.66									
O00629	success	81.55									RepairPDB_failed_using_unrepaired
O00631	success	-0.63									
O00634	success	96.07									
O00635	success	168.75									RepairPDB_failed_using_unrepaired
O00712	success	503.35									RepairPDB_failed_using_unrepaired
O00716	success	424.14									
O00743	success	-52.41									
O00744	success	184.84									RepairPDB_failed_using_unrepaired
O00746	success	41.05									
O00748	success	62.9									RepairPDB_failed_using_unrepaired
O00750	success	844.91									RepairPDB_failed_using_unrepaired
O00754	success	205.79									RepairPDB_failed_using_unrepaired
O00755	success	21.53									
O00757	success	-41.26									
O00762	success	4.43									
O00763	success	993.81									RepairPDB_failed_using_unrepaired
O00764	success	-84.56									
O00767	success	16.17									
O14490	success	1722.75									RepairPDB_failed_using_unrepaired
O14492	success	633.23									
O14493	success	-9.87									
O14494	success	-14.52									
O14495	success	30.29									
O14497	success	4720.86									RepairPDB_failed_using_unrepaired
O14498	success	90.65									
O14503	success	559.95									
O14508	success	22.1									
O14511	success	1291.59									RepairPDB_failed_using_unrepaired
O14512	success	770.28									RepairPDB_failed_using_unrepaired
O14513	success	7860.47									RepairPDB_failed_using_unrepaired
O14514	success	1516.99									RepairPDB_failed_using_unrepaired
O14519	success	86.71									
O14520	success	29.68									
O14521	success	84.63									
O14522	success	516.87									RepairPDB_failed_using_unrepaired
O14523	success	752.5									RepairPDB_failed_using_unrepaired
O14524	success	263.21									RepairPDB_failed_using_unrepaired
O14525	success	1187.84									RepairPDB_failed_using_unrepaired
O14526	success	750.63									RepairPDB_failed_using_unrepaired
O14529	success	2281.76									RepairPDB_failed_using_unrepaired
O14530	success	16.09									
O14531	success	160.2									RepairPDB_failed_using_unrepaired
O14543	success	69.08									
O14544	success	630.2									
O14545	success	676.63									
O14548	success	58.33									
O14556	success	2.27									
O14558	success	64.27									
O14559	success	1921.65									RepairPDB_failed_using_unrepaired
O14561	success	86.29									
O14562	success	181.48									
O14569	success	-35.78									
O14576	success	507.82									RepairPDB_failed_using_unrepaired
O14578	success	1679.91									RepairPDB_failed_using_unrepaired
O14579	success	-67.96									
O14581	success	-69.4									
O14593	success	127.27									
O14594	success	2050.01									RepairPDB_failed_using_unrepaired
O14595	success	80.36									
O14598	success	160.15									
O14599	success	80.18									
O14602	success	62.06									
O14603	success	75.03									
O14604	success	21.51									
O14607	success	1138.37									RepairPDB_failed_using_unrepaired
O14609	success	37.38									
O14610	success	22.23									
O14613	success	220.85									
O14617	success	478.24									RepairPDB_failed_using_unrepaired
O14618	success	22.26									
O14625	success	21.57									
O14626	success	-84.6									
O14627	success	337.79									
O14628	success	650.2									RepairPDB_failed_using_unrepaired
O14633	success	176.85									
O14638	success	167.84									RepairPDB_failed_using_unrepaired
O14639	success	1098.73									RepairPDB_failed_using_unrepaired
O14640	success	833.13									
O14641	success	932.95									
O14645	success	10.59									
O14646	success	2028.98									RepairPDB_failed_using_unrepaired
O14647	success	2323.36									RepairPDB_failed_using_unrepaired
O14649	success	323.87									RepairPDB_failed_using_unrepaired
O14653	success	69.41									RepairPDB_failed_using_unrepaired
O14654	success	2219.74									RepairPDB_failed_using_unrepaired
O14656	success	-15.13									
O14657	success	72.96									RepairPDB_failed_using_unrepaired
O14662	success	160.51									RepairPDB_failed_using_unrepaired
O14668	success	176.92									
O14669	success	123.39									
O14672	success	353.42									RepairPDB_failed_using_unrepaired
O14678	success	113.13									RepairPDB_failed_using_unrepaired
O14681	success	-83.77									
O14682	success	163.63									RepairPDB_failed_using_unrepaired
O14683	success	19.72									
O14684	success	-37.62									
O14686	success	2745.16									RepairPDB_failed_using_unrepaired
O14709	success	962.15									RepairPDB_failed_using_unrepaired
O14713	success	103.43									
O14715	success	1427.02									RepairPDB_failed_using_unrepaired
O14717	success	-36.7									
O14718	success	-40.43									
O14727	success	401.62									RepairPDB_failed_using_unrepaired
O14730	success	301.72									RepairPDB_failed_using_unrepaired
O14732	success	-39.26									
O14733	success	173.61									RepairPDB_failed_using_unrepaired
O14734	success	-2.13									
O14735	success	-33.06									
O14737	success	11.85									
O14744	success	77.87									RepairPDB_failed_using_unrepaired
O14745	success	169.22									
O14746	success	434.62									RepairPDB_failed_using_unrepaired
O14753	success	185.75									
O14756	success	-57.03									
O14757	success	251.27									RepairPDB_failed_using_unrepaired
O14763	success	303.73									
O14764	success	76.27									
O14770	success	590.21									
O14771	success	434.27									RepairPDB_failed_using_unrepaired
O14772	success	101.77									RepairPDB_failed_using_unrepaired
O14773	success	-81.22									
O14775	success	47.83									
O14776	success	821.16									RepairPDB_failed_using_unrepaired
O14777	success	407.46									RepairPDB_failed_using_unrepaired
O14782	success	505.58									RepairPDB_failed_using_unrepaired
O14786	success	458.88									RepairPDB_failed_using_unrepaired
O14787	success	-0.75									RepairPDB_failed_using_unrepaired
O14788	success	101.66									
O14791	success	298.26									RepairPDB_failed_using_unrepaired
O14792	success	-29.67									
O14793	success	90.75									
O14795	success	889.94									RepairPDB_failed_using_unrepaired
O14796	success	9.14									
O14798	success	191.19									
O14802	success	423.35									RepairPDB_failed_using_unrepaired
O14804	success	-80.9									
O14807	success	-2.96									
O14810	success	70.82									
O14813	success	319.1									
O14815	success	142.56									RepairPDB_failed_using_unrepaired
O14817	success	-37.77									
O14818	success	-38.72									
O14827	success	633.33									RepairPDB_failed_using_unrepaired
O14828	success	34.25									
O14829	success	160.81									RepairPDB_failed_using_unrepaired
O14830	success	300.76									RepairPDB_failed_using_unrepaired
O14832	success	133.22									RepairPDB_failed_using_unrepaired
O14836	success	326.67									
O14841	success	164.46									RepairPDB_failed_using_unrepaired
O14842	success	-41.61									
O14843	success	-32.15									
O14862	success	168.25									RepairPDB_failed_using_unrepaired
O14863	success	122.31									
O14867	success	944.0									RepairPDB_failed_using_unrepaired
O14874	success	154.82									RepairPDB_failed_using_unrepaired
O14879	success	203.11									RepairPDB_failed_using_unrepaired
O14880	success	-22.23									
O14893	success	30.94									
O14894	success	-1.01									
O14896	success	274.82									RepairPDB_failed_using_unrepaired
O14901	success	720.45									
O14904	success	173.51									RepairPDB_failed_using_unrepaired
O14905	success	37.01									
O14907	success	1.51									
O14908	success	59.01									
O14910	success	31.84									
O14917	success	1451.2									RepairPDB_failed_using_unrepaired
O14920	success	179.87									RepairPDB_failed_using_unrepaired
O14921	success	-29.17									
O14924	success	2373.23									RepairPDB_failed_using_unrepaired
O14925	success	111.12									
O14926	success	150.55									RepairPDB_failed_using_unrepaired
O14929	success	62.12									RepairPDB_failed_using_unrepaired
O14931	success	51.51									
O14933	success	-54.09									
O14936	success	370.82									RepairPDB_failed_using_unrepaired
O14939	success	163.29									RepairPDB_failed_using_unrepaired
O14944	success	86.38									
O14948	success	394.07									
O14949	success	28.79									
O14950	success	18.54									
O14957	success	16.93									
O14958	success	123.39									RepairPDB_failed_using_unrepaired
O14960	success	-3.73									
O14964	success	738.13									RepairPDB_failed_using_unrepaired
O14965	success	246.68									RepairPDB_failed_using_unrepaired
O14966	success	10.73									
O14967	success	398.47									RepairPDB_failed_using_unrepaired
O14972	success	-34.68									
O14974	success	1524.61									RepairPDB_failed_using_unrepaired
O14975	success	85.01									RepairPDB_failed_using_unrepaired
O14976	success	1349.8									RepairPDB_failed_using_unrepaired
O14977	success	-10.39									
O14978	success	796.12									RepairPDB_failed_using_unrepaired
O14979	success	596.86									RepairPDB_failed_using_unrepaired
O14980	success	-4.17									RepairPDB_failed_using_unrepaired
O14981	success	599.7									RepairPDB_failed_using_unrepaired
O14983	success	164.64									RepairPDB_failed_using_unrepaired
O14986	success	384.81									RepairPDB_failed_using_unrepaired
O14990	success	247.84									
O14994	success	407.41									
O15013	success	1061.42									RepairPDB_failed_using_unrepaired
O15014	success	3473.8									RepairPDB_failed_using_unrepaired
O15015	success	3579.54									RepairPDB_failed_using_unrepaired
O15016	success	2009.1									RepairPDB_failed_using_unrepaired
O15018	success	2829.61									RepairPDB_failed_using_unrepaired
O15020	success	3052.05									RepairPDB_failed_using_unrepaired
O15021	success	6073.34									RepairPDB_failed_using_unrepaired
O15027	success	5386.87									RepairPDB_failed_using_unrepaired
O15031	success	513.96									RepairPDB_failed_using_unrepaired
O15033	success	252.31									RepairPDB_failed_using_unrepaired
O15034	success	1108.22									RepairPDB_failed_using_unrepaired
O15037	success	565.3									RepairPDB_failed_using_unrepaired
O15040	success	1412.79									RepairPDB_failed_using_unrepaired
O15041	success	322.93									RepairPDB_failed_using_unrepaired
O15042	success	1278.3									RepairPDB_failed_using_unrepaired
O15047	success	3385.61									RepairPDB_failed_using_unrepaired
O15049	success	644.12									RepairPDB_failed_using_unrepaired
O15050	success	841.55									RepairPDB_failed_using_unrepaired
O15054	success	2523.62									RepairPDB_failed_using_unrepaired
O15055	success	1876.08									RepairPDB_failed_using_unrepaired
O15056	success	1106.95									RepairPDB_failed_using_unrepaired
O15060	success	979.51									RepairPDB_failed_using_unrepaired
