accession	ft_transit	ft_signal	cc_subcellular_location
P54098			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:10827171, ECO:0000269|PubMed:18063578}. Mitochondrion matrix, mitochondrion nucleoid {ECO:0000269|PubMed:18063578}.
P54819			SUBCELLULAR LOCATION: Mitochondrion intermembrane space {ECO:0000255|HAMAP-Rule:MF_03168}.
P54868	"TRANSIT 1..37; /note=""Mitochondrion""; /evidence=""ECO:0000305"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:P22791}.
P54886			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:26297558, ECO:0000269|PubMed:26320891}. Mitochondrion matrix {ECO:0000269|PubMed:32770108}. Note=Exhibits puncta-like structures inside mitochondria under nutrient stress (PubMed:32770108). When cellular dependence on oxidative phosphorylation increases, forms filaments, which may increase its activity, and is sequestered in a subset of atypical mitochondria that lack cristae and ATP synthase (PubMed:39506109). {ECO:0000269|PubMed:32770108, ECO:0000269|PubMed:39506109}.
P55084	"TRANSIT 1..33; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:12665801, ECO:0007744|PubMed:25944712"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:21527675}. Mitochondrion inner membrane {ECO:0000269|PubMed:21527675}. Mitochondrion outer membrane {ECO:0000269|PubMed:21527675}. Endoplasmic reticulum {ECO:0000269|PubMed:21527675}. Note=Protein stability and association with membranes require HADHA. {ECO:0000269|PubMed:29915090}.
P55211			
P55789			SUBCELLULAR LOCATION: [Isoform 1]: Mitochondrion intermembrane space. Mitochondrion {ECO:0000269|PubMed:23676665}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm. Secreted.
P55809	"TRANSIT 1..39; /note=""Mitochondrion""; /evidence=""ECO:0000269|Ref.6"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:B2GV06}.
P55851			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P70406}; Multi-pass membrane protein {ECO:0000255}.
P55916			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P56501}; Multi-pass membrane protein {ECO:0000255}.
P55957			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14583606}. Mitochondrion membrane {ECO:0000269|PubMed:14583606}. Mitochondrion outer membrane {ECO:0000269|PubMed:29531808}. Note=When uncleaved, it is predominantly cytoplasmic. {ECO:0000269|PubMed:14583606}.; SUBCELLULAR LOCATION: [BH3-interacting domain death agonist p15]: Mitochondrion membrane {ECO:0000269|PubMed:9727491}. Note=Translocates to mitochondria following cleavage. {ECO:0000269|PubMed:9727491}.; SUBCELLULAR LOCATION: [BH3-interacting domain death agonist p13]: Mitochondrion membrane {ECO:0000250|UniProtKB:P70444}. Note=Associated with the mitochondrial membrane. {ECO:0000250|UniProtKB:P70444}.; SUBCELLULAR LOCATION: [Isoform 1]: Cytoplasm {ECO:0000269|PubMed:14583606}.; SUBCELLULAR LOCATION: [Isoform 3]: Cytoplasm {ECO:0000269|PubMed:14583606}.; SUBCELLULAR LOCATION: [Isoform 2]: Mitochondrion membrane {ECO:0000269|PubMed:14583606}. Note=A significant proportion of isoform 2 localizes to mitochondria, it may be cleaved constitutively. {ECO:0000269|PubMed:14583606}.
P56134			SUBCELLULAR LOCATION: Mitochondrion. Mitochondrion inner membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
P56181	"TRANSIT 1..34; /note=""Mitochondrion""; /evidence=""ECO:0000250"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:12611891}; Peripheral membrane protein {ECO:0000305}; Matrix side {ECO:0000305}.
P56378			SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000269|PubMed:24330338}; Single-pass membrane protein {ECO:0000255}.
P56381			SUBCELLULAR LOCATION: Mitochondrion. Mitochondrion inner membrane.
P56385			SUBCELLULAR LOCATION: Mitochondrion. Mitochondrion inner membrane.
P56556			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:12611891}; Peripheral membrane protein {ECO:0000305}; Matrix side {ECO:0000305}.
P56962			SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:23006999}; Multi-pass membrane protein {ECO:0000255}. Smooth endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9Z158}; Multi-pass membrane protein {ECO:0000255}. Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000269|PubMed:23006999}; Multi-pass membrane protein {ECO:0000255}. Cytoplasmic vesicle, autophagosome membrane {ECO:0000269|PubMed:23217709, ECO:0000269|PubMed:25686604, ECO:0000269|PubMed:26416964, ECO:0000269|PubMed:28306502, ECO:0000269|PubMed:29420192}; Multi-pass membrane protein {ECO:0000255}. Cytoplasmic vesicle, COPII-coated vesicle membrane {ECO:0000250|UniProtKB:Q9Z158}; Multi-pass membrane protein {ECO:0000255}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9Z158}. Mitochondrion membrane {ECO:0000269|PubMed:23217709, ECO:0000269|PubMed:28504273}; Multi-pass membrane protein {ECO:0000255}. Autolysosome membrane {ECO:0000269|PubMed:37821429}; Multi-pass membrane protein {ECO:0000255}. Note=Has a hairpin-like insertion into membranes. Localizes to the completed autophagosome membrane upon cell starvation (PubMed:23217709). Colocalized with RAB39A and RAB39B in autolysosomes in autophagy-induced conditions (PubMed:37821429). {ECO:0000269|PubMed:23217709, ECO:0000269|PubMed:37821429}.
P57105			SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000269|PubMed:32973005}.
P59942	"TRANSIT 1..24; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:14527716}.
P60602			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:16842742, ECO:0000269|PubMed:19535734}; Single-pass membrane protein {ECO:0000269|PubMed:16842742, ECO:0000269|PubMed:19535734}.
P61604			SUBCELLULAR LOCATION: Mitochondrion matrix.
P62072			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:11489896, ECO:0000269|PubMed:14726512}; Peripheral membrane protein {ECO:0000269|PubMed:11489896, ECO:0000269|PubMed:14726512}; Intermembrane side {ECO:0000269|PubMed:11489896, ECO:0000269|PubMed:14726512}.
P62244			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23636399}. Nucleus, nucleolus {ECO:0000269|PubMed:34516797}.
P62269			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23636399}.
P78537			SUBCELLULAR LOCATION: Mitochondrion intermembrane space {ECO:0000269|PubMed:22309213}. Mitochondrion matrix {ECO:0000269|PubMed:22309213}. Cytoplasm, cytosol {ECO:0000269|PubMed:22309213}. Lysosome membrane {ECO:0000305|PubMed:25898167}.
P78540	"TRANSIT 1..22; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:8898077}.
P78549	"TRANSIT 1..22; /note=""Mitochondrion""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03183, ECO:0000269|PubMed:12144783"""		SUBCELLULAR LOCATION: Nucleus {ECO:0000255|HAMAP-Rule:MF_03183, ECO:0000269|PubMed:10882850, ECO:0000269|PubMed:12531031, ECO:0000269|PubMed:9611236}. Mitochondrion {ECO:0000255|HAMAP-Rule:MF_03183, ECO:0000269|PubMed:9611236}.
P80404	"TRANSIT 1..28; /note=""Mitochondrion"""		SUBCELLULAR LOCATION: Mitochondrion matrix.
P82650			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25838379}.
P82673	"TRANSIT 1..?; /note=""Mitochondrion""; /evidence=""ECO:0000305"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25838379}.
P82914	"TRANSIT 1..57; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:25838379, ECO:0000269|PubMed:27184847}.
P82930			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:11279123}.
P82932			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25838379}.
P83111	"TRANSIT 1..115; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:11551941, ECO:0000269|PubMed:19858488, ECO:0000269|PubMed:28329758}.
P84085			SUBCELLULAR LOCATION: Golgi apparatus {ECO:0000269|PubMed:17555535}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:17555535}. Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}. Golgi apparatus, trans-Golgi network membrane {ECO:0000250|UniProtKB:P84084}; Lipid-anchor {ECO:0000250|UniProtKB:P84084}.
P86397	"TRANSIT 1..?; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:17898086"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:17898086}.
P99999			SUBCELLULAR LOCATION: Mitochondrion intermembrane space. Note=Loosely associated with the inner membrane.
Q00059	"TRANSIT 1..42; /note=""Mitochondrion""; /evidence=""ECO:0000255, ECO:0007744|PubMed:25944712"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:1737790, ECO:0000269|PubMed:18063578, ECO:0000269|PubMed:22841477, ECO:0000269|PubMed:29445193}. Mitochondrion matrix, mitochondrion nucleoid {ECO:0000269|PubMed:18063578}.
Q00325	"TRANSIT 1..49; /note=""Mitochondrion""; /evidence=""ECO:0000250"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:40652815}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P12234}.
Q02127	"TRANSIT 1..10; /note=""Mitochondrion; not cleaved""; /evidence=""ECO:0000250"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:10727948}; Single-pass membrane protein {ECO:0000269|PubMed:10727948}.
Q02218	"TRANSIT 1..40; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:29211711}. Nucleus {ECO:0000269|PubMed:29211711}. Note=Mainly localizes in the mitochondrion. A small fraction localizes to the nucleus, where the 2-oxoglutarate dehydrogenase complex is required for histone succinylation. {ECO:0000269|PubMed:29211711}.
Q02221	"TRANSIT 1..12; /note=""Mitochondrion""; /evidence=""ECO:0000250"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P07471}; Single-pass membrane protein {ECO:0000250|UniProtKB:P07471}.
Q02252	"TRANSIT 1..33; /note=""Mitochondrion""; /evidence=""ECO:0000250"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000305|PubMed:23835272}.
Q02318	"TRANSIT 1..33; /note=""Mitochondrion"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P17178}; Peripheral membrane protein {ECO:0000250|UniProtKB:P17178}. Note=Post-translationally targeted to mitochondria. All three of the receptor proteins in the TOM complex, TOMM70, TOMM20 and TOMM22 are required for the translocation across the mitochondrial outer membrane. After translocation into the matrix, associates with the inner membrane as a membrane extrinsic protein. {ECO:0000250|UniProtKB:P17178}.
P49406	"TRANSIT 1..?; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:10600119, ECO:0000269|PubMed:11543634, ECO:0000269|PubMed:25278503, ECO:0000269|PubMed:25838379, ECO:0000269|PubMed:28892042}.
P56277			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:7784073}.
P58557			SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:22042635}.
P82663			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25838379}.
P82675			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25838379}.
P82912	"TRANSIT 1..?; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25838379}.
P82921			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25838379}.
P82933	"TRANSIT 1..?; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25838379}.
Q02338	"TRANSIT 1..46; /note=""Mitochondrion""; /evidence=""ECO:0007744|PubMed:25944712"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q02337}. Mitochondrion matrix {ECO:0000250|UniProtKB:Q02337}.
P82664			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25838379}.
P82909			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:P82908}.
Q02978			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P97700}; Multi-pass membrane protein {ECO:0000255}.
Q04837	"TRANSIT 1..16; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:19892738, ECO:0007744|PubMed:25944712"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:18063578, ECO:0000269|PubMed:31550237, ECO:0000269|PubMed:31550240}. Mitochondrion matrix, mitochondrion nucleoid {ECO:0000269|PubMed:18063578, ECO:0000269|PubMed:31550240}.
Q05932	"TRANSIT 1..42; /note=""Mitochondrion""; /evidence=""ECO:0007744|PubMed:22814378"""		SUBCELLULAR LOCATION: [Isoform 1]: Mitochondrion inner membrane {ECO:0000269|PubMed:16169100}. Mitochondrion matrix {ECO:0000269|PubMed:16169100, ECO:0000269|PubMed:8408020, ECO:0000269|PubMed:8662720}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:8662720}.
Q06055	"TRANSIT 1..66; /note=""Mitochondrion""; /evidence=""ECO:0000250"""		SUBCELLULAR LOCATION: Mitochondrion membrane; Multi-pass membrane protein.
Q07021	"TRANSIT 1..73; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:1830244, ECO:0000269|PubMed:8662673, ECO:0007744|PubMed:25944712"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:15031724, ECO:0000269|PubMed:17486078, ECO:0000269|PubMed:19164550, ECO:0000269|PubMed:9305894}. Nucleus {ECO:0000269|PubMed:18676636, ECO:0000269|PubMed:9299613}. Nucleus, nucleolus {ECO:0000269|PubMed:21536856, ECO:0000269|PubMed:32958672}. Cell membrane {ECO:0000269|PubMed:10747014, ECO:0000269|PubMed:11493647, ECO:0000269|PubMed:12574814, ECO:0000269|PubMed:8195709, ECO:0000269|PubMed:8662673, ECO:0000269|PubMed:9191880, ECO:0000269|PubMed:9233640}; Peripheral membrane protein {ECO:0000269|PubMed:12574814, ECO:0000269|PubMed:8662673, ECO:0000269|PubMed:9191880}; Extracellular side. Secreted. Cytoplasm {ECO:0000269|PubMed:11493647, ECO:0000269|PubMed:9299613}. Note=Seems to be predominantly localized to mitochondria. Secreted by activated lymphocytes. Localizes to the nucleolus when coexpressed with POLGARF (PubMed:32958672). Interaction with POLGARF is likely to result in prevention of C1QBP maturation and redirection from mitochondria to nucleoli (PubMed:32958672). {ECO:0000269|PubMed:32958672}.
Q07812			SUBCELLULAR LOCATION: [Isoform Alpha]: Mitochondrion outer membrane {ECO:0000269|PubMed:25609812, ECO:0000269|PubMed:29531808}; Single-pass membrane protein {ECO:0000255}. Cytoplasm {ECO:0000269|PubMed:27558414, ECO:0000269|PubMed:29531808}. Nucleus {ECO:0000269|PubMed:36361894}. Note=Colocalizes with 14-3-3 proteins in the cytoplasm. Under stress conditions, undergoes a conformation change that causes release from JNK-phosphorylated 14-3-3 proteins and translocation to the mitochondrion membrane. Upon Sendai virus infection, recruited to the mitochondrion through interaction with IRF3 (PubMed:25609812). {ECO:0000269|PubMed:25609812}.; SUBCELLULAR LOCATION: [Isoform Beta]: Cytoplasm.; SUBCELLULAR LOCATION: [Isoform Gamma]: Cytoplasm.; SUBCELLULAR LOCATION: [Isoform Delta]: Cytoplasm {ECO:0000305}.
Q07817			SUBCELLULAR LOCATION: [Isoform Bcl-X(L)]: Mitochondrion inner membrane {ECO:0000250}. Mitochondrion outer membrane {ECO:0000250}. Mitochondrion matrix {ECO:0000250}. Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000250}. Cytoplasm, cytosol {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Nucleus membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Note=After neuronal stimulation, translocates from cytosol to synaptic vesicle and mitochondrion membrane in a calmodulin-dependent manner (By similarity). Localizes to the centrosome when phosphorylated at Ser-49. {ECO:0000250}.
Q07820			SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}. Cytoplasm. Mitochondrion. Nucleus, nucleoplasm. Note=Cytoplasmic, associated with mitochondria.
Q07973	"TRANSIT 1..35; /note=""Mitochondrion""; /evidence=""ECO:0000250|UniProtKB:Q09128"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q09128}.
Q08257			SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:20103721}.
Q08426			SUBCELLULAR LOCATION: Peroxisome {ECO:0000305}.
Q08AE8			SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:11747823}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:11747823}. Cell membrane {ECO:0000269|PubMed:11747823}; Peripheral membrane protein {ECO:0000269|PubMed:11747823}; Cytoplasmic side {ECO:0000269|PubMed:11747823}. Cytoplasmic vesicle membrane {ECO:0000250|UniProtKB:Q52KF3}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q52KF3}; Cytoplasmic side {ECO:0000250|UniProtKB:Q52KF3}. Note=Detected at the cleavage furrow during asymmetric oocyte division and polar body extrusion (By similarity). Punctate spots in perinuclear region and cytoplasm, colocalized with Rab11 (By similarity). {ECO:0000250|UniProtKB:Q52KF3}.
Q08AH1	"TRANSIT 1..31; /note=""Mitochondrion""; /evidence=""ECO:0000250"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250|UniProtKB:Q91VA0}. Mitochondrion {ECO:0000250|UniProtKB:Q91VA0}.
Q08AH3	"TRANSIT 1..46; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q68CK6}.
Q08J23			SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:17071714, ECO:0000269|PubMed:17215513, ECO:0000269|PubMed:31276587}. Cytoplasm {ECO:0000269|PubMed:17071714, ECO:0000269|PubMed:31276587}. Mitochondrion {ECO:0000269|PubMed:31276587, ECO:0000269|PubMed:31287866}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:19596847}. Secreted, extracellular exosome {ECO:0000250|UniProtKB:Q1HFZ0}. Note=Concentrated in the nucleolus during interphase and translocates to the spindle during mitosis as an RNA-protein complex that includes 18S ribosomal RNA (PubMed:19596847). In testis, localizes to the chromatoid body (By similarity). {ECO:0000250|UniProtKB:Q1HFZ0, ECO:0000269|PubMed:19596847}.
Q09013			SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type IV membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Nucleus outer membrane {ECO:0000305}; Single-pass type IV membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Mitochondrion outer membrane {ECO:0000305}; Single-pass type IV membrane protein {ECO:0000305}. Sarcoplasmic reticulum membrane {ECO:0000250}. Cell membrane {ECO:0000250}. Cytoplasm, cytosol {ECO:0000250}. Note=Localizes to sarcoplasmic reticulum membranes of cardiomyocytes. {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 1]: Mitochondrion membrane.; SUBCELLULAR LOCATION: [Isoform 3]: Mitochondrion membrane.
Q10713	"TRANSIT 1..33; /note=""Mitochondrion""; /evidence=""ECO:0007744|PubMed:25944712"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250|UniProtKB:P20069}. Mitochondrion inner membrane {ECO:0000269|PubMed:25808372}.
Q12849	"TRANSIT 1..117; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: [Isoform 1]: Mitochondrion matrix {ECO:0000269|PubMed:23473033, ECO:0000269|PubMed:23473034, ECO:0000269|PubMed:25683715, ECO:0000269|PubMed:29967381}. Note=Localizes to mitochondrial RNA granules found in close proximity to the mitochondrial nucleoids. {ECO:0000269|PubMed:23473033, ECO:0000269|PubMed:23473034, ECO:0000269|PubMed:25683715}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:23473034}.
Q12887	"TRANSIT 1..?; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion membrane; Multi-pass membrane protein.
Q12931	"TRANSIT 1..59; /note=""Mitochondrion""; /evidence=""ECO:0000250"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:23564345}. Mitochondrion inner membrane {ECO:0000269|PubMed:23564345}. Mitochondrion matrix {ECO:0000269|PubMed:23564345}.
Q12983			SUBCELLULAR LOCATION: Mitochondrion. Mitochondrion outer membrane; Single-pass membrane protein. Note=Coexpression with the EIB 19-kDa protein results in a shift in NIP3 localization pattern to the nuclear envelope. Colocalizes with ACAA2 in the mitochondria. Colocalizes with SPATA18 at the mitochondrion outer membrane.
Q13011	"TRANSIT 1..33; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q62651}. Peroxisome {ECO:0000250|UniProtKB:Q62651}.
Q13057			SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:24360804, ECO:0000269|PubMed:40925986}. Mitochondrion matrix {ECO:0000269|PubMed:24360804}. Note=The protein is mainly cytosolic and active in the cytosol (PubMed:40925986). Present in the mitochondrial matrix, probably anchored to the inner mitochondrial membrane (PubMed:24360804). {ECO:0000269|PubMed:24360804, ECO:0000269|PubMed:40925986}.
Q13084	"TRANSIT 1..55; /note=""Mitochondrion""; /evidence=""ECO:0000250"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25278503, ECO:0000269|PubMed:28892042}.
Q13085			SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q5SWU9}.
Q13162		"SIGNAL 1..37; /evidence=""ECO:0000269|PubMed:19892738, ECO:0007744|PubMed:25944712"""	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:18052930, ECO:0000269|PubMed:9388242}. Endoplasmic reticulum {ECO:0000269|PubMed:18052930}. Note=Cotranslationally translocated to and retained within the endoplasmic reticulum. A small fraction of the protein is cytoplasmic. {ECO:0000269|PubMed:18052930}.
Q13232			SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000269|PubMed:30587587, ECO:0000269|PubMed:37584589}; Peripheral membrane protein {ECO:0000269|PubMed:30587587, ECO:0000269|PubMed:37584589}. Cytoplasm {ECO:0000269|PubMed:26945015}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000250|UniProtKB:Q9WV85}.
Q13268	"TRANSIT 1..23; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:7556196"""		SUBCELLULAR LOCATION: Mitochondrion matrix. Nucleus. Note=A minor fraction of the protein is translocated from the mitochondria to the nucleus, after cleavage of the targeting signal.
Q13323			SUBCELLULAR LOCATION: Endomembrane system {ECO:0000269|PubMed:8816500}; Single-pass membrane protein {ECO:0000255}. Mitochondrion membrane {ECO:0000250|UniProtKB:O70337}; Single-pass membrane protein {ECO:0000255}. Note=Around the nuclear envelope, and in cytoplasmic membranes. {ECO:0000269|PubMed:8816500}.
Q13405			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25278503, ECO:0000269|PubMed:25838379, ECO:0000269|PubMed:28892042}.
Q13423	"TRANSIT 1..43; /note=""Mitochondrion""; /evidence=""ECO:0000250|UniProtKB:P11024"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}; Matrix side {ECO:0000305}.
Q13472			SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:29290614}.
Q13505			SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Mitochondrion outer membrane {ECO:0000250}.
Q13686			SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:22961808}. Mitochondrion {ECO:0000269|PubMed:17979886, ECO:0000269|PubMed:18603530, ECO:0000269|PubMed:27497299}. Note=Mainly localizes in euchromatin, largely excluded from heterochromatin and nucleoli (By similarity). {ECO:0000250|UniProtKB:P0CB42}.
Q13794			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:15705586, ECO:0000269|PubMed:17374615}.
Q13825	"TRANSIT 1..67; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:7892223"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q9JLZ3}.
Q13907			SUBCELLULAR LOCATION: Peroxisome {ECO:0000250|UniProtKB:O35586}.
Q14061			SUBCELLULAR LOCATION: Mitochondrion intermembrane space {ECO:0000269|PubMed:19393246, ECO:0000305|PubMed:35750769}. Cytoplasm {ECO:0000269|PubMed:19393246}.
Q14154	"TRANSIT 1..23; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: [DAP3-binding cell death enhancer 1]: Mitochondrion {ECO:0000269|PubMed:20563667, ECO:0000269|PubMed:32132706, ECO:0000269|PubMed:32132707, ECO:0000269|PubMed:37327776}. Mitochondrion outer membrane {ECO:0000269|PubMed:37327776}. Mitochondrion inner membrane {ECO:0000269|PubMed:32132707}. Note=Imported in the mitochondrial matrix in absence of stress, leading to its degradation by LONP1 (PubMed:37327776). Localizes at the mitochondrial surface in response to iron deficiency: iron deficiency impairs mitochondrial import, promoting localization at the mitochondrial surface and stabilization (PubMed:37327776). Associates with the mitochondrion inner membrane in response to mitochondrial stress, leading to its proteolytic processing by OMA1, and generation of the AP3-binding cell death enhancer 1 short form (DELE1(S) or S-DELE1) (PubMed:32132707). {ECO:0000269|PubMed:32132707, ECO:0000269|PubMed:37327776}.; SUBCELLULAR LOCATION: [DAP3-binding cell death enhancer 1 short form]: Cytoplasm, cytosol {ECO:0000269|PubMed:32132706, ECO:0000269|PubMed:32132707}. Note=This short form is generated by proteolytic processing by OMA1 in response to mitochondrial stress, leading to translocation to the cytosol. {ECO:0000269|PubMed:32132706, ECO:0000269|PubMed:32132707}.
Q14197	"TRANSIT 1..29; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:20186120, ECO:0000269|PubMed:23908630, ECO:0000269|PubMed:25278503, ECO:0000269|PubMed:25838379, ECO:0000269|PubMed:28892042}.
Q14249	"TRANSIT 1..48; /note=""Mitochondrion""; /evidence=""ECO:0000250"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:33473107}.
