accession	n_domains	top_superfamily	source
P13224	1	3.80.10.10	InterPro_Gene3D
P13232	1	1.20.1250.50	InterPro_Gene3D
P13236	1	2.40.50.40	InterPro_Gene3D
P13349	1	4.10.280.10	InterPro_Gene3D
P13378	1	1.10.10.60	InterPro_Gene3D
P13385	1	2.10.25.10	InterPro_Gene3D
P13445	3	1.10.10.10	InterPro_Gene3D
P13458	2	3.40.50.300	InterPro_Gene3D
P13473	2	2.40.160.110	InterPro_Gene3D
P13482	1	1.50.10.10	InterPro_Gene3D
P13489	1	3.80.10.10	InterPro_Gene3D
P13497	8	2.10.25.10	InterPro_Gene3D
P13500	1	2.40.50.40	InterPro_Gene3D
P13501	1	2.40.50.40	InterPro_Gene3D
P13518	2	3.20.20.450	InterPro_Gene3D
P13533	19	1.10.10.820	InterPro_Gene3D
P13535	18	1.10.10.820	InterPro_Gene3D
P13569	4	1.20.1560.10	InterPro_Gene3D
P13584	1	1.10.630.10	InterPro_Gene3D
P13591	7	2.60.40.10	InterPro_Gene3D
P13598	2	2.60.40.10	InterPro_Gene3D
P13611	7	2.10.25.10	InterPro_Gene3D
P13612	5	1.20.5.930	InterPro_Gene3D
P13631	2	1.10.565.10	InterPro_Gene3D
P13637	8	1.20.1110.10	InterPro_Gene3D
P13639	5	2.40.30.10	InterPro_Gene3D
P13640	1	4.10.10.10	InterPro_Gene3D
P13645	3	1.20.5.1160	InterPro_Gene3D
P13646	3	1.20.5.1160	InterPro_Gene3D
P13647	3	1.20.5.1160	InterPro_Gene3D
P13656	2	2.10.10.20	InterPro_Gene3D
P13667	5	3.40.30.10	InterPro_Gene3D
P13669	2	1.10.10.10	InterPro_Gene3D
P13671	8	2.10.70.10	InterPro_Gene3D
P13674	3	1.25.40.10	InterPro_Gene3D
P13682	11	3.30.160.60	InterPro_Gene3D
P13686	1	3.60.21.10	InterPro_Gene3D
P13688	4	2.60.40.10	InterPro_Gene3D
P13693	1	2.170.150.10	InterPro_Gene3D
P13716	1	3.20.20.70	InterPro_Gene3D
P13725	1	1.20.1250.10	InterPro_Gene3D
P13726	2	2.60.40.10	InterPro_Gene3D
P13727	1	3.10.100.10	InterPro_Gene3D
P13738	1	1.20.1530.10	InterPro_Gene3D
P13747	2	2.60.40.10	InterPro_Gene3D
P13762	2	2.60.40.10	InterPro_Gene3D
P13765	2	2.60.40.10	InterPro_Gene3D
P13796	5	1.10.238.10	InterPro_Gene3D
P13797	5	1.10.238.10	InterPro_Gene3D
P13798	2	2.120.10.30	InterPro_Gene3D
P13804	2	3.40.50.1220	CATH_pilot
P13805	2	1.20.5.350	InterPro_Gene3D
P13807	2	3.40.50.2000	InterPro_Gene3D
P13857	1	3.40.630.30	CATH_pilot
P13861	3	1.20.890.10	InterPro_Gene3D
P13866	1	1.20.1730.10	InterPro_Gene3D
P13928	4	1.10.220.10	InterPro_Gene3D
P13929	2	3.20.20.120	InterPro_Gene3D
P13942	2	2.60.120.1000	InterPro_Gene3D
P13945	2	1.20.1070.10	InterPro_Gene3D
P13984	1	1.10.10.10	InterPro_Gene3D
P13987	1	2.10.60.10	InterPro_Gene3D
P13995	2	3.40.50.10860	CATH_pilot
P14060	1	3.40.50.720	InterPro_Gene3D
P14061	1	3.40.50.720	InterPro_Gene3D
P14081	5	1.10.10.10	InterPro_Gene3D
P14091	2	2.40.70.10	InterPro_Gene3D
P14136	3	1.20.5.1160	InterPro_Gene3D
P14151	4	2.10.25.10	InterPro_Gene3D
P14174	1	3.30.429.10	InterPro_Gene3D
P14175	2	3.10.580.10	InterPro_Gene3D
P14176	1	1.10.3720.10	InterPro_Gene3D
P14210	8	2.40.10.10	InterPro_Gene3D
P14222	1	2.60.40.150	InterPro_Gene3D
P14294	6	1.10.290.10	InterPro_Gene3D
P14314	3	1.10.238.10	InterPro_Gene3D
P14316	1	1.10.10.10	InterPro_Gene3D
P14317	1	2.30.30.40	InterPro_Gene3D
P14324	1	1.10.600.10	CATH_pilot
P14373	3	2.60.120.920	InterPro_Gene3D
P14375	4	1.10.10.60	InterPro_Gene3D
P14377	3	1.10.287.130	InterPro_Gene3D
P14384	2	2.60.40.1120	InterPro_Gene3D
P14406	1	4.10.91.10	CATH_pilot
P14407	1	3.20.130.10	InterPro_Gene3D
P14410	10	2.60.40.1180	InterPro_Gene3D
P14415	2	1.20.5.170	InterPro_Gene3D
P14416	2	1.20.1070.10	InterPro_Gene3D
P14543	8	2.10.25.10	InterPro_Gene3D
P14550	1	3.20.20.100	InterPro_Gene3D
P14555	1	1.20.90.10	InterPro_Gene3D
P14598	3	2.30.30.40	InterPro_Gene3D
P14616	10	1.10.510.10	InterPro_Gene3D
P14618	5	2.40.33.10	InterPro_Gene3D
P14621	1	3.30.70.100	InterPro_Gene3D
P14625	4	1.20.120.790	InterPro_Gene3D
P14635	3	1.10.472.10	InterPro_Gene3D
P14649	2	1.10.238.10	InterPro_Gene3D
P14651	2	1.10.10.60	InterPro_Gene3D
P14652	1	1.10.10.60	InterPro_Gene3D
P14653	1	1.10.10.60	InterPro_Gene3D
P14672	1	1.20.1250.20	InterPro_Gene3D
P14678	1	2.30.30.100	InterPro_Gene3D
P14679	1	1.10.1280.10	InterPro_Gene3D
P14735	4	3.30.830.10	CATH_pilot
P14770	1	3.80.10.10	InterPro_Gene3D
P14778	4	2.60.40.10	InterPro_Gene3D
P14780	5	2.10.10.10	InterPro_Gene3D
P14784	2	2.60.40.10	InterPro_Gene3D
P14854	1	1.10.10.140	CATH_pilot
P14859	2	1.10.10.60	InterPro_Gene3D
P14866	4	3.30.70.330	InterPro_Gene3D
P14867	3	1.20.58.390	InterPro_Gene3D
P14868	2	2.40.50.140	InterPro_Gene3D
P14900	3	3.40.1190.10	InterPro_Gene3D
P14902	1	1.20.58.480	InterPro_Gene3D
P14920	5	3.30.9.10	InterPro_Gene3D
P14921	2	1.10.10.10	InterPro_Gene3D
P14923	1	1.25.10.10	InterPro_Gene3D
P14927	1	1.10.1090.10	CATH_pilot
P15005	2	3.30.920.90	InterPro_Gene3D
P15018	1	1.20.1250.10	InterPro_Gene3D
P15028	2	3.40.50.1980	InterPro_Gene3D
P15029	1	1.10.3470.10	InterPro_Gene3D
P15030	1	1.10.3470.10	InterPro_Gene3D
P15031	1	3.40.50.300	InterPro_Gene3D
P15032	2	3.90.320.10	InterPro_Gene3D
P15034	2	3.40.350.10	InterPro_Gene3D
P15036	2	1.10.10.10	InterPro_Gene3D
P15038	5	1.10.10.160	InterPro_Gene3D
P15042	7	1.10.150.20	InterPro_Gene3D
P15043	4	1.10.10.10	InterPro_Gene3D
P15047	1	3.40.50.720	InterPro_Gene3D
P15056	4	1.10.510.10	InterPro_Gene3D
P15067	3	2.60.40.10	InterPro_Gene3D
P15070	1	2.30.330.10	InterPro_Gene3D
P15082	2	1.10.10.10	InterPro_Gene3D
P15085	2	3.30.70.340	InterPro_Gene3D
P15086	2	3.30.70.340	InterPro_Gene3D
P15088	2	3.30.70.340	InterPro_Gene3D
P15090	1	2.40.128.20	InterPro_Gene3D
P15104	3	3.10.20.70	InterPro_Gene3D
P15121	1	3.20.20.100	InterPro_Gene3D
P15144	4	1.10.390.10	InterPro_Gene3D
P15151	3	2.60.40.10	InterPro_Gene3D
P15153	1	3.40.50.300	InterPro_Gene3D
P15169	2	2.60.40.1120	InterPro_Gene3D
P15170	3	2.40.30.10	InterPro_Gene3D
P15172	1	4.10.280.10	InterPro_Gene3D
P15173	1	4.10.280.10	InterPro_Gene3D
P15254	6	1.10.8.750	CATH_pilot
P15259	1	3.40.50.1240	InterPro_Gene3D
P15260	2	2.60.40.10	InterPro_Gene3D
P15288	2	3.40.630.10	InterPro_Gene3D
P15289	2	3.30.1120.10	InterPro_Gene3D
P15291	1	3.90.550.10	InterPro_Gene3D
P15309	1	3.40.50.1240	InterPro_Gene3D
P15311	5	1.20.5.450	InterPro_Gene3D
P15313	1	3.40.50.12240	InterPro_Gene3D
P15336	2	1.20.5.170	InterPro_Gene3D
P15373	1	2.10.260.10	InterPro_Gene3D
P15374	1	3.40.532.10	InterPro_Gene3D
P15391	1	2.60.40.10	InterPro_Gene3D
P15407	1	1.20.5.170	InterPro_Gene3D
P15408	1	1.20.5.170	InterPro_Gene3D
P15421	1	1.20.5.70	InterPro_Gene3D
P15428	1	3.40.50.720	InterPro_Gene3D
P15498	7	1.10.418.10	InterPro_Gene3D
P15509	2	2.60.40.10	InterPro_Gene3D
P15514	1	2.10.25.10	InterPro_Gene3D
P15529	4	2.10.70.10	InterPro_Gene3D
P15531	1	3.30.70.141	InterPro_Gene3D
P15538	1	1.10.630.10	CATH_pilot
P15559	1	3.40.50.360	InterPro_Gene3D
P15586	1	3.40.720.10	InterPro_Gene3D
P15621	17	3.30.160.60	InterPro_Gene3D
P15622	14	3.30.160.60	InterPro_Gene3D
P15639	3	3.40.140.20	InterPro_Gene3D
P15640	4	3.30.1490.20	InterPro_Gene3D
P15692	2	2.10.160.10	InterPro_Gene3D
P15723	3	1.10.3210.10	InterPro_Gene3D
P15735	2	1.10.510.10	InterPro_Gene3D
P15770	3	3.40.50.10860	InterPro_Gene3D
P15812	2	2.60.40.10	InterPro_Gene3D
P15813	2	2.60.40.10	InterPro_Gene3D
P15814	1	2.60.40.10	InterPro_Gene3D
P15822	4	3.30.160.60	InterPro_Gene3D
P15848	2	3.30.1120.10	InterPro_Gene3D
P15863	2	1.10.10.10	InterPro_Gene3D
P15877	1	2.140.10.10	InterPro_Gene3D
P15880	2	3.30.160.20	InterPro_Gene3D
P15882	3	1.10.555.10	InterPro_Gene3D
P15884	1	4.10.280.10	InterPro_Gene3D
P15907	1	3.90.1480.20	InterPro_Gene3D
P15918	3	3.30.160.60	InterPro_Gene3D
P15923	1	4.10.280.10	InterPro_Gene3D
P15924	10	1.20.58.1060	InterPro_Gene3D
P15927	2	1.10.10.10	InterPro_Gene3D
P15941	1	6.10.140.600	InterPro_Gene3D
P15954	1	4.10.49.10	CATH_pilot
P15976	2	3.30.50.10	InterPro_Gene3D
P15977	1	3.20.20.80	InterPro_Gene3D
P15993	1	1.20.1740.10	InterPro_Gene3D
P16035	3	2.40.50.120	InterPro_Gene3D
P16050	4	1.20.245.10	InterPro_Gene3D
P16066	4	1.10.510.10	InterPro_Gene3D
P16070	1	3.10.100.10	InterPro_Gene3D
P16083	1	3.40.50.360	InterPro_Gene3D
P16095	1	3.30.1330.90	InterPro_Gene3D
P16104	1	1.10.20.10	InterPro_Gene3D
P16109	11	2.10.25.10	InterPro_Gene3D
P16112	8	2.10.25.10	InterPro_Gene3D
P16118	2	3.40.50.1240	InterPro_Gene3D
P16144	13	2.10.25.10	InterPro_Gene3D
P16152	1	3.40.50.720	InterPro_Gene3D
P16157	7	1.10.533.10	InterPro_Gene3D
P16219	3	1.10.540.10	CATH_pilot
P16220	1	1.20.5.170	InterPro_Gene3D
P16233	2	2.60.60.20	InterPro_Gene3D
P16234	7	1.10.510.10	InterPro_Gene3D
P16256	1	1.20.1730.10	InterPro_Gene3D
P16260	1	1.50.40.10	CATH_pilot
P16278	4	2.60.120.260	InterPro_Gene3D
P16284	4	2.60.40.10	InterPro_Gene3D
P16298	1	3.60.21.10	InterPro_Gene3D
P16333	4	2.30.30.40	InterPro_Gene3D
P16384	5	1.10.20.140	InterPro_Gene3D
P16389	3	1.10.287.70	InterPro_Gene3D
P16401	1	1.10.10.10	InterPro_Gene3D
P16402	1	1.10.10.10	InterPro_Gene3D
P16403	1	1.10.10.10	InterPro_Gene3D
P16410	1	2.60.40.10	InterPro_Gene3D
P16415	17	3.30.160.60	InterPro_Gene3D
P16422	1	4.10.800.10	InterPro_Gene3D
P16431	2	1.10.645.10	InterPro_Gene3D
P16432	1	3.30.70.3270	InterPro_Gene3D
P16433	1	3.40.50.12280	InterPro_Gene3D
P16435	5	1.20.990.10	InterPro_Gene3D
P16442	1	3.90.550.10	InterPro_Gene3D
P16444	1	3.20.20.140	InterPro_Gene3D
P16452	4	2.60.40.10	InterPro_Gene3D
P16455	2	1.10.10.10	InterPro_Gene3D
P16456	2	3.30.1330.10	InterPro_Gene3D
P16471	2	2.60.40.10	InterPro_Gene3D
P16473	2	1.20.1070.10	InterPro_Gene3D
P16499	3	1.10.1300.10	InterPro_Gene3D
P16519	3	2.60.120.260	InterPro_Gene3D
P16520	1	2.130.10.10	InterPro_Gene3D
P16525	4	3.30.54.10	InterPro_Gene3D
P16528	2	1.10.10.10	InterPro_Gene3D
P16562	2	1.10.10.740	InterPro_Gene3D
P16581	7	2.10.70.10	InterPro_Gene3D
P16591	5	1.10.287.160	InterPro_Gene3D
P16615	8	1.20.1110.10	InterPro_Gene3D
P16619	1	2.40.50.40	InterPro_Gene3D
P16659	4	3.30.930.10	InterPro_Gene3D
P16662	2	3.40.50.2000	InterPro_Gene3D
P16676	1	3.40.50.300	InterPro_Gene3D
P16677	1	3.40.50.300	InterPro_Gene3D
P16678	1	3.40.50.300	InterPro_Gene3D
P16679	1	3.40.50.300	InterPro_Gene3D
P16681	1	3.10.180.10	InterPro_Gene3D
P16682	4	1.20.58.90	InterPro_Gene3D
P16684	2	1.10.10.10	InterPro_Gene3D
P16686	1	3.40.50.11310	InterPro_Gene3D
P16689	2	3.20.20.140	InterPro_Gene3D
P16690	1	3.40.50.300	InterPro_Gene3D
P16691	1	3.40.630.30	InterPro_Gene3D
P16692	1	3.60.15.10	InterPro_Gene3D
P16700	4	3.40.190.10	InterPro_Gene3D
P16701	1	1.10.3720.10	InterPro_Gene3D
P16703	3	3.40.50.1100	InterPro_Gene3D
P16869	2	2.170.130.10	InterPro_Gene3D
P16870	2	2.60.40.1120	InterPro_Gene3D
P16871	2	2.60.40.10	InterPro_Gene3D
P16885	7	2.30.29.30	InterPro_Gene3D
P16916	5	2.180.10.10	InterPro_Gene3D
P16917	5	2.180.10.10	InterPro_Gene3D
P16918	4	2.180.10.10	InterPro_Gene3D
P16919	3	2.180.10.10	InterPro_Gene3D
P16926	2	2.40.10.340	InterPro_Gene3D
P16930	2	2.30.30.230	InterPro_Gene3D
P16949	1	6.10.280.30	InterPro_Gene3D
P16989	1	2.40.50.140	InterPro_Gene3D
P17010	8	3.30.160.60	InterPro_Gene3D
P17014	16	3.30.160.60	InterPro_Gene3D
P17017	20	3.30.160.60	InterPro_Gene3D
P17019	15	3.30.160.60	InterPro_Gene3D
P17020	17	3.30.160.60	InterPro_Gene3D
P17021	18	3.30.160.60	InterPro_Gene3D
P17022	7	1.10.4020.10	InterPro_Gene3D
P17023	11	3.30.160.60	InterPro_Gene3D
P17024	14	3.30.160.60	InterPro_Gene3D
P17025	16	3.30.160.60	InterPro_Gene3D
P17026	5	3.30.160.60	InterPro_Gene3D
P17027	17	3.30.160.60	InterPro_Gene3D
P17028	5	1.10.4020.10	InterPro_Gene3D
P17029	8	1.10.4020.10	InterPro_Gene3D
P17030	13	3.30.160.60	InterPro_Gene3D
P17031	14	3.30.160.60	InterPro_Gene3D
P17032	13	3.30.160.60	InterPro_Gene3D
P17035	19	3.30.160.60	InterPro_Gene3D
P17036	9	3.30.160.60	InterPro_Gene3D
P17038	23	3.30.160.60	InterPro_Gene3D
P17039	19	3.30.160.60	InterPro_Gene3D
P17040	13	1.10.10.60	InterPro_Gene3D
P17041	7	3.30.160.60	InterPro_Gene3D
P17050	2	2.60.40.1180	InterPro_Gene3D
P17066	9	1.20.1270.10	InterPro_Gene3D
P17081	1	3.40.50.300	InterPro_Gene3D
P17097	15	3.30.160.60	InterPro_Gene3D
P17098	8	3.30.160.60	InterPro_Gene3D
P17109	3	3.40.50.1220	InterPro_Gene3D
P17115	2	3.10.580.10	InterPro_Gene3D
P17117	1	3.40.109.10	InterPro_Gene3D
P17169	4	3.40.50.10490	InterPro_Gene3D
P17174	3	3.40.640.10	InterPro_Gene3D
P17181	4	2.60.40.10	InterPro_Gene3D
P17213	3	3.15.10.10	InterPro_Gene3D
P17252	6	1.10.510.10	InterPro_Gene3D
P17275	1	1.20.5.170	InterPro_Gene3D
P17301	6	1.20.5.930	InterPro_Gene3D
P17302	2	1.20.1440.80	InterPro_Gene3D
P17315	2	2.170.130.10	CATH_pilot
P17342	2	3.40.50.2300	InterPro_Gene3D
P17405	1	3.60.21.10	InterPro_Gene3D
P17410	2	1.10.10.60	InterPro_Gene3D
P17411	2	3.40.50.720	InterPro_Gene3D
P17443	2	3.40.50.2000	InterPro_Gene3D
P17444	7	3.30.560.10	InterPro_Gene3D
P17445	3	3.40.309.10	InterPro_Gene3D
P17446	1	1.10.357.10	InterPro_Gene3D
P17480	6	1.10.30.10	InterPro_Gene3D
P17481	1	1.10.10.60	InterPro_Gene3D
P17482	1	1.10.10.60	InterPro_Gene3D
P17483	1	1.10.10.60	InterPro_Gene3D
P17509	1	1.10.10.60	InterPro_Gene3D
P17516	1	3.20.20.100	InterPro_Gene3D
P17535	1	1.20.5.170	InterPro_Gene3D
P17538	1	2.40.10.10	InterPro_Gene3D
P17540	2	1.10.135.10	CATH_pilot
P17542	1	4.10.280.10	InterPro_Gene3D
P17544	2	1.20.5.170	InterPro_Gene3D
P17583	2	1.20.1250.20	InterPro_Gene3D
P17600	5	3.30.1490.20	InterPro_Gene3D
P17612	2	1.10.510.10	CATH_pilot
P17643	1	1.10.1280.10	InterPro_Gene3D
P17655	3	1.10.238.10	InterPro_Gene3D
P17658	3	1.10.287.70	InterPro_Gene3D
P17661	3	1.20.5.1160	InterPro_Gene3D
P17676	1	1.20.5.170	InterPro_Gene3D
P17677	1	1.20.5.190	InterPro_Gene3D
P17693	2	2.60.40.10	InterPro_Gene3D
P17706	1	3.90.190.10	InterPro_Gene3D
P17707	1	3.60.90.10	InterPro_Gene3D
P17735	3	3.40.640.10	InterPro_Gene3D
P17752	1	1.10.800.10	InterPro_Gene3D
P17787	3	1.20.58.390	InterPro_Gene3D
P17802	4	1.10.1670.10	InterPro_Gene3D
P17812	2	3.40.50.300	InterPro_Gene3D
P17844	2	3.40.50.300	InterPro_Gene3D
P17846	2	3.30.413.10	InterPro_Gene3D
P17854	1	3.40.50.620	InterPro_Gene3D
P17858	8	3.40.50.450	InterPro_Gene3D
P17861	1	1.20.5.170	InterPro_Gene3D
P17888	4	3.40.1440.60	InterPro_Gene3D
P17900	1	2.70.220.10	InterPro_Gene3D
P17927	30	2.10.70.10	InterPro_Gene3D
P17931	1	2.60.120.200	InterPro_Gene3D
P17936	2	4.10.40.20	InterPro_Gene3D
P17947	1	1.10.10.10	InterPro_Gene3D
P17948	9	1.10.510.10	InterPro_Gene3D
P17952	3	3.40.1190.10	InterPro_Gene3D
P17980	3	1.10.8.60	InterPro_Gene3D
P17987	5	1.10.560.10	InterPro_Gene3D
P17993	1	3.40.50.150	InterPro_Gene3D
P18031	1	3.90.190.10	InterPro_Gene3D
P18054	4	1.20.245.10	InterPro_Gene3D
P18065	2	4.10.40.20	InterPro_Gene3D
P18074	2	3.40.50.300	InterPro_Gene3D
P18075	2	2.10.90.10	InterPro_Gene3D
P18077	1	2.40.10.190	InterPro_Gene3D
P18084	10	1.20.5.100	InterPro_Gene3D
P18085	1	3.40.50.300	InterPro_Gene3D
P18089	2	1.20.1070.10	InterPro_Gene3D
P18124	2	3.30.1390.20	InterPro_Gene3D
P18133	1	3.20.140.10	InterPro_Gene3D
P18146	3	3.30.160.60	InterPro_Gene3D
P18196	2	2.160.20.70	InterPro_Gene3D
P18206	5	1.20.120.230	InterPro_Gene3D
P18335	3	3.40.640.10	InterPro_Gene3D
P18392	2	1.10.287.130	InterPro_Gene3D
P18393	1	3.90.820.10	InterPro_Gene3D
P18405	1	1.20.120.1630	InterPro_Gene3D
P18428	3	3.15.10.10	InterPro_Gene3D
P18433	2	3.90.190.10	InterPro_Gene3D
P18440	1	3.30.2140.20	InterPro_Gene3D
P18505	3	1.20.58.390	InterPro_Gene3D
P18507	3	1.20.58.390	InterPro_Gene3D
P18509	1	6.10.250.590	InterPro_Gene3D
P18510	1	2.80.10.50	InterPro_Gene3D
P18545	1	4.10.1120.10	InterPro_Gene3D
P18564	10	1.20.5.100	InterPro_Gene3D
P18577	1	1.10.3430.10	InterPro_Gene3D
P18583	1	3.30.160.20	InterPro_Gene3D
P18615	1	3.30.70.330	InterPro_Gene3D
P18621	1	3.90.470.10	InterPro_Gene3D
P18627	3	2.60.40.10	InterPro_Gene3D
P18669	1	3.40.50.1240	InterPro_Gene3D
P18754	1	2.130.10.30	InterPro_Gene3D
P18775	5	2.40.40.20	InterPro_Gene3D
P18776	3	3.30.70.20	InterPro_Gene3D
P18811	4	1.10.260.40	InterPro_Gene3D
P18825	2	1.20.1070.10	InterPro_Gene3D
P18843	1	3.40.50.620	InterPro_Gene3D
P18846	1	1.20.5.170	InterPro_Gene3D
P18847	1	1.20.5.170	InterPro_Gene3D
P18848	1	1.20.5.170	InterPro_Gene3D
P18850	1	1.20.5.170	InterPro_Gene3D
P18858	5	1.10.3260.10	InterPro_Gene3D
P18859	1	1.10.246.110	CATH_pilot
P18887	3	2.60.120.260	InterPro_Gene3D
P18956	2	1.10.246.130	InterPro_Gene3D
P19012	3	1.20.5.1160	InterPro_Gene3D
P19013	3	1.20.5.1160	InterPro_Gene3D
P19021	3	2.120.10.30	InterPro_Gene3D
P19022	7	2.60.40.60	InterPro_Gene3D
P19075	1	1.10.1450.10	InterPro_Gene3D
P19086	3	1.10.400.10	InterPro_Gene3D
P19087	3	1.10.400.10	InterPro_Gene3D
P19099	1	1.10.630.10	CATH_pilot
P19105	2	1.10.238.10	InterPro_Gene3D
P19113	3	1.20.1340.10	InterPro_Gene3D
P19174	7	2.30.29.30	InterPro_Gene3D
P19224	2	3.40.50.2000	InterPro_Gene3D
P19235	2	2.60.40.10	InterPro_Gene3D
P19237	2	1.20.5.350	InterPro_Gene3D
P19256	1	2.60.40.10	InterPro_Gene3D
P19317	1	1.10.3480.10	InterPro_Gene3D
P19318	4	1.10.3650.10	InterPro_Gene3D
P19319	2	3.40.50.12440	InterPro_Gene3D
P19320	7	2.60.40.10	InterPro_Gene3D
P19323	5	1.10.10.60	InterPro_Gene3D
P19338	4	3.30.70.330	InterPro_Gene3D
P19367	8	3.30.420.40	InterPro_Gene3D
P19387	3	2.170.120.12	InterPro_Gene3D
P19388	2	3.40.1340.10	InterPro_Gene3D
P19397	1	1.10.1450.10	InterPro_Gene3D
P19404	2	1.10.10.1590	CATH_pilot
P19419	1	1.10.10.10	InterPro_Gene3D
P19429	2	1.20.5.350	InterPro_Gene3D
P19438	3	1.10.533.10	InterPro_Gene3D
P19440	2	1.10.246.130	InterPro_Gene3D
P19447	2	3.40.50.300	InterPro_Gene3D
P19474	3	2.60.120.920	InterPro_Gene3D
P19484	1	4.10.280.10	InterPro_Gene3D
P19525	4	1.10.510.10	InterPro_Gene3D
P19532	1	4.10.280.10	InterPro_Gene3D
P19544	4	3.30.160.60	InterPro_Gene3D
P19622	1	1.10.10.60	InterPro_Gene3D
P19623	2	2.30.140.10	InterPro_Gene3D
P19624	1	3.40.718.10	InterPro_Gene3D
P19634	3	6.10.140.1330	InterPro_Gene3D
P19636	3	3.40.50.11240	InterPro_Gene3D
P19642	1	3.30.1360.60	InterPro_Gene3D
P19652	1	2.40.128.20	InterPro_Gene3D
P19768	2	1.10.10.10	InterPro_Gene3D
P19769	1	3.30.420.10	InterPro_Gene3D
P19784	2	1.10.510.10	InterPro_Gene3D
P19793	2	1.10.565.10	InterPro_Gene3D
P19801	3	2.70.98.20	InterPro_Gene3D
P19823	1	3.40.50.410	InterPro_Gene3D
P19827	1	3.40.50.410	InterPro_Gene3D
P19835	1	3.40.50.1820	InterPro_Gene3D
P19838	4	1.10.533.10	InterPro_Gene3D
P19875	1	2.40.50.40	InterPro_Gene3D
P19876	1	2.40.50.40	InterPro_Gene3D
P19878	4	1.25.40.10	InterPro_Gene3D
P19883	4	3.30.60.30	InterPro_Gene3D
P19925	1	3.90.470.20	InterPro_Gene3D
P19926	5	3.40.50.1240	InterPro_Gene3D
P19930	1	3.40.50.1450	InterPro_Gene3D
P19931	1	3.40.30.10	InterPro_Gene3D
P19932	2	3.30.1370.140	InterPro_Gene3D
P19934	1	3.30.1150.10	InterPro_Gene3D
P19957	1	4.10.75.10	InterPro_Gene3D
P19961	2	2.60.40.1180	InterPro_Gene3D
P19971	3	1.20.970.10	InterPro_Gene3D
P20020	8	1.20.1110.10	InterPro_Gene3D
P20023	14	2.10.70.10	InterPro_Gene3D
P20036	2	2.60.40.10	InterPro_Gene3D
P20042	1	3.30.30.170	InterPro_Gene3D
P20061	2	1.50.10.20	InterPro_Gene3D
P20062	2	1.50.10.20	InterPro_Gene3D
P20073	4	1.10.220.10	InterPro_Gene3D
P20083	3	3.30.230.10	InterPro_Gene3D
P20099	9	2.40.40.20	InterPro_Gene3D
P20132	3	3.40.50.1100	InterPro_Gene3D
P20138	2	2.60.40.10	InterPro_Gene3D
P20142	3	2.40.70.10	InterPro_Gene3D
P20151	4	2.40.10.10	InterPro_Gene3D
P20155	1	3.30.60.30	InterPro_Gene3D
P20160	4	2.40.10.10	InterPro_Gene3D
P20226	3	3.30.310.10	InterPro_Gene3D
P20231	4	2.40.10.10	InterPro_Gene3D
P20248	3	1.10.472.10	InterPro_Gene3D
P20264	2	1.10.10.60	InterPro_Gene3D
P20265	2	1.10.10.60	InterPro_Gene3D
P20273	7	2.60.40.10	InterPro_Gene3D
P20290	1	2.20.70.30	InterPro_Gene3D
P20292	1	1.20.120.550	InterPro_Gene3D
P20309	2	1.20.1070.10	InterPro_Gene3D
P20333	2	2.10.50.10	InterPro_Gene3D
P20336	1	3.40.50.300	InterPro_Gene3D
P20337	1	3.40.50.300	InterPro_Gene3D
P20338	1	3.40.50.300	InterPro_Gene3D
P20339	1	3.40.50.300	InterPro_Gene3D
P20340	1	3.40.50.300	InterPro_Gene3D
P20393	3	1.10.565.10	InterPro_Gene3D
P20472	1	1.10.238.10	InterPro_Gene3D
P20585	6	1.10.1420.10	InterPro_Gene3D
P20591	2	1.20.120.1240	InterPro_Gene3D
P20592	2	1.20.120.1240	InterPro_Gene3D
P20594	5	1.10.510.10	InterPro_Gene3D
P20605	1	1.10.3290.10	InterPro_Gene3D
P20618	1	3.60.20.10	InterPro_Gene3D
P20645	1	2.70.130.10	InterPro_Gene3D
P20648	8	1.20.1110.10	InterPro_Gene3D
P20671	1	1.10.20.10	InterPro_Gene3D
P20674	1	1.25.40.40	CATH_pilot
P20700	5	1.20.5.1160	InterPro_Gene3D
P20701	7	1.20.5.2120	InterPro_Gene3D
P20702	6	1.20.5.930	InterPro_Gene3D
P20711	3	1.20.1340.10	InterPro_Gene3D
P20718	4	2.40.10.10	InterPro_Gene3D
P20719	1	1.10.10.60	InterPro_Gene3D
P20742	10	1.50.10.20	InterPro_Gene3D
P20749	1	1.25.40.20	InterPro_Gene3D
P20774	1	3.80.10.10	InterPro_Gene3D
P20783	1	2.10.90.10	InterPro_Gene3D
P20794	2	1.10.510.10	InterPro_Gene3D
P20807	4	1.10.238.10	InterPro_Gene3D
P20809	1	1.20.1250.10	InterPro_Gene3D
P20813	1	1.10.630.10	InterPro_Gene3D
P20815	1	1.10.630.10	InterPro_Gene3D
P20823	2	1.10.10.60	InterPro_Gene3D
P20827	1	2.60.40.420	InterPro_Gene3D
P20839	1	3.20.20.70	InterPro_Gene3D
P20848	4	2.30.39.10	InterPro_Gene3D
P20849	1	2.60.120.200	InterPro_Gene3D
P20851	3	2.10.70.10	InterPro_Gene3D
P20853	1	1.10.630.10	InterPro_Gene3D
P20908	2	2.60.120.1000	InterPro_Gene3D
P20916	4	2.60.40.10	InterPro_Gene3D
P20929	1	2.30.30.40	InterPro_Gene3D
P20930	1	1.10.238.10	InterPro_Gene3D
P20933	1	3.60.20.30	InterPro_Gene3D
