accession	source	n_domains	top_superfamily	cath_class	datasets
P54746	Chainsaw	4			proteome_bg
P15723	Chainsaw	4			proteome_bg
P17583	Chainsaw	2			proteome_bg
P77031	Chainsaw	2			proteome_bg
P0ADC6	Chainsaw	2			proteome_bg
P0A821	Chainsaw	3			proteome_bg
P06610	Chainsaw	1			proteome_bg
P13036	Chainsaw	2			proteome_bg
P0AAM3	Chainsaw	1			proteome_bg
P0ABX8	Chainsaw	1			proteome_bg
P39305	Chainsaw	1			proteome_bg
P10100	Chainsaw	2			proteome_bg
P0CF42	Chainsaw	1			proteome_bg
P0A9D2	Chainsaw	2			proteome_bg
P0ADG7	Chainsaw	2			proteome_bg
P0AAX3	Chainsaw	1			proteome_bg
P31455	Chainsaw	1			proteome_bg
P08506	Chainsaw	2			proteome_bg
P76342	Chainsaw	3			proteome_bg
P0AG67	Chainsaw	6			proteome_bg
Q2M5U1	Chainsaw	1			proteome_bg
P33940	Chainsaw	3			proteome_bg
P31802	Chainsaw	2			proteome_bg
P77309	Chainsaw	3			proteome_bg
P65556	Chainsaw	1			proteome_bg
P39187	Chainsaw	1			proteome_bg
P0AGL2	Chainsaw	1			proteome_bg
P76071	Chainsaw	2			groel
P76481	Chainsaw	3			proteome_bg
P09980	Chainsaw	4			proteome_bg
P17446	Chainsaw	1			proteome_bg
P0AF61	Chainsaw	1			proteome_bg
P0AFY6	Chainsaw	2			proteome_bg
P18335	Chainsaw	2			proteome_bg
P31063	Chainsaw	1			proteome_bg
P0AAB6	Chainsaw	2			proteome_bg
P0AFI5	Chainsaw	1			proteome_bg
P76035	Chainsaw	2			proteome_bg
P77414	Chainsaw	2			proteome_bg
P0AD65	Chainsaw	2			proteome_bg
P0A7Y8	Chainsaw	1			proteome_bg
Q46927	Chainsaw	1			proteome_bg
P08191	Chainsaw	2			proteome_bg
P76499	Chainsaw	1			proteome_bg
P46482	Chainsaw	2			proteome_bg
P0AFW8	Chainsaw	1			proteome_bg
P0AFP2	Chainsaw	1			proteome_bg
P14900	Chainsaw	3			proteome_bg
P0AF03	Chainsaw	1			proteome_bg
P37009	Chainsaw	2			proteome_bg
P0AB67	Chainsaw	2			proteome_bg
P0AC86	Chainsaw	2			proteome_bg
P75677	Chainsaw	1			proteome_bg
P46136	Chainsaw	1			proteome_bg
P0AEA2	Chainsaw	1			proteome_bg
P0AES6	Chainsaw	4			proteome_bg
P76156	Chainsaw	1			proteome_bg
P0A8H3	Chainsaw	1			proteome_bg
P30750	Chainsaw	2			proteome_bg
P23173	Chainsaw	1			proteome_bg
P31129	Chainsaw	2			proteome_bg
P0DSH1	Chainsaw	0			proteome_bg
P0AAW1	Chainsaw	1			proteome_bg
P09378	Chainsaw	2			proteome_bg
P31443	Chainsaw	1			proteome_bg
P77307	Chainsaw	1			proteome_bg
P0ADY1	Chainsaw	5			proteome_bg
P0A9H7	Chainsaw	2			proteome_bg
P21893	Chainsaw	3			proteome_bg
P25744	Chainsaw	2			proteome_bg
P64545	Chainsaw	0			proteome_bg
P0AB43	Chainsaw	1			proteome_bg
P0AFU6	Chainsaw	1			proteome_bg
P0AGM2	Chainsaw	1			proteome_bg
P0DQD7	Chainsaw	0			proteome_bg
O52982	Chainsaw	1			proteome_bg
P19931	Chainsaw	1			proteome_bg
P0AFM4	Chainsaw	1			proteome_bg
P0A940	Chainsaw	7			proteome_bg
P77212	Chainsaw	3			proteome_bg
P04968	Chainsaw	3			proteome_bg
P77601	Chainsaw	2			proteome_bg
P0A7T7	Chainsaw	1			proteome_bg
P27844	Chainsaw	1			proteome_bg
P0AG16	Chainsaw	2			proteome_bg
P52076	Chainsaw	2			proteome_bg
P77650	Chainsaw	3			proteome_bg
P37908	Chainsaw	3			proteome_bg
P31463	Chainsaw	3			proteome_bg
P45424	Chainsaw	1			proteome_bg
P02920	Chainsaw	2			proteome_bg
P0ABX5	Chainsaw	2			proteome_bg
Q47274	Chainsaw	1			proteome_bg
P0AB80	Chainsaw	2			proteome_bg
P39409	Chainsaw	2			proteome_bg
P37666	Chainsaw	2			proteome_bg
P31667	Chainsaw	2			proteome_bg
P22188	Chainsaw	3			proteome_bg
P37615	Chainsaw	1			proteome_bg
P0CF81	Chainsaw	3			proteome_bg
P76773	Chainsaw	1			proteome_bg
P0AAS5	Chainsaw	2			proteome_bg
P0AB26	Chainsaw	1			proteome_bg
P77499	Chainsaw	2			proteome_bg
P76349	Chainsaw	2			proteome_bg
P77599	Chainsaw	2			proteome_bg
P77163	Chainsaw	3			proteome_bg
P05706	Chainsaw	1			proteome_bg
P37681	Chainsaw	1			proteome_bg
P08190	Chainsaw	1			proteome_bg
P33354	Chainsaw	1			proteome_bg
Q47270	Chainsaw	1			proteome_bg
P77748	Chainsaw	4			proteome_bg
P0AC35	Chainsaw	1			proteome_bg
P42588	Chainsaw	3			proteome_bg
P46854	Chainsaw	1			proteome_bg
P0AEP1	Chainsaw	2			proteome_bg
P46022	Chainsaw	1			proteome_bg
P38097	Chainsaw	6			proteome_bg
P37627	Chainsaw	2			proteome_bg
P42906	Chainsaw	1			proteome_bg
P29013	Chainsaw	4			proteome_bg
P39375	Chainsaw	1			proteome_bg
P37758	Chainsaw	2			proteome_bg
P0ACZ8	Chainsaw	2			proteome_bg
P0AEM6	Chainsaw	2			proteome_bg
P00962	Chainsaw	3			proteome_bg
P15639	Chainsaw	3			proteome_bg
P0A7I0	Chainsaw	3			proteome_bg
P16677	Chainsaw	2			proteome_bg
P45807	Chainsaw	1			proteome_bg
P33231	Chainsaw	3			proteome_bg
P31135	Chainsaw	2			proteome_bg
A5A607	Chainsaw	1			proteome_bg
P76052	Chainsaw	2			proteome_bg
P28305	Chainsaw	2			proteome_bg
P36937	Chainsaw	0			proteome_bg
A0A385XJL4	Chainsaw	1			proteome_bg
P15067	Chainsaw	3			proteome_bg
P0DPC8	Chainsaw	1			proteome_bg
P75749	Chainsaw	2			proteome_bg
P76356	Chainsaw	1			proteome_bg
Q47719	Chainsaw	1			proteome_bg
P76510	Chainsaw	2			proteome_bg
P0AGM9	Chainsaw	2			proteome_bg
P0A935	Chainsaw	2			proteome_bg
P0A6E6	Chainsaw	2			proteome_bg
P75908	Chainsaw	2			proteome_bg
P0AGB3	Chainsaw	2			proteome_bg
Q46810	Chainsaw	1			proteome_bg
P0DP89	Chainsaw	2			proteome_bg
P77625	Chainsaw	2			proteome_bg
P19642	Chainsaw	3			proteome_bg
P77416	Chainsaw	2			proteome_bg
P37651	Chainsaw	1			proteome_bg
P75955	Chainsaw	1			proteome_bg
P76245	Chainsaw	2			proteome_bg
P52007	Chainsaw	1			proteome_bg
P52119	Chainsaw	1			proteome_bg
P0A8S5	Chainsaw	1			proteome_bg
P76081	Chainsaw	3			proteome_bg
P0A6I6	Chainsaw	2			proteome_bg
P39353	Chainsaw	2			proteome_bg
P76241	Chainsaw	2			proteome_bg
Q2EES1	Chainsaw	0			proteome_bg
P0C0S1	Chainsaw	3			proteome_bg
P17952	Chainsaw	3			proteome_bg
P0AEQ3	Chainsaw	2			proteome_bg
P0AE45	Chainsaw	3			proteome_bg
P76540	Chainsaw	2			proteome_bg
P32167	Chainsaw	1			proteome_bg
P75962	Chainsaw	2			proteome_bg
P76155	Chainsaw	3			proteome_bg
P76462	Chainsaw	2			proteome_bg
P0A6K6	Chainsaw	2			proteome_bg
P0A7A7	Chainsaw	3			proteome_bg
P28904	Chainsaw	3			proteome_bg
P37635	Chainsaw	1			proteome_bg
P12295	Chainsaw	1			proteome_bg
P29018	Chainsaw	2			proteome_bg
O43687	Chainsaw	1			proteome_bg
A0A3G1DJQ2	Chainsaw	0			proteome_bg
P0DI83	Chainsaw	1			proteome_bg
C0HLU2	Chainsaw	0			proteome_bg
O96033	Chainsaw	1			proteome_bg
A0A075B6S0	Chainsaw	0			proteome_bg
A0A075B6I3	Chainsaw	1			proteome_bg
A0A075B6J9	Chainsaw	1			proteome_bg
A6ZKI3	Chainsaw	1			proteome_bg
O95467	Chainsaw	1			proteome_bg
Q9BQY6	Chainsaw	1			proteome_bg
A0A075B6I0	Chainsaw	1			proteome_bg
P0DP91	Chainsaw	3			proteome_bg
Q69384	Chainsaw	3			proteome_bg
P42167	Chainsaw	3			proteome_bg
P10265	Chainsaw	1			proteome_bg
A0A3G1DJL7	Chainsaw	0			proteome_bg
A0A075B6K2	Chainsaw	1			proteome_bg
Q8IU53	Chainsaw	0			proteome_bg
Q7LDI9	Chainsaw	3			proteome_bg
Q9Y6I0	Chainsaw	1			proteome_bg
A0A075B6T7	Chainsaw	1			proteome_bg
A0A075B6H7	Chainsaw	1			proteome_bg
A0A075B6N4	Chainsaw	1			proteome_bg
A0A075B6I1	Chainsaw	1			proteome_bg
O42043	Chainsaw	4			proteome_bg
P60896	Chainsaw	1			proteome_bg
Q9H496	Chainsaw	1			proteome_bg
B1AH88	Chainsaw	0			proteome_bg
P0DPB5	Chainsaw	1			proteome_bg
P61572	Chainsaw	1			proteome_bg
Q902F8	Chainsaw	3			proteome_bg
P63123	Chainsaw	1			proteome_bg
P63130	Chainsaw	4			proteome_bg
A0A075B6L2	Chainsaw	1			proteome_bg
L0R8F8	Chainsaw	1			proteome_bg
P61570	Chainsaw	3			proteome_bg
A0A024RBG1	Chainsaw	1			proteome_bg
A0A3G1DJL1	Chainsaw	0			proteome_bg
P61580	Chainsaw	0			proteome_bg
A0A075B6S6	Chainsaw	1			proteome_bg
P61566	Chainsaw	3			proteome_bg
P0DPQ6	Chainsaw	0			proteome_bg
Q69383	Chainsaw	1			proteome_bg
A0A075B6H8	Chainsaw	1			proteome_bg
Q9HDB8	Chainsaw	1			proteome_bg
L0R6Q1	Chainsaw	1			proteome_bg
P63126	Chainsaw	4			proteome_bg
A0A075B6N3	Chainsaw	1			proteome_bg
A0A075B6R9	Chainsaw	1			proteome_bg
A0A075B6K5	Chainsaw	1			proteome_bg
A0A075B6S4	Chainsaw	1			proteome_bg
C0HM02	Chainsaw	0			proteome_bg
P63125	Chainsaw	1			proteome_bg
A0A075B6H5	Chainsaw	1			proteome_bg
A0A075B6N1	Chainsaw	1			proteome_bg
P62683	Chainsaw	4			proteome_bg
A0A075B6S5	Chainsaw	1			proteome_bg
P63122	Chainsaw	1			proteome_bg
P63131	Chainsaw	1			proteome_bg
P84996	Chainsaw	0			proteome_bg
P63119	Chainsaw	1			proteome_bg
P63127	Chainsaw	1			proteome_bg
Q9UKH3	Chainsaw	4			proteome_bg
A0A075B6R0	Chainsaw	1			proteome_bg
A0A3G1DJK2	Chainsaw	0			proteome_bg
P62685	Chainsaw	4			proteome_bg
P63120	Chainsaw	1			proteome_bg
C0HMD6	Chainsaw	0			proteome_bg
A0A075B6H9	Chainsaw	1			proteome_bg
F7VJQ1	Chainsaw	1			proteome_bg
Q8N2E6	Chainsaw	1			proteome_bg
O95411	Chainsaw	1			proteome_bg
A2JGV3	Chainsaw	0			proteome_bg
A0A075B6Q5	Chainsaw	1			proteome_bg
Q13948	Chainsaw	3			proteome_bg
A0A075B6L6	Chainsaw	1			proteome_bg
P61575	Chainsaw	1			proteome_bg
A0A075B6T8	Chainsaw	1			proteome_bg
A0A075B6J6	Chainsaw	1			proteome_bg
A0A075B6S2	Chainsaw	1			proteome_bg
P06881	Chainsaw	1			proteome_bg
O95278	Chainsaw	2			proteome_bg
A0A075B6J2	Chainsaw	1			proteome_bg
A0A075B6K0	Chainsaw	1			proteome_bg
P58400	Chainsaw	1			proteome_bg
O71037	Chainsaw	2			proteome_bg
A0A075B6J1	Chainsaw	1			proteome_bg
A0A075B6I7	Chainsaw	1			proteome_bg
A0A075B6S9	Chainsaw	1			proteome_bg
Q13765	Chainsaw	2			proteome_bg
A0A075B6K6	Chainsaw	1			proteome_bg
A0A075B6R2	Chainsaw	1			proteome_bg
P63092	Chainsaw	2			proteome_bg
P61567	Chainsaw	3			proteome_bg
C0HLS1	Chainsaw	0			proteome_bg
A0A075B6I4	Chainsaw	1			proteome_bg
P61583	Chainsaw	0			proteome_bg
Q9BXH1	Chainsaw	1			proteome_bg
P87889	Chainsaw	4			proteome_bg
I3L3L1	Chainsaw	1			proteome_bg
A0A075B6I9	Chainsaw	1			proteome_bg
Q5TFQ8	Chainsaw	3			proteome_bg
A0A075B6T6	Chainsaw	1			proteome_bg
P0C7T4	Chainsaw	1			proteome_bg
Q8N726	Chainsaw	1			proteome_bg
A0A075B6N2	Chainsaw	1			proteome_bg
P61573	Chainsaw	1			proteome_bg
A0A075B6K4	Chainsaw	1			proteome_bg
A0A3G1DJN1	Chainsaw	0			proteome_bg
P61582	Chainsaw	0			proteome_bg
A0A024R1R8	Chainsaw	0			proteome_bg
Q9HDB5	Chainsaw	1			proteome_bg
Q9YNA8	Chainsaw	4			proteome_bg
P63129	Chainsaw	1			proteome_bg
A0A087WWS6	Chainsaw	1			proteome_bg
P0DW28	Chainsaw	0			proteome_bg
A0A024RCN7	Chainsaw	1			proteome_bg
Q6EEV4	Chainsaw	0			proteome_bg
P77627	Chainsaw	1			proteome_bg
P0ACV0	Chainsaw	2			proteome_bg
P39333	Chainsaw	1			proteome_bg
P40874	Chainsaw	2			proteome_bg
P32710	Chainsaw	2			proteome_bg
P61571	Chainsaw	1			proteome_bg
P11447	Chainsaw	3			proteome_bg
P64517	Chainsaw	1			proteome_bg
P24242	Chainsaw	3			proteome_bg
P09158	Chainsaw	2			proteome_bg
P0ACV6	Chainsaw	1			proteome_bg
P0A8X0	Chainsaw	2			proteome_bg
P46857	Chainsaw	1			proteome_bg
P0A7W7	Chainsaw	2			proteome_bg
C1P605	Chainsaw	0			proteome_bg
P51025	Chainsaw	1			proteome_bg
P36655	Chainsaw	4			proteome_bg
P76170	Chainsaw	1			proteome_bg
P75919	Chainsaw	2			proteome_bg
P31547	Chainsaw	1			proteome_bg
P77393	Chainsaw	2			proteome_bg
P31459	Chainsaw	3			proteome_bg
P07654	Chainsaw	1			proteome_bg
P61714	Chainsaw	1			proteome_bg
P77460	Chainsaw	1			proteome_bg
P56262	Chainsaw	1			proteome_bg
Q6BEX5	Chainsaw	1			proteome_bg
P06971	Chainsaw	2			proteome_bg
P76548	Chainsaw	1			proteome_bg
P62395	Chainsaw	1			proteome_bg
P0AFI7	Chainsaw	1			proteome_bg
P0DPN3	Chainsaw	0			proteome_bg
P0AGD7	Chainsaw	3			proteome_bg
P39374	Chainsaw	1			proteome_bg
P64624	Chainsaw	2			proteome_bg
P0AFS5	Chainsaw	1			proteome_bg
P31064	Chainsaw	1			proteome_bg
Q46855	Chainsaw	2			proteome_bg
P18775	Chainsaw	5			proteome_bg
P43676	Chainsaw	2			proteome_bg
P07913	Chainsaw	2			proteome_bg
P76115	Chainsaw	1			proteome_bg
P32170	Chainsaw	2			proteome_bg
P45420	Chainsaw	4			proteome_bg
P46853	Chainsaw	2			proteome_bg
P0A9G6	Chainsaw	3			proteome_bg
P0AC78	Chainsaw	1			proteome_bg
P07003	Chainsaw	3			proteome_bg
P76261	Chainsaw	3			proteome_bg
P52044	Chainsaw	3			proteome_bg
P0ACR9	Chainsaw	1			proteome_bg
P39270	Chainsaw	1			proteome_bg
A0A075B6I6	Chainsaw	1			proteome_bg
P0AAG5	Chainsaw	2			proteome_bg
P75938	Chainsaw	2			proteome_bg
P05042	Chainsaw	3			proteome_bg
P32151	Chainsaw	2			proteome_bg
P39173	Chainsaw	2			proteome_bg
P16433	Chainsaw	2			proteome_bg
P64506	Chainsaw	1			proteome_bg
P0A7T3	Chainsaw	1			proteome_bg
P0C0L9	Chainsaw	1			proteome_bg
P0ABU2	Chainsaw	2			proteome_bg
P75777	Chainsaw	2			proteome_bg
P0AA73	Chainsaw	1			proteome_bg
P77700	Chainsaw	3			proteome_bg
P0DPP6	Chainsaw	1			proteome_bg
P77559	Chainsaw	3			proteome_bg
P45750	Chainsaw	1			proteome_bg
C1P608	Chainsaw	0			proteome_bg
P28303	Chainsaw	2			proteome_bg
P39160	Chainsaw	2			proteome_bg
P77733	Chainsaw	1			proteome_bg
P76148	Chainsaw	1			proteome_bg
P0A828	Chainsaw	2			proteome_bg
P31801	Chainsaw	1			proteome_bg
P56258	Chainsaw	2			proteome_bg
P0CF40	Chainsaw	1			proteome_bg
P32135	Chainsaw	2			proteome_bg
P0AED9	Chainsaw	3			proteome_bg
P0ABW5	Chainsaw	1			proteome_bg
P76323	Chainsaw	1			proteome_bg
P0A6R0	Chainsaw	2			proteome_bg
P0A7N9	Chainsaw	1			proteome_bg
P77218	Chainsaw	2			proteome_bg
P75828	Chainsaw	3			proteome_bg
P37680	Chainsaw	2			proteome_bg
P77562	Chainsaw	3			proteome_bg
P77202	Chainsaw	2			proteome_bg
P0ACX9	Chainsaw	1			proteome_bg
P0AAG3	Chainsaw	2			proteome_bg
P0AEV1	Chainsaw	2			proteome_bg
P33934	Chainsaw	2			proteome_bg
P0A712	Chainsaw	2			proteome_bg
P77495	Chainsaw	2			proteome_bg
P52126	Chainsaw	5			proteome_bg
P30871	Chainsaw	2			proteome_bg
P61889	Chainsaw	2			proteome_bg
P76198	Chainsaw	2			proteome_bg
P33602	Chainsaw	4			proteome_bg
P69826	Chainsaw	3			proteome_bg
P37025	Chainsaw	1			proteome_bg
P24181	Chainsaw	4			proteome_bg
P08194	Chainsaw	2			proteome_bg
P69212	Chainsaw	1			proteome_bg
P76514	Chainsaw	1			proteome_bg
P50465	Chainsaw	2			proteome_bg
P76575	Chainsaw	1			proteome_bg
P0AGH1	Chainsaw	2			proteome_bg
Q46821	Chainsaw	2			proteome_bg
P65294	Chainsaw	1			proteome_bg
P39390	Chainsaw	0			proteome_bg
P30864	Chainsaw	2			proteome_bg
P69346	Chainsaw	1			proteome_bg
Q46925	Chainsaw	2			proteome_bg
P06611	Chainsaw	2			proteome_bg
P75863	Chainsaw	3			proteome_bg
P37902	Chainsaw	2			proteome_bg
P0A8W5	Chainsaw	2			proteome_bg
P0AAQ2	Chainsaw	1			proteome_bg
P69874	Chainsaw	2			proteome_bg
P24238	Chainsaw	1			proteome_bg
P67338	Chainsaw	1			proteome_bg
P24244	Chainsaw	0			proteome_bg
P75818	Chainsaw	1			proteome_bg
P76038	Chainsaw	1			proteome_bg
P0A8T1	Chainsaw	2			proteome_bg
A0A075B6P5	Chainsaw	1			proteome_bg
P0AF73	Chainsaw	1			proteome_bg
P0A8R9	Chainsaw	3			proteome_bg
P0CE49	Chainsaw	2			groel
P06720	Chainsaw	3			proteome_bg
P05824	Chainsaw	3			proteome_bg
P0A6K3	Chainsaw	1			proteome_bg
P31433	Chainsaw	2			proteome_bg
Q2EET2	Chainsaw	1			proteome_bg
P0AGG0	Chainsaw	2			proteome_bg
P0DSE7	Chainsaw	0			proteome_bg
P31991	Chainsaw	1			proteome_bg
P67127	Chainsaw	1			proteome_bg
P0AAE8	Chainsaw	2			proteome_bg
P27300	Chainsaw	3			proteome_bg
P0AEY5	Chainsaw	1			proteome_bg
P0AE72	Chainsaw	1			proteome_bg
P0CF57	Chainsaw	3			proteome_bg
P0A6F1	Chainsaw	2			proteome_bg
P52094	Chainsaw	1			proteome_bg
P0AFR0	Chainsaw	1			proteome_bg
P40876	Chainsaw	2			proteome_bg
P0AES2	Chainsaw	2			proteome_bg
P77188	Chainsaw	2			proteome_bg
P77433	Chainsaw	1			proteome_bg
P0AGM0	Chainsaw	1			proteome_bg
P45464	Chainsaw	3			proteome_bg
P25743	Chainsaw	1			proteome_bg
P38054	Chainsaw	4			proteome_bg
P0AA67	Chainsaw	1			proteome_bg
P0A800	Chainsaw	1			proteome_bg
P77379	Chainsaw	2			proteome_bg
P77624	Chainsaw	1			proteome_bg
Q47005	Chainsaw	3			proteome_bg
P39831	Chainsaw	1			proteome_bg
P25718	Chainsaw	3			proteome_bg
P42620	Chainsaw	2			proteome_bg
P09836	Chainsaw	2			proteome_bg
P77196	Chainsaw	4			proteome_bg
Q46857	Chainsaw	1			proteome_bg
Q7DFV4	Chainsaw	1			proteome_bg
P78061	Chainsaw	3			proteome_bg
P75860	Chainsaw	1			proteome_bg
P25772	Chainsaw	4			proteome_bg
P33595	Chainsaw	4			proteome_bg
P61581	Chainsaw	0			proteome_bg
Q93K97	Chainsaw	2			proteome_bg
P60869	Chainsaw	3			proteome_bg
P69902	Chainsaw	2			proteome_bg
P0AG20	Chainsaw	6			proteome_bg
P77528	Chainsaw	1			proteome_bg
P0DSF4	Chainsaw	1			proteome_bg
P0ADQ7	Chainsaw	1			proteome_bg
P76440	Chainsaw	3			proteome_bg
P58401	Chainsaw	2			proteome_bg
Q46866	Chainsaw	2			proteome_bg
Q46893	Chainsaw	1			proteome_bg
P69786	Chainsaw	3			proteome_bg
P60723	Chainsaw	1			proteome_bg
P33344	Chainsaw	1			proteome_bg
P39368	Chainsaw	1			proteome_bg
P31470	Chainsaw	1			proteome_bg
P45551	Chainsaw	1			proteome_bg
P76145	Chainsaw	2			proteome_bg
P0ACR4	Chainsaw	3			proteome_bg
P24241	Chainsaw	3			proteome_bg
P75679	Chainsaw	1			proteome_bg
P77169	Chainsaw	2			proteome_bg
P76213	Chainsaw	3			proteome_bg
P0A6F5	Chainsaw	2			proteome_bg
P27431	Chainsaw	3			proteome_bg
P39366	Chainsaw	2			proteome_bg
P33355	Chainsaw	2			proteome_bg
P0AB31	Chainsaw	1			proteome_bg
P33913	Chainsaw	3			proteome_bg
P31131	Chainsaw	1			proteome_bg
P0DPP0	Chainsaw	0			proteome_bg
P64503	Chainsaw	1			proteome_bg
P0A772	Chainsaw	1			proteome_bg
P76516	Chainsaw	1			proteome_bg
P0A8N3	Chainsaw	2			proteome_bg
P0AEM9	Chainsaw	2			proteome_bg
P76291	Chainsaw	2			proteome_bg
P0A927	Chainsaw	1			proteome_bg
P06612	Chainsaw	6			proteome_bg
P42632	Chainsaw	3			proteome_bg
P0A7R9	Chainsaw	1			proteome_bg
P0AAD8	Chainsaw	1			proteome_bg
P06960	Chainsaw	2			proteome_bg
P76045	Chainsaw	1			proteome_bg
P0A8G6	Chainsaw	1			proteome_bg
P0CF28	Chainsaw	1			proteome_bg
P13458	Chainsaw	4			proteome_bg
P0ABA0	Chainsaw	0			proteome_bg
P69228	Chainsaw	2			proteome_bg
P76520	Chainsaw	1			proteome_bg
B7ZAP0	Chainsaw	1			proteome_bg
P61579	Chainsaw	1			proteome_bg
P08372	Chainsaw	1			proteome_bg
P76068	Chainsaw	1			proteome_bg
P30149	Chainsaw	2			proteome_bg
P25906	Chainsaw	1			proteome_bg
P75822	Chainsaw	3			proteome_bg
P38392	Chainsaw	2			proteome_bg
P39317	Chainsaw	3			proteome_bg
P0AGB0	Chainsaw	2			proteome_bg
P76061	Chainsaw	1			proteome_bg
P68679	Chainsaw	1			proteome_bg
P0ACD2	Chainsaw	1			proteome_bg
P38105	Chainsaw	2			proteome_bg
P45564	Chainsaw	1			proteome_bg
P75969	Chainsaw	3			proteome_bg
Q46817	Chainsaw	2			proteome_bg
P0AGG2	Chainsaw	2			proteome_bg
P05707	Chainsaw	1			proteome_bg
P36672	Chainsaw	3			proteome_bg
Q46798	Chainsaw	2			proteome_bg
P0C058	Chainsaw	1			proteome_bg
P55135	Chainsaw	3			proteome_bg
P0ACY9	Chainsaw	1			proteome_bg
P51981	Chainsaw	2			proteome_bg
P00959	Chainsaw	4			proteome_bg
P0ABU7	Chainsaw	1			proteome_bg
P75767	Chainsaw	2			proteome_bg
P0ABR9	Chainsaw	2			proteome_bg
P21599	Chainsaw	3			proteome_bg
P0AAA9	Chainsaw	1			proteome_bg
P61320	Chainsaw	1			proteome_bg
P36677	Chainsaw	2			proteome_bg
Q47154	Chainsaw	1			proteome_bg
P76459	Chainsaw	1			proteome_bg
P08337	Chainsaw	1			proteome_bg
P60782	Chainsaw	1			proteome_bg
P46889	Chainsaw	4			proteome_bg
P75968	Chainsaw	2			proteome_bg
P0A9J6	Chainsaw	1			proteome_bg
P21507	Chainsaw	2			proteome_bg
P31680	Chainsaw	2			proteome_bg
P27296	Chainsaw	4			proteome_bg
P0AFR9	Chainsaw	1			proteome_bg
P00954	Chainsaw	2			proteome_bg
P58042	Chainsaw	1			proteome_bg
P30192	Chainsaw	2			proteome_bg
P77746	Chainsaw	3			proteome_bg
P33234	Chainsaw	2			proteome_bg
P0A887	Chainsaw	2			proteome_bg
P51024	Chainsaw	2			proteome_bg
P60932	Chainsaw	1			proteome_bg
P77694	Chainsaw	3			proteome_bg
P0A9K7	Chainsaw	2			proteome_bg
P30147	Chainsaw	1			proteome_bg
P75712	Chainsaw	2			proteome_bg
P0DPC4	Chainsaw	0			proteome_bg
P05793	Chainsaw	2			proteome_bg
P75794	Chainsaw	3			proteome_bg
Q46871	Chainsaw	2			proteome_bg
P62768	Chainsaw	1			proteome_bg
P0ADI4	Chainsaw	2			proteome_bg
P46887	Chainsaw	1			proteome_bg
P0AEL6	Chainsaw	2			proteome_bg
Q46909	Chainsaw	2			proteome_bg
P52061	Chainsaw	1			proteome_bg
P76044	Chainsaw	1			proteome_bg
P15070	Chainsaw	2			proteome_bg
P76222	Chainsaw	2			proteome_bg
P0A763	Chainsaw	1			proteome_bg
P58033	Chainsaw	1			proteome_bg
P77692	Chainsaw	1			proteome_bg
Q9HC47	Chainsaw	1			proteome_bg
P0AGA6	Chainsaw	2			proteome_bg
P76217	Chainsaw	2			proteome_bg
P0A905	Chainsaw	1			proteome_bg
P13669	Chainsaw	2			proteome_bg
P0AD57	Chainsaw	2			proteome_bg
P45579	Chainsaw	2			proteome_bg
P0A8F8	Chainsaw	5			proteome_bg
P0AGJ7	Chainsaw	1			proteome_bg
P64442	Chainsaw	0			proteome_bg
Q46890	Chainsaw	1			proteome_bg
P15977	Chainsaw	4			proteome_bg
P0A908	Chainsaw	1			proteome_bg
P62672	Chainsaw	1			proteome_bg
P0A729	Chainsaw	1			proteome_bg
P0AFL6	Chainsaw	2			proteome_bg
P0A786	Chainsaw	2			proteome_bg
P0ABD8	Chainsaw	2			proteome_bg
P05825	Chainsaw	1			proteome_bg
P27835	Chainsaw	2			proteome_bg
P0DPN5	Chainsaw	0			proteome_bg
P33235	Chainsaw	3			proteome_bg
P75697	Chainsaw	1			proteome_bg
P75885	Chainsaw	1			proteome_bg
Q70YC4	Chainsaw	0			proteome_bg
P75892	Chainsaw	3			proteome_bg
P0AF54	Chainsaw	1			proteome_bg
P31060	Chainsaw	2			proteome_bg
P76335	Chainsaw	1			proteome_bg
P39376	Chainsaw	3			proteome_bg
Q46916	Chainsaw	2			proteome_bg
P76097	Chainsaw	2			proteome_bg
P0DV20	Chainsaw	0			proteome_bg
Q46898	Chainsaw	1			proteome_bg
P06136	Chainsaw	3			proteome_bg
P77743	Chainsaw	5			proteome_bg
P19926	Chainsaw	2			proteome_bg
P0DP70	Chainsaw	1			proteome_bg
Q2EES3	Chainsaw	1			proteome_bg
P04805	Chainsaw	3			proteome_bg
P45804	Chainsaw	4			proteome_bg
P0A8R4	Chainsaw	0			proteome_bg
P0A9W3	Chainsaw	2			proteome_bg
P32690	Chainsaw	2			proteome_bg
P0AB98	Chainsaw	1			proteome_bg
A0A385XJ53	Chainsaw	1			proteome_bg
C1P609	Chainsaw	0			proteome_bg
P77454	Chainsaw	2			proteome_bg
P0AD99	Chainsaw	2			proteome_bg
P36553	Chainsaw	1			proteome_bg
P31224	Chainsaw	4			proteome_bg
A0A3G1DIU6	Chainsaw	0			proteome_bg
P0ABW3	Chainsaw	1			proteome_bg
P0DSE8	Chainsaw	0			proteome_bg
P0AGF4	Chainsaw	3			proteome_bg
P39405	Chainsaw	1			proteome_bg
P0DSE9	Chainsaw	0			proteome_bg
P0AEX5	Chainsaw	2			proteome_bg
P76062	Chainsaw	2			proteome_bg
P0AAZ0	Chainsaw	1			proteome_bg
P77179	Chainsaw	2			proteome_bg
