uniprot_accession	cluster_id	cluster_representative	cluster_size	organism	dataset_labels
P0ABX8	6562	P0ABX8	1	unknown	background
P0ABY2	6563	P0ABY2	1	unknown	background
P0ABY4	2272	P0ABY4	2	unknown	background
P0ABY7	6564	P0ABY7	1	unknown	background
P0ABZ1	6565	P0ABZ1	1	unknown	background
P0ABZ4	6566	P0ABZ4	1	unknown	background
P0ABZ6	6567	P0ABZ6	1	unknown	background
P0AC00	6568	P0AC00	1	unknown	background
P0AC02	6569	P0AC02	1	unknown	background
P0AC05	6570	P0AC05	1	unknown	background
P0AC07	6571	P0AC07	1	unknown	background
P0AC13	6572	P0AC13	1	unknown	background
P0AC16	6573	P0AC16	1	unknown	background
P0AC19	6574	P0AC19	1	unknown	background
P0AC23	2797	P77733	2	unknown	background
P0AC26	6575	P0AC26	1	unknown	background
P0AC28	6576	P0AC28	1	unknown	background
P0AC30	6577	P0AC30	1	unknown	background
P0AC33	2394	P14407	2	unknown	background
P0AC35	6578	P0AC35	1	unknown	background
P0AC38	1200	P05042	3	unknown	background
P0AC41	784	P00363	4	ecoli	groel
P0AC44	6579	P0AC44	1	unknown	background
P0AC47	1206	P07014	3	unknown	background
P0AC51	6580	P0AC51	1	unknown	background
P0AC53	2273	P0AC53	2	unknown	background
P0AC55	2274	P0AC55	2	unknown	background
P0AC59	6581	P0AC59	1	ecoli	groel
P0AC62	802	P0AC62	4	unknown	background
P0AC65	6582	P0AC65	1	unknown	background
P0AC69	2275	P0AC69	2	ecoli	groel
P0AC73	6583	P0AC73	1	unknown	background
P0AC75	6584	P0AC75	1	unknown	background
P0AC78	6585	P0AC78	1	unknown	background
P0AC81	2276	P0AC81	2	unknown	background
P0AC84	963	Q8N490	4	unknown	background
P0AC86	586	P06737	5	unknown	background
P0AC88	2049	O60547	2	unknown	background
P0AC92	2795	P77695	2	unknown	background
P0AC94	382	P0AC96	7	unknown	background
P0AC96	382	P0AC96	7	unknown	background
P0AC98	6586	P0AC98	1	unknown	background
P0ACA1	6587	P0ACA1	1	unknown	background
P0ACA3	6588	P0ACA3	1	unknown	background
P0ACA7	6589	P0ACA7	1	unknown	background
P0ACB0	6590	P0ACB0	1	unknown	background
P0ACB2	2277	P0ACB2	2	ecoli	groel
P0ACB4	6591	P0ACB4	1	ecoli	groel
P0ACB7	6592	P0ACB7	1	unknown	background
P0ACC1	2278	P0ACC1	2	unknown	background
P0ACC3	593	P0AAC8	5	unknown	background
P0ACC7	6593	P0ACC7	1	unknown	background
P0ACC9	2279	P0ACC9	2	unknown	background
P0ACD2	6594	P0ACD2	1	unknown	background
P0ACD4	2280	P0ACD4	2	unknown	background
P0ACD8	2281	P0ACE0	2	unknown	background
P0ACE0	2281	P0ACE0	2	unknown	background
P0ACE3	6595	P0ACE3	1	unknown	background
P0ACE7	1239	P0ACE7	3	unknown	background
P0ACF0	803	P0ACF4	4	unknown	background
P0ACF4	803	P0ACF4	4	unknown	background
P0ACF8	2282	P0ACG1	2	unknown	background
P0ACG1	2282	P0ACG1	2	unknown	background
P0ACG4	6596	P0ACG4	1	unknown	background
P0ACG6	6597	P0ACG6	1	unknown	background
P0ACG8	6598	P0ACG8	1	unknown	background
P0ACH1	6599	P0ACH1	1	unknown	background
P0ACH5	2246	P0A9E2	2	unknown	background
P0ACH8	6600	P0ACH8	1	unknown	background
P0ACI0	6601	P0ACI0	1	ecoli	groel
P0ACI3	6602	P0ACI3	1	unknown	background
P0ACI6	6603	P0ACI6	1	unknown	background
P0ACJ0	2283	P0ACJ5	2	unknown	background
P0ACJ5	2283	P0ACJ5	2	unknown	background
P0ACJ8	6604	P0ACJ8	1	ecoli	groel
P0ACK2	1240	P0ACK2	3	unknown	background
P0ACK5	6605	P0ACK5	1	unknown	background
P0ACK8	2284	P0ACK8	2	ecoli	groel
P0ACL0	2285	P0ACL0	2	unknown	background
P0ACL2	2578	P39161	2	unknown	background
P0ACL5	6606	P0ACL5	1	ecoli	groel
P0ACL7	2286	P0ACL9	2	unknown	background
P0ACL9	2286	P0ACL9	2	unknown	background
P0ACM2	6607	P0ACM2	1	unknown	background
P0ACM5	6608	P0ACM5	1	unknown	background
P0ACM9	6609	P0ACM9	1	unknown	background
P0ACN2	6610	P0ACN2	1	unknown	background
P0ACN4	2422	P16528	2	unknown	background
P0ACN7	595	P0ACQ0	5	unknown	background
P0ACP1	6611	P0ACP1	1	unknown	background
P0ACP5	2287	P0ACP5	2	unknown	background
P0ACP7	595	P0ACQ0	5	unknown	background
P0ACQ0	595	P0ACQ0	5	unknown	background
P0ACQ4	2492	P27111	2	ecoli	groel
P0ACQ7	6612	P0ACQ7	1	unknown	background
P0ACR0	2288	P0ACR0	2	unknown	background
P0ACR2	6613	P0ACR2	1	unknown	background
P0ACR4	6614	P0ACR4	1	unknown	background
P0ACR7	2289	P0ACR7	2	unknown	background
P0ACR9	6615	P0ACR9	1	unknown	background
P0ACS2	6616	P0ACS2	1	unknown	background
P0ACS5	6617	P0ACS5	1	unknown	background
P0ACS7	6618	P0ACS7	1	unknown	background
P0ACS9	2290	P0ACS9	2	unknown	background
P0ACT2	2290	P0ACS9	2	unknown	background
P0ACT6	6619	P0ACT6	1	unknown	background
P0ACU0	6620	P0ACU0	1	unknown	background
P0ACU2	6621	P0ACU2	1	unknown	background
P0ACU5	6622	P0ACU5	1	unknown	background
P0ACU7	6623	P0ACU7	1	unknown	background
P0ACV0	2291	P0ACV2	2	unknown	background
P0ACV2	2291	P0ACV2	2	unknown	background
P0ACV4	6624	P0ACV4	1	unknown	background
P0ACV6	6625	P0ACV6	1	unknown	background
P0ACV8	6626	P0ACV8	1	unknown	background
P0ACW0	2292	P0ACW8	2	unknown	background
P0ACW2	6627	P0ACW2	1	unknown	background
P0ACW4	6628	P0ACW4	1	unknown	background
P0ACW6	6629	P0ACW6	1	unknown	background
P0ACW8	2292	P0ACW8	2	unknown	background
P0ACX0	6630	P0ACX0	1	unknown	background
P0ACX3	6631	P0ACX3	1	unknown	background
P0ACX5	6632	P0ACX5	1	unknown	background
P0ACX9	6633	P0ACX9	1	unknown	background
P0ACY1	6634	P0ACY1	1	unknown	background
P0ACY3	6635	P0ACY3	1	unknown	background
P0ACY6	6636	P0ACY6	1	unknown	background
P0ACY9	6637	P0ACY9	1	unknown	background
P0ACZ2	2256	P0AAB2	2	unknown	background
P0ACZ4	2293	P0ACZ4	2	unknown	background
P0ACZ8	145	P21866	12	unknown	background
P0AD01	2306	P0AEF4	2	unknown	background
P0AD03	6638	P0AD03	1	unknown	background
P0AD05	6639	P0AD05	1	unknown	background
P0AD07	6640	P0AD07	1	unknown	background
P0AD10	6641	P0AD10	1	unknown	background
P0AD12	6642	P0AD12	1	unknown	background
P0AD14	6643	P0AD14	1	unknown	background
P0AD17	6644	P0AD17	1	unknown	background
P0AD19	6645	P0AD19	1	unknown	background
P0AD21	6646	P0AD21	1	unknown	background
P0AD24	6647	P0AD24	1	unknown	background
P0AD27	6648	P0AD27	1	unknown	background
P0AD30	6649	P0AD30	1	unknown	background
P0AD33	2294	P0AD33	2	unknown	background
P0AD35	6650	P0AD35	1	unknown	background
P0AD37	2295	P0AD37	2	unknown	background
P0AD40	6651	P0AD40	1	unknown	background
P0AD42	6652	P0AD42	1	unknown	background
P0AD44	6653	P0AD44	1	unknown	background
P0AD47	6654	P0AD47	1	unknown	background
P0AD49	2328	P0AFX0	2	unknown	background
P0AD53	6655	P0AD53	1	unknown	background
P0AD57	2296	P0AD57	2	unknown	background
P0AD59	6656	P0AD59	1	unknown	background
P0AD61	804	P0AD61	4	ecoli	groel
P0AD65	6657	P0AD65	1	unknown	background
P0AD68	6658	P0AD68	1	unknown	background
P0AD70	6659	P0AD70	1	unknown	background
P0AD79	6660	P0AD79	1	unknown	background
P0AD83	6661	P0AD83	1	unknown	background
P0AD86	6662	P0AD86	1	unknown	background
P0AD89	6663	P0AD89	1	unknown	background
P0AD96	2297	P0AD96	2	unknown	background
P0AD99	6664	P0AD99	1	unknown	background
P0ADA1	6665	P0ADA1	1	unknown	background
P0ADA3	2975	Q46798	2	unknown	background
P0ADA5	6666	P0ADA5	1	unknown	background
P0ADA7	6667	P0ADA7	1	unknown	background
P0ADB1	6668	P0ADB1	1	unknown	background
P0ADB4	6669	P0ADB4	1	unknown	background
P0ADB7	6670	P0ADB7	1	unknown	background
P0ADC1	6671	P0ADC1	1	unknown	background
P0ADC3	6672	P0ADC3	1	unknown	background
P0ADC6	6673	P0ADC6	1	unknown	background
P0ADC8	6674	P0ADC8	1	unknown	background
P0ADD2	6675	P0ADD2	1	unknown	background
P0ADD5	6676	P0ADD5	1	unknown	background
P0ADD7	6677	P0ADD7	1	unknown	background
P0ADD9	6678	P0ADD9	1	unknown	background
P0ADE2	6679	P0ADE2	1	unknown	background
P0ADE4	6680	P0ADE4	1	unknown	background
P0ADE6	6681	P0ADE6	1	unknown	background
P0ADE8	6682	P0ADE8	1	unknown	background
P0ADF0	6683	P0ADF0	1	unknown	background
P0ADF3	6684	P0ADF3	1	unknown	background
P0ADF6	6685	P0ADF6	1	unknown	background
P0ADF8	6686	P0ADF8	1	unknown	background
P0ADG1	6687	P0ADG1	1	unknown	background
P0ADG4	1241	P0ADG4	3	ecoli	groel
P0ADG7	1242	P0ADG7	3	unknown	background
P0ADH5	2298	P0ADH7	2	unknown	background
P0ADH7	2298	P0ADH7	2	unknown	background
P0ADI0	1196	P03014	3	unknown	background
P0ADI4	6688	P0ADI4	1	unknown	background
P0ADI7	6689	P0ADI7	1	unknown	background
P0ADI9	6690	P0ADI9	1	unknown	background
P0ADJ3	6691	P0ADJ3	1	unknown	background
P0ADJ5	6692	P0ADJ5	1	unknown	background
P0ADJ8	2371	P11286	2	unknown	background
P0ADK0	6693	P0ADK0	1	unknown	background
P0ADK4	2299	P0ADK4	2	unknown	background
P0ADK6	6694	P0ADK6	1	unknown	background
P0ADK8	6695	P0ADK8	1	unknown	background
P0ADL1	6696	P0ADL1	1	unknown	background
P0ADL3	6697	P0ADL3	1	unknown	background
P0ADL6	6698	P0ADL6	1	unknown	background
P0ADM0	6699	P0ADM0	1	unknown	background
P0ADM4	6700	P0ADM4	1	unknown	background
P0ADM6	6701	P0ADM6	1	unknown	background
P0ADM8	6702	P0ADM8	1	unknown	background
P0ADN0	6703	P0ADN0	1	unknown	background
P0ADN2	6704	P0ADN2	1	unknown	background
P0ADN6	6705	P0ADN6	1	unknown	background
P0ADP0	6706	P0ADP0	1	unknown	background
P0ADP2	6707	P0ADP2	1	unknown	background
P0ADP5	6708	P0ADP5	1	unknown	background
P0ADP7	6709	P0ADP7	1	unknown	background
P0ADP9	6710	P0ADP9	1	unknown	background
P0ADQ2	6711	P0ADQ2	1	unknown	background
P0ADQ5	6712	P0ADQ5	1	unknown	background
P0ADQ7	6713	P0ADQ7	1	unknown	background
P0ADR0	6714	P0ADR0	1	unknown	background
P0ADR2	6715	P0ADR2	1	unknown	background
P0ADR6	6716	P0ADR6	1	unknown	background
P0ADR8	6717	P0ADR8	1	unknown	background
P0ADS2	6718	P0ADS2	1	unknown	background
P0ADS6	6719	P0ADS6	1	unknown	background
P0ADS9	6720	P0ADS9	1	unknown	background
P0ADT2	6721	P0ADT2	1	unknown	background
P0ADT5	2300	P0ADT5	2	unknown	background
P0ADT8	6722	P0ADT8	1	unknown	background
P0ADU2	6723	P0ADU2	1	unknown	background
P0ADU5	2523	P31130	2	unknown	background
P0ADU7	6724	P0ADU7	1	unknown	background
P0ADV1	6725	P0ADV1	1	unknown	background
P0ADV5	6726	P0ADV5	1	unknown	background
P0ADV7	6727	P0ADV7	1	unknown	background
P0ADV9	6728	P0ADV9	1	unknown	background
P0ADW3	6729	P0ADW3	1	unknown	background
P0ADW6	6730	P0ADW6	1	unknown	background
P0ADW8	6731	P0ADW8	1	unknown	background
P0ADX1	6732	P0ADX1	1	unknown	background
P0ADX5	6733	P0ADX5	1	unknown	background
P0ADX7	6734	P0ADX7	1	unknown	background
P0ADX9	6735	P0ADX9	1	unknown	background
P0ADY1	6736	P0ADY1	1	unknown	background
P0ADY3	1243	P0ADY3	3	unknown	background
P0ADY7	2301	P0ADY7	2	unknown	background
P0ADZ0	2302	P0ADZ0	2	unknown	background
P0ADZ4	6737	P0ADZ4	1	unknown	background
P0ADZ7	6738	P0ADZ7	1	unknown	background
P0AE01	6739	P0AE01	1	unknown	background
P0AE06	1341	P37636	3	unknown	background
P0AE08	596	P0AE08	5	ecoli	groel
P0AE12	6740	P0AE12	1	unknown	background
P0AE14	6741	P0AE14	1	unknown	background
P0AE16	6742	P0AE16	1	unknown	background
P0AE18	1244	P0AE18	3	unknown	background
P0AE22	6743	P0AE22	1	unknown	background
P0AE24	598	P0AEP1	5	unknown	background
P0AE26	214	P0AGI1	9	unknown	background
P0AE28	6744	P0AE28	1	unknown	background
P0AE30	6745	P0AE30	1	unknown	background
P0AE34	597	P0AE34	5	unknown	background
P0AE37	6746	P0AE37	1	unknown	background
P0AE39	2327	P0AFT5	2	unknown	background
P0AE42	6747	P0AE42	1	unknown	background
P0AE45	6748	P0AE45	1	unknown	background
P0AE48	6749	P0AE48	1	unknown	background
P0AE52	6750	P0AE52	1	unknown	background
P0AE56	6751	P0AE56	1	unknown	background
P0AE58	6752	P0AE58	1	unknown	background
P0AE60	6753	P0AE60	1	unknown	background
P0AE63	6754	P0AE63	1	unknown	background
P0AE67	145	P21866	12	unknown	background
P0AE70	2303	P0AE70	2	unknown	background
P0AE72	6755	P0AE72	1	unknown	background
P0AE74	1409	P75763	3	unknown	background
P0AE76	6756	P0AE76	1	unknown	background
P0AE78	6757	P0AE78	1	unknown	background
P0AE82	6758	P0AE82	1	unknown	background
P0AE85	6759	P0AE85	1	unknown	background
P0AE88	1245	P0AE88	3	ecoli	groel
P0AE91	6760	P0AE91	1	unknown	background
P0AE95	6761	P0AE95	1	unknown	background
P0AE98	6762	P0AE98	1	unknown	background
P0AEA2	6763	P0AEA2	1	unknown	background
P0AEA5	6764	P0AEA5	1	unknown	background
P0AEA8	6765	P0AEA8	1	unknown	background
P0AEB0	1246	P0AF01	3	unknown	background
P0AEB2	1330	P33013	3	unknown	background
P0AEB5	6766	P0AEB5	1	unknown	background
P0AEB7	6767	P0AEB7	1	unknown	background
P0AEC0	2304	P0AEC0	2	unknown	background
P0AEC3	6768	P0AEC3	1	unknown	background
P0AEC5	6769	P0AEC5	1	unknown	background
P0AEC8	6770	P0AEC8	1	unknown	background
P0AED0	1360	P46888	3	unknown	background
P0AED5	503	Q46791	6	ecoli	groel
P0AED7	6771	P0AED7	1	unknown	background
P0AED9	6772	P0AED9	1	unknown	background
P0AEE1	6773	P0AEE1	1	unknown	background
P0AEE3	383	P0AEE3	7	unknown	background
P0AEE5	6774	P0AEE5	1	unknown	background
P0AEE8	6775	P0AEE8	1	unknown	background
P0AEF0	2305	P0AEF0	2	unknown	background
P0AEF4	2306	P0AEF4	2	unknown	background
P0AEF8	2337	P0AGH3	2	unknown	background
P0AEG1	470	P0AEG1	6	unknown	background
P0AEG4	6776	P0AEG4	1	unknown	background
P0AEG6	6777	P0AEG6	1	unknown	background
P0AEG8	6778	P0AEG8	1	unknown	background
P0AEH1	6779	P0AEH1	1	unknown	background
P0AEH3	6780	P0AEH3	1	unknown	background
P0AEH5	6781	P0AEH5	1	unknown	background
P0AEH8	6782	P0AEH8	1	unknown	background
P0AEI1	2307	P0AEI1	2	unknown	background
P0AEI4	6783	P0AEI4	1	unknown	background
P0AEI6	6784	P0AEI6	1	unknown	background
P0AEJ0	2656	P52600	2	unknown	background
P0AEJ2	6785	P0AEJ2	1	ecoli	groel
P0AEJ4	6786	P0AEJ4	1	unknown	background
P0AEJ6	6787	P0AEJ6	1	ecoli	groel
P0AEJ8	6788	P0AEJ8	1	unknown	background
P0AEK0	6789	P0AEK0	1	unknown	background
P0AEK2	516	Q8N4T8	6	ecoli	groel
P0AEK4	6790	P0AEK4	1	unknown	background
P0AEK7	2308	P0AEL0	2	unknown	background
P0AEL0	2308	P0AEL0	2	unknown	background
P0AEL3	6791	P0AEL3	1	unknown	background
P0AEL6	6792	P0AEL6	1	unknown	background
P0AEL8	2293	P0ACZ4	2	unknown	background
P0AEM0	2309	P0AEM0	2	unknown	background
P0AEM4	6793	P0AEM4	1	unknown	background
P0AEM6	6794	P0AEM6	1	unknown	background
P0AEM9	471	P0AEQ3	6	unknown	background
P0AEN1	6795	P0AEN1	1	unknown	background
P0AEN4	6796	P0AEN4	1	unknown	background
P0AEN8	2310	P0AEN8	2	unknown	background
P0AEP1	598	P0AEP1	5	unknown	background
P0AEP3	2257	P0AAB6	2	unknown	background
P0AEP7	812	P0DP89	4	unknown	background
P0AEP9	6797	P0AEP9	1	unknown	background
P0AEQ1	6798	P0AEQ1	1	unknown	background
P0AEQ3	471	P0AEQ3	6	unknown	background
P0AEQ6	597	P0AE34	5	unknown	background
P0AER0	472	P0AER0	6	unknown	background
P0AER3	6799	P0AER3	1	unknown	background
P0AER5	2311	P0AER5	2	unknown	background
P0AER8	6800	P0AER8	1	unknown	background
P0AES0	6801	P0AES0	1	unknown	background
P0AES2	2977	Q46915	2	unknown	background
P0AES4	2321	P0AFI2	2	ecoli	groel
P0AES6	2442	P20083	2	unknown	background
P0AES9	6802	P0AES9	1	unknown	background
P0AET2	6803	P0AET2	1	unknown	background
P0AET5	6804	P0AET5	1	unknown	background
P0AET8	128	P0AET8	13	unknown	background
P0AEU0	471	P0AEQ3	6	unknown	background
P0AEU3	597	P0AE34	5	unknown	background
P0AEU7	6805	P0AEU7	1	ecoli	groel
P0AEV1	6806	P0AEV1	1	unknown	background
P0AEV4	6807	P0AEV4	1	unknown	background
P0AEV7	2312	P0AEV7	2	unknown	background
P0AEV9	6808	P0AEV9	1	unknown	background
P0AEW1	6809	P0AEW1	1	unknown	background
P0AEW4	6810	P0AEW4	1	unknown	background
P0AEW6	6811	P0AEW6	1	unknown	background
P0AEW9	6812	P0AEW9	1	unknown	background
P0AEX3	805	P0AEX3	4	unknown	background
P0AEX5	6813	P0AEX5	1	unknown	background
P0AEX7	6814	P0AEX7	1	unknown	background
P0AEX9	6815	P0AEX9	1	unknown	background
P0AEY1	6816	P0AEY1	1	unknown	background
P0AEY3	6817	P0AEY3	1	unknown	background
P0AEY5	6818	P0AEY5	1	unknown	background
P0AEY8	2588	P39386	2	unknown	background
P0AEZ1	6819	P0AEZ1	1	ecoli	groel
P0AEZ3	6820	P0AEZ3	1	unknown	background
P0AEZ7	6821	P0AEZ7	1	unknown	background
P0AEZ9	6822	P0AEZ9	1	ecoli	groel
P0AF01	1246	P0AF01	3	unknown	background
P0AF03	6823	P0AF03	1	unknown	background
P0AF06	2982	Q47154	2	unknown	background
P0AF08	1056	Q9Y5Y2	4	unknown	background
P0AF10	6824	P0AF10	1	unknown	background
P0AF12	6825	P0AF12	1	unknown	background
P0AF16	6826	P0AF16	1	unknown	background
P0AF18	2313	P0AF18	2	unknown	background
P0AF20	2645	P50456	2	unknown	background
P0AF24	6827	P0AF24	1	unknown	background
P0AF26	2438	P19317	2	unknown	background
P0AF28	503	Q46791	6	unknown	background
P0AF32	2373	P11350	2	unknown	background
P0AF34	6828	P0AF34	1	unknown	background
P0AF36	6829	P0AF36	1	unknown	background
P0AF40	6830	P0AF40	1	unknown	background
P0AF43	6831	P0AF43	1	unknown	background
P0AF45	6832	P0AF45	1	unknown	background
P0AF48	6833	P0AF48	1	ecoli	groel
P0AF50	6834	P0AF50	1	unknown	background
P0AF52	845	P31440	4	unknown	background
P0AF54	6835	P0AF54	1	unknown	background
P0AF56	6836	P0AF56	1	unknown	background
P0AF59	6837	P0AF59	1	unknown	background
P0AF61	6838	P0AF61	1	unknown	background
P0AF63	2314	P0AF63	2	unknown	background
P0AF67	6839	P0AF67	1	unknown	background
P0AF70	6840	P0AF70	1	unknown	background
P0AF73	6841	P0AF73	1	unknown	background
P0AF76	6842	P0AF76	1	unknown	background
P0AF78	6843	P0AF78	1	unknown	background
P0AF80	6844	P0AF80	1	unknown	background
P0AF82	6845	P0AF82	1	unknown	background
P0AF86	6846	P0AF86	1	unknown	background
P0AF90	6847	P0AF90	1	unknown	background
P0AF93	1247	P0AF93	3	unknown	background
P0AF96	2315	P0AF96	2	unknown	background
P0AF98	6848	P0AF98	1	unknown	background
P0AFA2	6849	P0AFA2	1	unknown	background
P0AFA5	6850	P0AFA5	1	unknown	background
P0AFA7	6851	P0AFA7	1	unknown	background
P0AFA9	470	P0AEG1	6	unknown	background
P0AFB1	6852	P0AFB1	1	unknown	background
P0AFB5	6853	P0AFB5	1	unknown	background
P0AFB8	218	P14375	9	unknown	background
P0AFC0	6854	P0AFC0	1	unknown	background
P0AFC3	6855	P0AFC3	1	unknown	background
P0AFC7	6856	P0AFC7	1	unknown	background
P0AFD1	2316	P0AFD1	2	ecoli	groel
P0AFD4	2151	P03886	2	unknown	background
P0AFD6	2317	P0AFD6	2	unknown	background
P0AFE0	6857	P0AFE0	1	unknown	background
P0AFE4	6858	P0AFE4	1	unknown	background
P0AFE8	6859	P0AFE8	1	unknown	background
P0AFF0	6860	P0AFF0	1	unknown	background
P0AFF2	6861	P0AFF2	1	unknown	background
P0AFF4	2611	P45562	2	unknown	background
P0AFF6	6862	P0AFF6	1	unknown	background
P0AFG0	6863	P0AFG0	1	ecoli	groel
P0AFG3	986	Q96HY7	4	ecoli	groel
P0AFG6	2318	P0AFG6	2	ecoli	groel
P0AFG8	6864	P0AFG8	1	ecoli	groel
P0AFH0	2319	P0AFH0	2	unknown	background
P0AFH2	877	P75798	4	unknown	background
P0AFH6	470	P0AEG1	6	unknown	background
P0AFH8	6865	P0AFH8	1	unknown	background
P0AFI0	2320	P0AFI0	2	unknown	background
P0AFI2	2321	P0AFI2	2	ecoli	groel
P0AFI5	6866	P0AFI5	1	unknown	background
P0AFI7	2322	P0AFI7	2	unknown	background
P0AFI9	6867	P0AFI9	1	unknown	background
P0AFJ1	6868	P0AFJ1	1	unknown	background
P0AFJ5	145	P21866	12	unknown	background
P0AFJ7	2606	P43676	2	unknown	background
P0AFK0	6869	P0AFK0	1	ecoli	groel
P0AFK2	6870	P0AFK2	1	unknown	background
P0AFK4	2323	P0AFK4	2	unknown	background
P0AFK6	2324	P0AFK6	2	unknown	background
P0AFK9	2325	P0AFK9	2	unknown	background
P0AFL1	2324	P0AFK6	2	unknown	background
P0AFL3	66	Q9H2H8	18	unknown	background
P0AFL6	2485	P25552	2	unknown	background
P0AFL9	6871	P0AFL9	1	unknown	background
P0AFM2	6872	P0AFM2	1	unknown	background
P0AFM4	6873	P0AFM4	1	unknown	background
P0AFM6	6874	P0AFM6	1	unknown	background
P0AFM9	6875	P0AFM9	1	unknown	background
P0AFN2	6876	P0AFN2	1	unknown	background
P0AFN6	6877	P0AFN6	1	unknown	background
P0AFP0	2340	P0AGM2	2	unknown	background
P0AFP2	6878	P0AFP2	1	unknown	background
P0AFP4	1248	P0AFP4	3	unknown	background
P0AFP6	6879	P0AFP6	1	unknown	background
P0AFP9	6880	P0AFP9	1	unknown	background
P0AFQ2	6881	P0AFQ2	1	unknown	background
P0AFQ5	6882	P0AFQ5	1	unknown	background
P0AFQ7	839	P27859	4	ecoli	groel
P0AFR0	6883	P0AFR0	1	unknown	background
P0AFR2	6884	P0AFR2	1	unknown	background
P0AFR4	6885	P0AFR4	1	ecoli	groel
P0AFR7	6886	P0AFR7	1	unknown	background
P0AFR9	6887	P0AFR9	1	unknown	background
P0AFS1	6888	P0AFS1	1	unknown	background
P0AFS3	6889	P0AFS3	1	unknown	background
P0AFS5	2326	P0AFS5	2	unknown	background
P0AFS7	6890	P0AFS7	1	unknown	background
P0AFS9	6891	P0AFS9	1	unknown	background
P0AFT2	597	P0AE34	5	unknown	background
P0AFT5	2327	P0AFT5	2	unknown	background
P0AFT8	6892	P0AFT8	1	unknown	background
P0AFU0	6893	P0AFU0	1	unknown	background
P0AFU2	6894	P0AFU2	1	unknown	background
P0AFU4	218	P14375	9	unknown	background
P0AFU6	6895	P0AFU6	1	unknown	background
P0AFU8	6896	P0AFU8	1	unknown	background
P0AFV0	2573	P37683	2	unknown	background
P0AFV2	6897	P0AFV2	1	unknown	background
P0AFV4	2471	P23898	2	unknown	background
P0AFV8	6898	P0AFV8	1	unknown	background
P0AFW0	6899	P0AFW0	1	unknown	background
P0AFW2	6900	P0AFW2	1	unknown	background
P0AFW4	6901	P0AFW4	1	unknown	background
P0AFW8	6902	P0AFW8	1	unknown	background
P0AFX0	2328	P0AFX0	2	unknown	background
P0AFX4	6903	P0AFX4	1	ecoli	groel
P0AFX7	6904	P0AFX7	1	unknown	background
P0AFX9	6905	P0AFX9	1	unknown	background
P0AFY2	2599	P42598	2	unknown	background
P0AFY6	6906	P0AFY6	1	unknown	background
P0AFY8	6907	P0AFY8	1	ecoli	groel
P0AFZ1	6908	P0AFZ1	1	unknown	background
P0AFZ3	6909	P0AFZ3	1	unknown	background
P0AFZ5	6910	P0AFZ5	1	unknown	background
P0AFZ7	2329	P0AFZ7	2	unknown	background
P0AG00	6911	P0AG00	1	unknown	background
P0AG03	6912	P0AG03	1	unknown	background
P0AG07	687	Q96AT9	5	unknown	background
P0AG11	6913	P0AG11	1	unknown	background
P0AG14	6914	P0AG14	1	unknown	background
P0AG16	2330	P0AG16	2	unknown	background
P0AG18	6915	P0AG18	1	unknown	background
P0AG20	6916	P0AG20	1	unknown	background
P0AG24	6917	P0AG24	1	ecoli	groel
P0AG27	6918	P0AG27	1	unknown	background
P0AG30	6919	P0AG30	1	ecoli	groel
P0AG34	6920	P0AG34	1	unknown	background
P0AG38	6921	P0AG38	1	unknown	background
P0AG40	6922	P0AG40	1	unknown	background
P0AG44	2331	P0AG44	2	unknown	background
P0AG48	6923	P0AG48	1	unknown	background
P0AG51	6924	P0AG51	1	unknown	background
P0AG55	6925	P0AG55	1	unknown	background
P0AG59	2332	P0AG59	2	unknown	background
P0AG63	2333	P0AG63	2	unknown	background
P0AG67	6926	P0AG67	1	unknown	background
P0AG71	6927	P0AG71	1	unknown	background
P0AG74	6928	P0AG74	1	unknown	background
P0AG76	6929	P0AG76	1	unknown	background
P0AG78	2334	P0AG78	2	unknown	background
P0AG80	6930	P0AG80	1	unknown	background
P0AG82	6931	P0AG82	1	unknown	background
P0AG84	128	P0AET8	13	unknown	background
P0AG86	6932	P0AG86	1	unknown	background
P0AG90	6933	P0AG90	1	unknown	background
P0AG93	6934	P0AG93	1	unknown	background
P0AG96	6935	P0AG96	1	unknown	background
P0AG99	6936	P0AG99	1	unknown	background
P0AGA2	6937	P0AGA2	1	unknown	background
P0AGA6	503	Q46791	6	unknown	background
P0AGB0	6938	P0AGB0	1	unknown	background
P0AGB3	6939	P0AGB3	1	unknown	background
P0AGB6	6940	P0AGB6	1	unknown	background
P0AGC0	1211	P09836	3	unknown	background
P0AGC3	6941	P0AGC3	1	unknown	background
P0AGC5	6942	P0AGC5	1	unknown	background
P0AGC7	6943	P0AGC7	1	unknown	background
P0AGD1	6944	P0AGD1	1	unknown	background
P0AGD3	1249	P0AGD3	3	unknown	background
P0AGD7	1250	P0AGD7	3	unknown	background
P0AGE0	6945	P0AGE0	1	unknown	background
P0AGE4	6946	P0AGE4	1	unknown	background
P0AGE6	6947	P0AGE6	1	unknown	background
P0AGE9	2335	P0AGE9	2	unknown	background
P0AGF2	2762	P76194	2	unknown	background
P0AGF4	598	P0AEP1	5	unknown	background
P0AGF6	1251	P0AGF6	3	unknown	background
P0AGG0	6948	P0AGG0	1	unknown	background
P0AGG2	2336	P0AGG2	2	unknown	background
P0AGG4	1235	P0AA25	3	ecoli	groel
P0AGG8	6949	P0AGG8	1	ecoli	groel
P0AGH1	6950	P0AGH1	1	unknown	background
