uniprot_accession	domain_index	domain_start	domain_end	domain_length	cath_superfamily	domain_frac_helix	domain_frac_strand	domain_frac_coil	domain_mean_plddt	domain_min_plddt	domain_frac_plddt_gt70	domain_frac_plddt_gt90
P06959	3	206	284	79	2.40.50.100	0.0	0.519	0.481	71.57	27.3	0.7215	0.0
P06959	4	382	630	249	3.30.559.10	0.3775	0.2289	0.3936	93.52	52.75	0.988	0.8514
P06959	5	327	372	46	4.10.320.10	0.587	0.087	0.3261	89.18	78.69	1.0	0.5
P06987	1	163	254	92	3.30.230.40	0.3696	0.2935	0.337	95.31	68.25	0.9891	0.8804
P06987	2	255	355	101	3.30.230.40	0.3366	0.2574	0.4059	92.38	63.47	0.9802	0.7525
P06987	3	1	162	162	3.40.50.1000	0.3765	0.2037	0.4198	95.38	53.59	0.9938	0.9259
P06996	1	22	367	346	2.40.160.10	0.0607	0.578	0.3613	96.67	70.44	1.0	0.9566
P07108	1	1	87	87	1.20.80.10	0.6667	0.0	0.3333	97.21	76.31	1.0	0.954
P07148	1	1	127	127	2.40.128.20	0.1102	0.6063	0.2835	95.09	75.0	1.0	0.8898
P07195	1	2	163	162	3.40.50.720	0.4568	0.1481	0.3951	95.67	71.25	1.0	0.8765
P07195	2	164	331	168	3.90.110.10	0.4524	0.1964	0.3512	96.93	86.56	1.0	0.9821
P07203	1	6	201	196	3.40.30.10							
P07237	1	13	131	119	3.40.30.10	0.3529	0.2437	0.4034	90.95	40.53	0.9412	0.7899
P07237	2	132	232	101	3.40.30.10	0.3663	0.2079	0.4257	95.53	80.12	1.0	0.8812
P07237	3	233	361	129	3.40.30.10	0.3411	0.2093	0.4496	92.67	69.56	0.9922	0.6822
P07237	4	362	479	118	3.40.30.10	0.2881	0.2288	0.4831	92.92	68.56	0.9915	0.7288
P07650	1	6	194	189	1.20.970.10	0.5238	0.1005	0.3757	95.72	77.69	1.0	0.8942
P07650	2	70	325	256	3.40.1030.10	0.4883	0.1445	0.3672	96.45	77.69	1.0	0.9102
P07650	3	337	433	97	3.90.1170.30	0.2784	0.2577	0.4639	97.39	77.19	1.0	0.9381
P07919	1	16	91	76	1.10.287.20	0.7763	0.0	0.2237	93.33	73.12	1.0	0.8158
P07954	1	51	185	135	1.10.275.10	0.5481	0.0963	0.3556	98.32	92.31	1.0	1.0
P07954	2	453	510	58	1.10.40.30	0.7241	0.0	0.2759	97.87	90.94	1.0	1.0
P07954	3	186	452	267	1.20.200.10	0.6442	0.0861	0.2697	98.05	75.69	1.0	0.9663
P08202	1	1	175	175	3.40.50.10940	0.5429	0.1714	0.2857	97.71	74.5	1.0	0.9829
P08203	1	1	231	231	3.40.225.10	0.4286	0.1558	0.4156	96.91	49.16	0.9784	0.9481
P08244	1	1	245	245	3.20.20.70	0.4653	0.1633	0.3714	93.25	37.66	0.9347	0.8612
P08559	1	20	390	371	3.40.50.970	0.407	0.1456	0.4474	97.26	36.0	0.9757	0.973
P08574	1	85	280	196	1.10.760.10	0.3163	0.0816	0.602	96.17	60.0	0.9898	0.9745
P08574	2	281	325	45	1.20.5.100	0.7778	0.0	0.2222	96.76	81.19	1.0	0.9556
P08622	1	1	112	112	1.10.287.110	0.5982	0.0	0.4018	73.6	29.19	0.6429	0.3393
P08622	2	136	209	74	2.10.230.10	0.0	0.4189	0.5811	88.9	77.19	1.0	0.5
P08622	3	113	249	137	2.60.260.20	0.0657	0.4307	0.5036	90.85	73.0	1.0	0.6569
P08622	4	252	352	101	2.60.260.20	0.1881	0.3762	0.4356	93.82	67.62	0.9901	0.8911
P09001	1	61	163	103	2.40.30.10	0.2233	0.3398	0.4369	93.18	71.88	1.0	0.8252
P09001	2	224	304	81	2.40.30.10	0.0	0.3333	0.6667	95.95	90.5	1.0	1.0
P09053	1	1	415	415	3.40.640.10	0.4482	0.1687	0.3831	96.19	75.94	1.0	0.9229
P09110	1	33	424	392	3.40.47.10	0.4107	0.2347	0.3546	98.03	68.69	0.9974	0.9745
P09372	1	138	194	57	2.30.22.10	0.0	0.614	0.386	95.63	92.0	1.0	1.0
P09372	2	34	137	104	3.90.20.20	0.875	0.0	0.125	92.9	40.66	0.9615	0.8846
P09417	1	5	244	240	3.40.50.720	0.4	0.2333	0.3667	96.86	51.5	0.975	0.9667
P09622	1	386	509	124	3.30.390.30	0.3952	0.2661	0.3387	98.51	79.25	1.0	0.9919
P09622	2	43	371	329	3.50.50.60	0.3252	0.2584	0.4164	98.24	88.88	1.0	0.997
P09622	3	188	313	126	3.50.50.60	0.2381	0.3095	0.4524	98.0	88.88	1.0	0.9921
P09669	1	3	75	73	4.10.93.10	0.6986	0.0	0.3014	95.69	73.75	1.0	0.9178
P0A6A3	1	3	198	196	3.30.420.40	0.4235	0.2551	0.3214	95.9	80.5	1.0	0.949
P0A6A3	2	199	400	202	3.30.420.40	0.4703	0.1485	0.3812	98.09	81.56	1.0	0.9901
P0A6B7	1	16	263	248	3.40.640.10	0.3952	0.1573	0.4476	98.06	92.88	1.0	1.0
P0A6B7	2	5	368	364	3.90.1150.10	0.3819	0.1676	0.4505	95.85	40.34	0.9753	0.9286
P0A6C1	1	1	285	285	3.20.20.150	0.4316	0.1579	0.4105	97.27	37.06	0.986	0.9754
P0A6D7	1	1	173	173	3.40.50.300	0.5896	0.1387	0.2717	92.52	34.44	0.948	0.8382
P0A6J5	1	134	362	229	3.30.9.10	0.3188	0.345	0.3362	95.58	71.19	1.0	0.9301
P0A6J5	2	3	62	60	3.50.50.60	0.25	0.1833	0.5667	94.98	79.31	1.0	0.7667
P0A6J5	3	105	403	299	3.50.50.60	0.3679	0.301	0.3311	95.83	71.19	1.0	0.9398
P0A6L0	1	1	259	259	3.20.20.70	0.4826	0.1506	0.3668	96.39	48.62	0.9653	0.9498
P0A6L2	1	1	292	292	3.20.20.70	0.4589	0.1336	0.4075	98.19	68.38	0.9966	0.9932
P0A6L4	1	3	297	295	3.20.20.70	0.539	0.1356	0.3254	98.6	79.19	1.0	0.9932
P0A6M8	1	299	414	116	2.40.30.10	0.0	0.5259	0.4741	86.86	59.69	0.9052	0.5431
P0A6M8	2	492	699	208	3.30.230.10	0.3077	0.3942	0.2981	87.43	60.22	0.9519	0.5096
P0A6M8	3	615	685	71	3.30.70.240	0.3662	0.4648	0.169	84.97	65.44	0.9437	0.3521
P0A6M8	4	415	491	77	3.30.70.870	0.4156	0.2727	0.3117	82.26	61.19	0.8831	0.026
P0A6M8	5	1	298	298	3.40.50.300	0.3826	0.2248	0.3926	87.52	46.5	0.8792	0.6174
P0A6P1	1	182	228	47	1.10.286.20	0.8085	0.0213	0.1702	94.25	87.38	1.0	0.9149
P0A6P1	2	1	55	55	1.10.8.10	0.7273	0.0	0.2727	93.06	61.72	0.9818	0.8727
P0A6P1	3	56	141	86	3.30.479.20	0.4535	0.314	0.2326	97.35	90.75	1.0	1.0
P0A6P1	4	146	262	117	3.30.479.20	0.5299	0.2051	0.265	96.32	87.38	1.0	0.9658
P0A6P7	1	1	210	210	3.40.50.300	0.3762	0.2476	0.3762	90.9	35.88	0.9524	0.7333
P0A6P9	1	128	432	305	3.20.20.120	0.4393	0.1803	0.3803	97.48	78.12	1.0	0.9934
P0A6P9	2	1	127	127	3.30.390.10	0.3858	0.2126	0.4016	97.25	76.88	1.0	0.9528
P0A6Q3	1	1	172	172	3.10.129.10	0.1802	0.3547	0.4651	97.1	63.12	0.9942	0.9477
P0A6T5	1	2	86	85	1.10.286.10	0.6118	0.0	0.3882	96.6	59.47	0.9882	0.9176
P0A6T5	2	87	222	136	3.30.1130.10	0.3456	0.3382	0.3162	97.13	52.12	0.9779	0.9632
P0A6U3	1	459	550	92	1.10.10.1800	0.587	0.0435	0.3696	94.82	82.25	1.0	0.913
P0A6U3	2	570	622	53	1.10.150.570	0.6038	0.0189	0.3774	90.57	81.94	1.0	0.6038
P0A6U3	3	2	234	233	3.50.50.60	0.2918	0.3519	0.3562	96.05	84.62	1.0	0.9356
P0A6U3	4	294	458	165	3.50.50.60	0.3697	0.1879	0.4424	95.34	63.75	0.9939	0.903
P0A6W5	1	1	75	75	1.10.287.180	0.76	0.1067	0.1333	94.89	60.94	0.9867	0.88
P0A6W5	2	76	158	83	3.10.50.30	0.1446	0.4458	0.4096	95.83	81.12	1.0	0.9398
P0A6Y5	1	177	225	49	1.10.287.480	0.551	0.102	0.3469	93.22	65.44	0.9184	0.8571
P0A6Y5	2	1	176	176	3.55.30.10	0.25	0.4375	0.3125	93.81	34.0	0.983	0.875
P0A6Y5	3	226	285	60	3.90.1280.10	0.4833	0.2	0.3167	90.93	43.78	0.9667	0.8667
P0A6Y8	1	507	607	101	1.20.1270.10	0.9109	0.0	0.0891	90.44	65.94	0.9703	0.6931
P0A6Y8	2	381	506	126	2.60.34.10	0.0476	0.5	0.4524	90.68	71.44	1.0	0.5873
P0A6Y8	3	5	379	375	3.30.420.40	0.424	0.304	0.272	97.0	65.81	0.9973	0.9627
P0A6Y8	4	180	366	187	3.30.420.40	0.4545	0.3102	0.2353	96.61	65.81	0.9947	0.9412
P0A6Y8	5	229	316	88	3.90.640.10	0.625	0.25	0.125	97.27	90.62	1.0	1.0
P0A6Z6	1	1	47	47	1.10.1220.10	0.6596	0.0	0.3404	86.65	58.09	0.8723	0.5532
P0A6Z6	2	49	133	85	3.30.70.1150	0.2706	0.4706	0.2588	92.91	59.22	0.9765	0.8824
P0A705	1	561	679	119	2.40.30.10	0.2773	0.4286	0.2941	87.3	64.25	0.9496	0.5462
P0A705	2	791	888	98	2.40.30.10	0.0	0.7143	0.2857	87.2	67.0	0.9898	0.2653
P0A705	3	2	50	49	3.30.56.50	0.6122	0.0816	0.3061	84.25	61.06	0.9796	0.0
P0A705	4	684	790	107	3.40.50.10050	0.4486	0.3084	0.243	87.37	57.56	0.9813	0.4766
P0A705	5	387	560	174	3.40.50.300	0.3793	0.2529	0.3678	86.77	53.62	0.9425	0.3736
P0A707	1	10	83	74	3.10.20.80	0.3649	0.3108	0.3243	92.78	61.75	0.9865	0.9189
P0A707	2	84	180	97	3.30.110.10	0.4124	0.2784	0.3093	89.91	49.25	0.9794	0.6392
P0A715	1	1	283	283	3.20.20.70	0.3958	0.1979	0.4064	97.59	68.19	0.9965	0.9682
P0A717	1	7	305	299	3.40.50.2020	0.3311	0.2642	0.4047	95.11	57.5	0.9732	0.9197
P0A717	2	148	290	143	3.40.50.2020	0.2937	0.3077	0.3986	93.57	57.5	0.9441	0.8741
P0A722	1	197	262	66	1.20.1180.10	0.697	0.0303	0.2727	97.04	91.31	1.0	1.0
P0A722	2	1	196	196	2.160.10.10	0.0153	0.3776	0.6071	98.05	89.25	1.0	0.9898
P0A738	1	1	161	161	3.30.70.640	0.2981	0.2981	0.4037	93.65	34.62	0.9689	0.8261
P0A776	1	1	160	160	3.90.79.10	0.2938	0.3187	0.3875	95.12	77.5	1.0	0.8875
P0A799	1	8	381	374	3.40.50.1260	0.4091	0.1898	0.4011	96.48	80.5	1.0	0.9626
P0A799	2	165	373	209	3.40.50.1260	0.4498	0.1962	0.3541	96.07	80.5	1.0	0.9426
P0A7A9	1	1	176	176	3.90.80.10	0.2159	0.3295	0.4545	96.66	58.28	0.9943	0.9659
P0A7D1	1	1	194	194	3.40.50.1470	0.4485	0.2113	0.3402	97.57	65.81	0.9948	0.9845
P0A7D4	1	102	201	100	1.10.300.10	0.69	0.03	0.28	97.44	86.69	1.0	0.95
P0A7D4	2	6	259	254	3.40.440.10	0.4803	0.1654	0.3543	95.71	78.06	1.0	0.8819
P0A7D4	3	267	432	166	3.90.170.10	0.2771	0.2711	0.4518	94.88	79.75	1.0	0.8795
P0A7X6	1	101	182	82	2.30.30.240	0.0488	0.4268	0.5244	92.83	77.81	1.0	0.7561
P0A7X6	2	4	100	97	2.40.30.60	0.1443	0.4639	0.3918	90.1	31.94	0.9588	0.732
P0A7Z4	1	244	329	86	1.10.150.20	0.4651	0.0233	0.5116	78.8	38.56	0.7907	0.0
P0A7Z4	2	53	177	125	2.170.120.12	0.128	0.44	0.432	90.19	51.0	0.944	0.816
P0A7Z4	3	15	220	206	3.30.1360.10	0.1893	0.4612	0.3495	90.46	51.0	0.966	0.767
P0A805	1	12	182	171	1.10.132.20	0.614	0.1579	0.2281	89.97	67.38	0.9942	0.5439
P0A805	2	31	105	75	3.30.1360.40	0.2667	0.36	0.3733	86.69	72.75	1.0	0.28
P0A817	1	5	233	229	3.30.300.10	0.345	0.3362	0.3188	95.82	71.5	1.0	0.8908
P0A817	2	11	270	260	3.30.300.10	0.3346	0.2846	0.3808	96.01	71.5	1.0	0.9038
P0A817	3	103	374	272	3.30.300.10	0.3603	0.2206	0.4191	96.24	71.5	1.0	0.9191
P0A825	1	37	280	244	3.40.640.10	0.4385	0.1516	0.4098	98.13	89.81	1.0	0.9959
P0A825	2	11	416	406	3.90.1150.10	0.4877	0.1379	0.3744	97.97	89.5	1.0	0.9951
P0A832	1	7	135	129	2.40.280.10	0.2248	0.4186	0.3566	90.81	43.97	0.9612	0.7984
P0A850	1	116	417	302	1.10.3120.10	0.5033	0.1987	0.298	90.07	70.94	1.0	0.649
P0A850	2	150	246	97	3.10.50.40	0.0515	0.5361	0.4124	89.62	77.81	1.0	0.567
P0A850	3	1	115	115	3.30.70.1050	0.4261	0.2783	0.2957	90.1	72.31	1.0	0.5565
P0A853	1	61	326	266	3.40.640.10	0.515	0.1316	0.3534	97.38	88.44	1.0	0.9962
P0A853	2	9	467	459	3.90.1150.10	0.4771	0.1329	0.39	96.94	83.06	1.0	0.976
P0A862	1	1	168	168	3.40.30.10	0.2321	0.3155	0.4524	95.01	63.09	0.994	0.8631
P0A873	1	166	255	90	1.10.1270.20	0.5444	0.0444	0.4111	92.43	49.69	0.9556	0.8111
P0A873	2	1	165	165	3.40.1280.10	0.3939	0.2303	0.3758	96.51	71.94	1.0	0.9515
P0A894	1	2	163	162	3.40.50.300	0.4506	0.179	0.3704	86.66	44.66	0.9444	0.4136
P0A8E1	1	1	179	179	3.40.50.1820	0.4246	0.162	0.4134	95.53	79.12	1.0	0.8994
P0A8G3	1	46	139	94	1.10.2020.10	0.5957	0.0	0.4043	97.17	70.94	1.0	0.9787
P0A8G3	2	7	458	452	3.20.20.140	0.5288	0.0973	0.3739	97.96	70.94	1.0	0.9956
P0A8I5	1	30	239	210	3.40.50.150	0.3952	0.2238	0.381	95.67	81.0	1.0	0.9048
P0A8J8	1	2	217	216	3.40.50.300	0.4954	0.1389	0.3657	92.91	35.16	0.9769	0.8056
P0A8J8	2	218	381	164	3.40.50.300	0.372	0.2073	0.4207	89.32	55.0	0.9024	0.6524
P0A8M0	1	5	105	101	2.40.50.140	0.0792	0.4851	0.4356	95.82	82.06	1.0	0.9505
P0A8M0	2	110	465	356	3.30.930.10	0.3989	0.1994	0.4017	95.82	59.62	0.9916	0.9494
P0A8M3	1	1	64	64	3.10.20.30	0.2188	0.3906	0.3906	94.89	81.06	1.0	0.9844
P0A8M3	2	130	187	58	3.30.54.20	0.3448	0.2759	0.3793	94.69	89.0	1.0	0.9483
P0A8M3	3	223	531	309	3.30.930.10	0.4045	0.2751	0.3204	94.34	73.75	1.0	0.8835
P0A8M3	4	68	222	155	3.30.980.10	0.3935	0.3032	0.3032	94.5	78.69	1.0	0.871
P0A8M3	5	532	642	111	3.40.50.800	0.4144	0.2342	0.3514	94.0	43.78	0.964	0.9189
P0A8S1	1	2	77	76	1.10.10.10	0.6711	0.0526	0.2763	91.3	64.06	0.9868	0.7237
P0A8S1	2	78	297	220	3.40.190.290	0.3682	0.2682	0.3636	90.68	49.94	0.9409	0.7455
P0A8T7	1	638	790	153	1.10.132.30	0.5556	0.0915	0.3529	87.36	74.38	1.0	0.3725
P0A8T7	2	1316	1375	60	1.10.150.390	0.65	0.0333	0.3167	88.18	75.5	1.0	0.45
P0A8T7	3	1135	1314	180	1.10.1790.20	0.3667	0.2333	0.4	85.73	48.0	0.9722	0.3111
P0A8T7	4	489	637	149	1.10.274.100	0.4362	0.1812	0.3826	91.63	71.38	1.0	0.7584
P0A8T7	5	373	416	44	1.10.40.90	0.7727	0.0	0.2273	93.46	91.5	1.0	1.0
P0A8T7	6	332	486	155	2.40.40.20	0.4258	0.2258	0.3484	93.73	83.06	1.0	0.871
P0A8T7	7	948	1022	75	2.40.50.100	0.0	0.4533	0.5467	76.73	60.69	0.8133	0.0
P0A8T7	8	1023	1126	104	2.40.50.100	0.0	0.4135	0.5865	75.34	41.56	0.75	0.0
P0A8T7	9	1151	1215	65	2.40.50.100	0.0	0.4462	0.5538	81.99	71.62	1.0	0.0154
P0A8T7	10	7	128	122	4.10.860.120	0.2787	0.1885	0.5328	87.93	34.56	0.918	0.7213
P0A8U2	1	42	261	220	3.60.10.10	0.2273	0.3955	0.3773	92.05	54.31	0.9318	0.8182
P0A8V2	1	590	656	67	2.30.150.10	0.1045	0.5373	0.3582	91.81	83.88	1.0	0.6866
P0A8V2	2	1037	1242	206	2.40.270.10	0.3544	0.2427	0.4029	93.45	79.0	1.0	0.8495
P0A8V2	3	715	795	81	2.40.50.100	0.037	0.4444	0.5185	89.4	61.09	0.9506	0.7037
P0A8V2	4	820	943	124	2.40.50.150	0.1613	0.3629	0.4758	87.4	54.59	0.9032	0.5645
P0A8V2	5	18	174	157	3.90.1100.10	0.1592	0.4013	0.4395	89.06	68.56	0.9936	0.5732
P0A8V2	6	441	713	273	3.90.1100.10	0.348	0.2308	0.4212	92.17	64.19	0.9963	0.7692
P0A8V2	7	228	440	213	3.90.1110.10	0.3944	0.1784	0.4272	88.23	74.0	1.0	0.3944
P0A8V2	8	1252	1305	54	3.90.1800.10	0.537	0.0556	0.4074	92.41	76.81	1.0	0.8519
P0A8V2	9	944	1036	93	6.10.140.1670	0.828	0.0	0.172	83.13	73.75	1.0	0.0645
P0A8W8	1	1	50	50	1.10.287.680	0.82	0.0	0.18	94.27	77.0	1.0	0.84
P0A8W8	2	53	164	112	1.10.3190.10	0.5446	0.0179	0.4375	96.6	82.62	1.0	0.9464
P0A8Y3	1	16	81	66	1.10.150.240	0.7121	0.0	0.2879	95.72	90.44	1.0	1.0
P0A8Y3	2	4	182	179	3.40.50.1000	0.5642	0.1564	0.2793	95.37	66.31	0.9888	0.9385
P0A910	1	22	192	171	2.40.160.20	0.0	0.7018	0.2982	88.96	50.19	0.9357	0.6082
P0A910	2	199	343	145	3.30.1330.60	0.3241	0.2069	0.469	76.52	32.47	0.7517	0.0828
P0A948	1	10	192	183	3.40.630.30	0.3716	0.3224	0.306	96.49	82.75	1.0	0.9727
P0A953	1	6	259	254	3.40.47.10	0.4016	0.1929	0.4055	98.11	89.31	1.0	0.9961
P0A953	2	260	405	146	3.40.47.10	0.3425	0.2397	0.4178	97.73	81.56	1.0	0.9863
P0A959	1	53	294	242	3.40.640.10	0.4215	0.1942	0.3843	97.53	84.25	1.0	0.9876
P0A959	2	21	398	378	3.90.1150.10	0.4339	0.172	0.3942	97.13	84.25	1.0	0.9894
P0A991	1	40	348	309	3.20.20.70	0.4757	0.1715	0.3528	97.44	84.0	1.0	0.9612
P0A9B2	1	149	314	166	3.30.360.10	0.2892	0.3373	0.3735	98.45	92.81	1.0	1.0
P0A9B2	2	3	326	324	3.40.50.720	0.2994	0.3056	0.3951	98.44	92.81	1.0	1.0
P0A9D4	1	1	142	142	1.10.3130.10	0.7746	0.007	0.2183	97.87	84.94	1.0	0.9789
P0A9D4	2	143	273	131	2.160.10.10	0.0305	0.2977	0.6718	92.14	35.22	0.8931	0.8626
P0A9E0	1	176	235	60	1.10.10.60	0.7333	0.0	0.2667	88.58	76.31	1.0	0.4833
P0A9E0	2	236	277	42	1.10.10.60	0.7143	0.0	0.2857	92.22	80.75	1.0	0.7857
P0A9E0	3	7	170	164	2.60.120.280	0.2561	0.3415	0.4024	88.43	44.09	0.9268	0.622
P0A9F3	1	1	87	87	1.10.10.10	0.7011	0.1034	0.1954	94.82	82.25	1.0	0.9425
P0A9F3	2	91	302	212	3.40.190.10	0.3396	0.283	0.3774	93.2	66.19	0.9906	0.8443
P0A9F3	3	167	267	101	3.40.190.10	0.2574	0.2277	0.5149	93.33	69.38	0.9901	0.8416
P0A9H1	1	1	168	168	3.40.470.10	0.4226	0.1845	0.3929	96.29	41.22	0.9762	0.9643
P0A9J8	1	1	107	107	1.20.59.10	0.7664	0.0467	0.1869	91.44	42.69	0.9626	0.8411
P0A9J8	2	291	383	93	3.30.70.260	0.2581	0.3548	0.3871	92.5	75.88	1.0	0.7849
P0A9J8	3	108	281	174	3.40.190.10	0.3333	0.3276	0.3391	94.28	84.44	1.0	0.931
P0A9J8	4	189	274	86	3.40.190.10	0.314	0.2791	0.407	94.41	84.44	1.0	0.9419
P0A9K3	1	115	321	207	3.40.50.300	0.4589	0.1884	0.3527	87.55	54.75	0.9082	0.5797
P0A9L5	1	2	93	92	3.10.50.40	0.3696	0.3478	0.2826	82.99	59.94	0.9457	0.0109
P0A9M0	1	491	584	94	1.10.8.60	0.5851	0.0638	0.3511	91.85	81.56	1.0	0.7447
P0A9M0	2	253	300	48	1.20.5.5270	0.8333	0.0	0.1667	87.77	74.69	1.0	0.5
P0A9M0	3	120	245	126	1.20.58.1480	0.7857	0.0	0.2143	82.75	34.62	0.8889	0.3095
P0A9M0	4	1	118	118	2.30.130.40	0.1271	0.5085	0.3644	86.57	32.38	0.9407	0.5085
P0A9M0	5	585	772	188	3.30.230.10	0.3617	0.2713	0.367	88.01	49.0	0.9309	0.5745
P0A9M0	6	313	490	178	3.40.50.300	0.3989	0.1798	0.4213	88.6	55.03	0.9438	0.5337
P0A9N4	1	2	246	245	3.20.20.70	0.3959	0.2122	0.3918	96.52	74.69	1.0	0.9796
P0A9P0	1	346	467	122	3.30.390.30	0.3607	0.2705	0.3689	97.39	92.94	1.0	1.0
P0A9P0	2	9	333	325	3.50.50.60	0.3662	0.2677	0.3662	97.45	81.94	1.0	0.9908
P0A9P0	3	150	271	122	3.50.50.60	0.2459	0.3279	0.4262	97.12	81.94	1.0	0.9836
P0A9P6	1	488	559	72	3.30.70.330	0.3611	0.2639	0.375	81.46	71.94	1.0	0.0833
P0A9P6	2	2	211	210	3.40.50.300	0.4333	0.1429	0.4238	91.47	37.78	0.9667	0.7476
P0A9P6	3	215	438	224	3.40.50.300	0.4509	0.1607	0.3884	87.35	45.66	0.933	0.4509
P0A9Q7	1	645	865	221	1.20.1090.10	0.7104	0.0181	0.2715	96.39	83.25	1.0	0.9548
P0A9Q7	2	218	404	187	3.40.309.10	0.4278	0.2299	0.3422	97.49	84.75	1.0	0.984
P0A9Q7	3	450	643	194	3.40.50.1970	0.3608	0.2371	0.4021	91.45	65.19	0.9794	0.7165
P0A9Q7	4	10	445	436	3.40.605.10	0.4518	0.2018	0.3463	97.41	84.75	1.0	0.9839
P0A9Q9	1	136	351	216	3.30.360.10	0.4028	0.2407	0.3565	98.47	91.62	1.0	1.0
P0A9Q9	2	4	356	353	3.40.50.720	0.4136	0.2323	0.3541	97.98	79.75	1.0	0.983
P0A9R7	1	1	220	220	3.40.50.300	0.3545	0.25	0.3955	92.47	45.59	0.9864	0.7682
P0A9S3	1	149	286	138	3.40.50.720	0.4203	0.2029	0.3768	98.06	90.06	1.0	1.0
P0A9S3	2	20	329	310	3.90.180.10	0.3452	0.2355	0.4194	97.73	90.06	1.0	1.0
P0A9T0	1	328	409	82	3.30.70.260	0.2805	0.4024	0.3171	94.0	71.12	1.0	0.9268
P0A9T0	2	14	313	300	3.40.50.720	0.3667	0.1633	0.47	97.14	85.88	1.0	0.9867
P0A9T0	3	109	297	189	3.40.50.720	0.3439	0.1693	0.4868	97.4	85.88	1.0	0.9788
P0A9T4	1	1	346	346	3.20.20.100	0.4133	0.1532	0.4335	96.63	62.66	0.9913	0.9393
P0A9X4	1	8	161	154	3.30.420.40	0.2662	0.3377	0.3961	89.22	41.28	0.9416	0.5844
P0A9X4	2	162	244	83	3.30.420.40	0.3253	0.3735	0.3012	96.32	86.44	1.0	0.9759
P0A9X4	3	245	321	77	3.30.420.40	0.6364	0.1948	0.1688	97.24	93.19	1.0	1.0
P0AA16	1	130	239	110	1.10.10.10	0.2818	0.2182	0.5	83.06	38.69	0.8182	0.4818
P0AA16	2	3	84	82	3.40.50.2300	0.4024	0.2561	0.3415	93.19	57.91	0.9878	0.8293
P0AA16	3	85	122	38	6.10.250.690	0.6316	0.1316	0.2368	87.75	64.44	0.9211	0.5263
P0AA39	1	9	73	65	3.10.290.10	0.2615	0.2154	0.5231	91.22	63.78	0.9692	0.7077
P0AA39	2	92	319	228	3.30.2350.10	0.2149	0.3333	0.4518	94.59	59.44	0.9825	0.864
P0AAG8	1	2	253	252	3.40.50.300	0.3452	0.2738	0.381	87.31	29.91	0.9286	0.5675
P0AAG8	2	265	500	236	3.40.50.300	0.3856	0.2669	0.3475	93.07	70.31	1.0	0.7712
P0AAH0	1	3	254	252	3.40.50.300	0.4048	0.2738	0.3214	94.45	28.16	0.9802	0.9325
P0AAI5	1	1	413	413	3.40.47.10	0.3874	0.2179	0.3947	97.99	57.28	0.9976	0.9927
P0AAR3	1	1	159	159	3.90.960.10	0.283	0.3208	0.3962	97.11	67.5	0.9937	0.9811
P0AAZ4	1	346	447	102	1.10.3710.10	0.4902	0.0	0.5098	91.76	62.47	0.951	0.7941
P0AAZ4	2	165	240	76	1.10.8.60	0.5921	0.0658	0.3421	91.72	73.69	1.0	0.6974
P0AAZ4	3	241	345	105	1.20.272.10	0.7905	0.0	0.2095	88.34	35.06	0.8762	0.6952
P0AAZ4	4	1	164	164	3.40.50.300	0.4207	0.1707	0.4085	88.63	30.48	0.9207	0.7256
P0AB71	1	2	359	358	3.20.20.70	0.5	0.1676	0.3324	94.86	47.47	0.9274	0.8855
P0ABD5	1	4	319	316	3.90.226.10	0.5411	0.1582	0.3006	95.88	62.19	0.981	0.9241
P0ABF1	1	191	442	252	1.10.3090.10	0.746	0.0198	0.2341	93.94	66.44	0.996	0.9167
P0ABF1	2	28	190	163	3.30.460.10	0.3006	0.2454	0.454	84.24	31.92	0.8282	0.5521
P0ABH7	1	268	376	109	1.10.230.10	0.6606	0.0183	0.3211	88.15	63.44	0.9725	0.4679
P0ABH7	2	60	409	350	1.10.580.10	0.64	0.0343	0.3257	94.42	63.44	0.9914	0.8057
P0ABH7	3	2	50	49	2.20.28.60	0.0612	0.2449	0.6939	91.72	67.44	0.9592	0.7959
P0ABP8	1	1	235	235	3.40.50.1580	0.3617	0.2809	0.3574	97.21	71.44	1.0	0.9319
P0ABT2	1	2	167	166	1.20.1260.10	0.6807	0.012	0.3072	94.78	32.97	0.9337	0.9277
P0ABT5	1	252	321	70	1.10.1200.80	0.8	0.0	0.2	91.03	51.91	0.9286	0.7857
P0ABT5	2	6	247	242	3.20.20.70	0.4008	0.186	0.4132	96.36	76.88	1.0	0.9091
P0AC41	1	431	547	117	1.20.58.100	0.6239	0.0513	0.3248	96.92	86.31	1.0	0.9915
P0AC41	2	9	416	408	3.50.50.60	0.3382	0.25	0.4118	96.96	85.06	1.0	0.9804
P0AC41	3	246	350	105	3.90.700.10	0.4286	0.1429	0.4286	95.68	85.06	1.0	0.9619
P0AC41	4	548	588	41	4.10.80.40	0.0976	0.2927	0.6098	95.44	77.62	1.0	0.9512
P0AC59	1	90	215	126	1.20.1050.10	0.6587	0.0159	0.3254	98.57	95.62	1.0	1.0
P0AC59	2	8	85	78	3.40.30.10	0.3974	0.1154	0.4872	98.59	97.75	1.0	1.0
P0AC69	1	7	110	104	3.40.30.10	0.5096	0.2115	0.2788	88.2	51.28	0.9712	0.4519
P0ACB2	1	2	324	323	3.20.20.70	0.4211	0.1734	0.4056	98.02	78.06	1.0	0.9783
