accession	source	n_domains	first_domain_start	first_domain_end
A0JNW5	Chainsaw	2	1	411
A5PLL1	Chainsaw	1	13	166
A0AAG2SWP8	Chainsaw	1	50	120
A6NJR5	Chainsaw	1	153	288
A6NGY3	Chainsaw	1	72	153
A6NDR6	Chainsaw	1	43	77
A2PYH4	Chainsaw	3	264	485
A0AAG2TWA4	Chainsaw	1	22	223
A6NIJ9	Chainsaw	1	9	311
A6NEF3	Chainsaw	1	15	466
A1L443	Chainsaw	1	203	511
A2RRP1	Chainsaw	7	24	455
A6NGY1	Chainsaw	1	172	235
A6NGH7	Chainsaw	1	41	321
A0AAG2TG10	Chainsaw	1	17	225
A0AV02	Chainsaw	3	27	29
A0AAG2TVE0	Chainsaw	1	22	116
A6NHN0	Chainsaw	1	344	469
A6NJG6	Chainsaw	1	87	254
A6NJ64	Chainsaw	1	40	259
A6NCQ9	Chainsaw	1	28	69
A0AAG2TTZ7	Chainsaw	1	1	449
A0AVG0	Chainsaw	1	3	89
A6NDL8	Chainsaw	1	9	311
A6NDN3	Chainsaw	1	15	615
A6NCC3	Chainsaw	1	1	497
A0PJW8	Chainsaw	1	21	81
A6NH11	Chainsaw	1	74	285
A6NHQ2	Chainsaw	1	108	325
A1L4L8	Chainsaw	1	83	168
A2VDF0	Chainsaw	1	13	145
A0A9L9PY65	Chainsaw	1	3	88
A0AAG2TUS7	Chainsaw	1	43	157
A2RU30	Chainsaw	1	197	413
A6NFN3	Chainsaw	1	99	172
A6NJ88	Chainsaw	2	27	45
A6NHP3	Chainsaw	1	193	400
A1X283	Chainsaw	3	7	146
A1L167	Chainsaw	1	2	151
A6NC97	Chainsaw	2	202	347
A6NI56	Chainsaw	1	23	640
A1L4H1	Chainsaw	2	1	126
A6NI28	Chainsaw	4	805	873
A0AAG2TVR6	Chainsaw	1	1	45
A4D263	Chainsaw	1	138	253
A6NH00	Chainsaw	1	9	310
A6NFY7	Chainsaw	1	6	66
A0AAG2SUK6	Chainsaw	1	27	99
A4D0S4	Chainsaw	5	1	21
A4QN01	Chainsaw	1	7	126
A1L3X0	Chainsaw	1	34	262
A6NDE4	Chainsaw	1	9	82
A0AAG2TWV3	Chainsaw	1	39	118
A0AAG2TV42	Chainsaw	1	6	118
A0AAG2TCG9	Chainsaw	1	1	173
A0ABB0MV46	Chainsaw	1	11	62
A2RRL7	Chainsaw	1	6	97
A0PG75	Chainsaw	1	59	265
A6NIH7	Chainsaw	1	36	246
A2A2Z9	Chainsaw	2	290	291
A6NJY4	Chainsaw	1	16	76
A0PJE2	Chainsaw	1	3	316
A0AAQ5BGE0	Chainsaw	1	21	133
A2NJV5	Chainsaw	1	24	115
A0AAG2SVT6	Chainsaw	1	3	95
A0JD37	Chainsaw	1	20	112
A6NED2	Chainsaw	1	7	242
A6NFC9	Chainsaw	1	11	243
A6NI87	Chainsaw	1	66	217
A6NEN9	Chainsaw	1	2	128
A6NET4	Chainsaw	1	11	289
A6NJU9	Chainsaw	1	2	234
A6NI15	Chainsaw	1	123	186
A6NEV1	Chainsaw	1	58	137
A6NEH6	Chainsaw	1	102	168
A6NEL3	Chainsaw	1	3	92
A6NGY5	Chainsaw	1	20	318
A6NFU8	Chainsaw	1	4	175
A6NGU5	Chainsaw	2	37	261
A6NCI4	Chainsaw	6	6	13
A1A5D9	Chainsaw	1	47	478
A6NFF2	Chainsaw	1	36	105
A6NGS2	Chainsaw	1	1	116
A0PK05	Chainsaw	1	1	138
A6NGB7	Chainsaw	1	5	186
A6NCN2	Chainsaw	1	1	250
A0AAG2SXZ4	Chainsaw	1	3	97
A4D1N5	Chainsaw	1	15	111
A6NGC4	Chainsaw	1	1	227
A6NCW0	Chainsaw	2	81	198
A6NE82	Chainsaw	1	25	207
A4D1S0	Chainsaw	1	298	407
A5YKK6	Chainsaw	7	1842	2067
A6NH57	Chainsaw	1	1	177
A0AAG2TUN3	Chainsaw	1	11	414
A6NI79	Chainsaw	1	39	276
A2A3K4	Chainsaw	3	21	274
A0AAG2TUP4	Chainsaw	1	6	118
A2A3L6	Chainsaw	1	19	415
A6NFA0	Chainsaw	1	6	143
A0AAG2SXN7	Chainsaw	3	58	113
A2RUT3	Chainsaw	1	6	153
A0PK11	Chainsaw	2	4	32
A6NF01	Chainsaw	1	117	189
A6NJ08	Chainsaw	1	25	207
A0AAG2UXD8	Chainsaw	1	10	679
A6NJ46	Chainsaw	1	148	256
A6NCE7	Chainsaw	1	7	124
A0ABB0MV50	Chainsaw	1	14	62
A6NCV1	Chainsaw	1	9	311
A6NIN4	Chainsaw	1	17	102
A0AAG2SWI5	Chainsaw	7	12	105
A6NMS7	Chainsaw	2	1366	1670
B2RV13	Chainsaw	1	22	155
A8MZH6	Chainsaw	1	27	118
A6NM43	Chainsaw	2	26	155
M0QZC1	Chainsaw	1	63	158
A8MTL3	Chainsaw	1	17	287
H0YL14	Chainsaw	1	18	138
A6NKP2	Chainsaw	2	35	216
A6NMU1	Chainsaw	1	10	302
B1AK76	Chainsaw	1	6	119
A8MT33	Chainsaw	1	28	201
I6L899	Chainsaw	1	7	9
A6NKX1	Chainsaw	1	2	54
A6XGL0	Chainsaw	2	38	70
A8MUP6	Chainsaw	2	1	50
A6NKG5	Chainsaw	5	154	295
B9EJG8	Chainsaw	1	8	216
C9JLR9	Chainsaw	3	84	182
B3EWG5	Chainsaw	1	4	88
A8MTL9	Chainsaw	1	1	137
B3EWG3	Chainsaw	1	4	88
E7ETH6	Chainsaw	2	6	60
A6NNV3	Chainsaw	1	193	350
A8K8P3	Chainsaw	2	79	1145
A6NKW6	Chainsaw	1	3	46
A8MYB1	Chainsaw	1	8	303
D6RBM5	Chainsaw	1	81	176
A8MUU1	Chainsaw	1	8	98
A6NLX3	Chainsaw	1	103	235
B0FP48	Chainsaw	1	41	177
O00193	Chainsaw	1	35	97
A8MTZ7	Chainsaw	1	80	229
B2RNN3	Chainsaw	1	203	331
A8K554	Chainsaw	1	47	129
A6NMN3	Chainsaw	1	105	259
A8MUN3	Chainsaw	1	8	77
C0HM01	Chainsaw	1	1	60
A8MYZ6	Chainsaw	1	93	171
B3KU38	Chainsaw	1	43	559
A8K0R7	Chainsaw	1	746	798
H3BTG2	Chainsaw	1	3	90
B2RXH8	Chainsaw	1	11	84
H3BRN8	Chainsaw	1	42	73
B7Z1M9	Chainsaw	1	196	331
B7ZC32	Chainsaw	4	887	966
F8WBI6	Chainsaw	1	1	490
A6NKC9	Chainsaw	1	15	163
B1AMM8	Chainsaw	1	12	56
C9JH25	Chainsaw	1	1	64
E2RYF6	Chainsaw	4	8	11
B2RTY4	Chainsaw	5	1091	1091
A6NLC5	Chainsaw	1	12	147
A8MYJ7	Chainsaw	1	25	561
A6NKF2	Chainsaw	1	100	224
A8MVA2	Chainsaw	1	11	42
E5RIL1	Chainsaw	1	41	177
E9PQR5	Chainsaw	1	17	262
A6NNL0	Chainsaw	1	64	127
E9PKD4	Chainsaw	1	19	222
D6R901	Chainsaw	2	81	198
A9QM74	Chainsaw	1	39	486
A6NMT0	Chainsaw	1	190	247
O00204	Chainsaw	1	12	301
O00198	Chainsaw	1	17	89
A6NMX2	Chainsaw	1	63	241
F8W0I5	Chainsaw	1	17	175
A6NKK0	Chainsaw	1	11	312
F5H284	Chainsaw	1	5	163
A8MRT5	Chainsaw	1	17	222
E5RG02	Chainsaw	1	57	134
A6NM76	Chainsaw	1	9	310
A8MU93	Chainsaw	1	13	100
E9PAV3	Chainsaw	1	1934	1992
A8K2U0	Chainsaw	7	23	117
E9PIF3	Chainsaw	1	17	241
O00165	Chainsaw	1	210	276
A6NM45	Chainsaw	1	1	189
B4E2M5	Chainsaw	1	1	167
A8MV81	Chainsaw	1	6	93
A6NLX4	Chainsaw	1	15	73
B1AK53	Chainsaw	1	1	338
A8MV23	Chainsaw	2	10	197
A6NKD9	Chainsaw	1	20	401
B7ZW38	Chainsaw	1	11	84
C9JRZ8	Chainsaw	1	4	304
A8MTQ0	Chainsaw	1	165	229
C9JCN9	Chainsaw	1	9	72
B4DJY2	Chainsaw	1	8	108
A8MUX0	Chainsaw	1	62	183
A6NMZ5	Chainsaw	1	6	305
O00155	Chainsaw	1	38	312
A6NML5	Chainsaw	1	1	177
H0Y354	Chainsaw	1	13	127
B9A064	Chainsaw	1	116	208
H7C241	Chainsaw	1	7	198
C9J3V5	Chainsaw	1	68	140
A8MT69	Chainsaw	1	12	80
O00194	Chainsaw	1	8	193
A6PVC2	Chainsaw	3	171	188
A6NKF1	Chainsaw	2	388	389
A6NKX4	Chainsaw	2	1	45
A8MUK1	Chainsaw	2	81	198
A6NNE9	Chainsaw	1	195	195
A6NNM8	Chainsaw	1	89	501
C9JDP6	Chainsaw	1	5	189
B3EWG6	Chainsaw	1	4	88
A8K830	Chainsaw	1	17	96
D6RBQ6	Chainsaw	2	81	198
A8MXK1	Chainsaw	1	35	139
A8MWD9	Chainsaw	1	10	72
A8MPS7	Chainsaw	1	6	300
O00212	Chainsaw	1	16	205
B0I1T2	Chainsaw	4	2	186
A8MTJ3	Chainsaw	2	25	60
B0L3A2	Chainsaw	1	16	81
H3BV12	Chainsaw	1	1	491
C9J7I0	Chainsaw	1	73	121
C9JQL5	Chainsaw	1	20	132
B4DS77	Chainsaw	2	1	41
A6NNC1	Chainsaw	1	189	194
C9JXX5	Chainsaw	1	1	30
B2RN74	Chainsaw	1	26	323
A6NN14	Chainsaw	4	1036	1036
E5RJM6	Chainsaw	1	10	371
A6NP61	Chainsaw	1	93	113
D6R9N7	Chainsaw	2	81	198
A6NMD0	Chainsaw	1	9	225
O00160	Chainsaw	5	22	418
A8MQ03	Chainsaw	1	3	35
A7E2F4	Chainsaw	1	98	485
A8K7I4	Chainsaw	5	26	169
H0YM25	Chainsaw	1	47	853
E5RQL4	Chainsaw	1	10	146
A8MWV9	Chainsaw	1	16	99
A6NL26	Chainsaw	1	9	305
A8MU10	Chainsaw	1	21	92
A8MU46	Chainsaw	1	372	486
B0YJ81	Chainsaw	1	70	287
K9M1U5	Chainsaw	1	30	175
O00167	Chainsaw	1	269	535
C9JI98	Chainsaw	1	29	124
C9JLW8	Chainsaw	1	31	94
K7EJ46	Chainsaw	1	5	59
D3W0D1	Chainsaw	1	69	196
E9PQ53	Chainsaw	1	15	99
E9PJ23	Chainsaw	1	17	262
H3BNL1	Chainsaw	1	18	203
B1AL46	Chainsaw	2	2	127
M5A8F1	Chainsaw	1	45	140
I3L1E1	Chainsaw	1	43	81
H3BQJ8	Chainsaw	1	29	103
G3V523	Chainsaw	1	3	58
A8MQT2	Chainsaw	2	1	371
A6NM03	Chainsaw	1	12	315
K7EIQ3	Chainsaw	1	35	98
A6NM66	Chainsaw	1	23	96
D6RA61	Chainsaw	2	81	198
A6NNP5	Chainsaw	1	14	170
C9J3I9	Chainsaw	1	1	59
A8MWP4	Chainsaw	1	79	143
A8MQ11	Chainsaw	1	13	127
A7E2V4	Chainsaw	4	76	170
A7MBM2	Chainsaw	3	150	205
B5MD39	Chainsaw	1	4	218
A6NKQ9	Chainsaw	1	60	168
O00159	Chainsaw	4	29	440
H3BV60	Chainsaw	1	39	211
C9J6K1	Chainsaw	1	81	170
A6NL46	Chainsaw	1	285	333
B2RXF0	Chainsaw	1	53	182
C9JVI0	Chainsaw	2	81	198
H3BQL2	Chainsaw	1	1	379
A8MZF0	Chainsaw	1	192	302
C0HM98	Chainsaw	1	11	184
A6NNS2	Chainsaw	2	28	225
B7ZLF3	Chainsaw	1	37	187
A8MPP1	Chainsaw	4	21	70
A8MTT3	Chainsaw	1	4	79
E2RYF7	Chainsaw	1	68	244
B2RUZ4	Chainsaw	1	28	77
B1AJZ9	Chainsaw	2	2	981
A6NMK7	Chainsaw	1	97	161
C9JTQ0	Chainsaw	1	9	189
A6NNH2	Chainsaw	1	34	63
B7Z8K6	Chainsaw	1	8	85
C9J798	Chainsaw	5	2	113
A6NN92	Chainsaw	1	3	203
B2RBV5	Chainsaw	1	22	117
A8MTL0	Chainsaw	1	3	143
A8MVX0	Chainsaw	1	250	783
M0R2J8	Chainsaw	9	174	246
A6NMB9	Chainsaw	2	372	558
F5H094	Chainsaw	2	526	647
B3SHH9	Chainsaw	1	1	222
J3KSC0	Chainsaw	1	21	126
A6NMK8	Chainsaw	1	394	495
A7MCY6	Chainsaw	1	36	612
O00110	Chainsaw	1	70	189
D6RF30	Chainsaw	1	1	488
A6NMA1	Chainsaw	1	1	109
A8MX34	Chainsaw	1	18	84
H3BPM6	Chainsaw	2	10	51
A7E2S9	Chainsaw	1	22	221
A6NL08	Chainsaw	1	9	311
B3GLJ2	Chainsaw	1	3	89
F8W1W9	Chainsaw	1	17	262
B9A014	Chainsaw	1	20	250
A6NND4	Chainsaw	1	15	311
O00175	Chainsaw	1	44	105
A8MWX3	Chainsaw	1	373	456
A6NMS3	Chainsaw	1	11	289
F5H4A9	Chainsaw	1	19	214
C9JG80	Chainsaw	1	17	243
A6NLC8	Chainsaw	1	84	183
A8MZ26	Chainsaw	1	8	174
A8MT70	Chainsaw	1	25	196
E9PQX1	Chainsaw	1	1	115
A6NNY8	Chainsaw	2	9	185
C9JUS6	Chainsaw	1	1	134
E9PB15	Chainsaw	1	50	98
A8K855	Chainsaw	3	508	515
G3V211	Chainsaw	1	10	112
A8MVS5	Chainsaw	1	19	101
A8MV24	Chainsaw	1	1	117
A6NL88	Chainsaw	1	1	212
H7BZ55	Chainsaw	1	21	685
A6NKH3	Chainsaw	1	13	92
B4DU55	Chainsaw	4	16	111
B3KNS4	Chainsaw	1	61	99
O00161	Chainsaw	1	6	210
A8MZA4	Chainsaw	1	41	720
F5H4B4	Chainsaw	4	6	16
A8MUM7	Chainsaw	1	8	139
C9JC47	Chainsaw	1	52	174
G2XKQ0	Chainsaw	1	21	92
C9JPN9	Chainsaw	2	55	63
B2RXH4	Chainsaw	1	15	132
A6NL82	Chainsaw	1	13	128
A6NN73	Chainsaw	1	1	451
A8MZ97	Chainsaw	1	3	76
C0HMD7	Chainsaw	1	12	121
O00168	Chainsaw	1	4	91
F2Z333	Chainsaw	1	37	175
A6NLU5	Chainsaw	1	29	149
A6NLP5	Chainsaw	1	4	164
A8K010	Chainsaw	1	83	180
A6PVL3	Chainsaw	1	7	76
A6NKF7	Chainsaw	1	45	136
A8MTI9	Chainsaw	1	64	332
A8MXV6	Chainsaw	1	189	271
B7ZAQ6	Chainsaw	2	1	177
A6NMZ2	Chainsaw	1	40	144
A6NNL5	Chainsaw	1	1	147
E9PRG8	Chainsaw	1	14	86
H3BNL8	Chainsaw	1	49	225
A8MYZ5	Chainsaw	1	1	105
A6PVY3	Chainsaw	1	24	126
A8K4G0	Chainsaw	1	18	122
C9J202	Chainsaw	1	24	50
H3BS89	Chainsaw	2	1	33
A8MWE9	Chainsaw	1	44	131
B6SEH9	Chainsaw	2	4	6
L0R819	Chainsaw	1	20	94
B1AL88	Chainsaw	1	182	377
A8MWL7	Chainsaw	1	8	112
A8MTA8	Chainsaw	1	101	130
F8WCM5	Chainsaw	1	2	43
A6NNT2	Chainsaw	3	3	161
D6RJB6	Chainsaw	2	81	198
A8MXU0	Chainsaw	1	1	58
C9JBD0	Chainsaw	1	17	127
A6NM36	Chainsaw	1	29	300
E9PJI5	Chainsaw	1	17	222
A6NM10	Chainsaw	1	1	239
F5GYI3	Chainsaw	1	32	379
H7C350	Chainsaw	1	144	394
A6NNB3	Chainsaw	1	36	130
H3BPF8	Chainsaw	1	15	502
I3L3R5	Chainsaw	1	9	265
D6RCP7	Chainsaw	2	81	197
H3BR10	Chainsaw	1	30	90
B6SEH8	Chainsaw	2	2	56
C9J2P7	Chainsaw	2	81	198
A6NLE4	Chainsaw	1	3	156
A6QL64	Chainsaw	1	12	164
A8MVW0	Chainsaw	1	39	294
A6QL63	Chainsaw	3	101	261
O00116	Chainsaw	4	31	82
A8MZG2	Chainsaw	1	1	89
A8MTJ6	Chainsaw	1	130	227
A6NM11	Chainsaw	1	830	1143
A6NKT7	Chainsaw	4	5	91
B1AKI9	Chainsaw	1	264	463
E7ERA6	Chainsaw	1	50	161
C9JLJ4	Chainsaw	2	81	198
A6NKL6	Chainsaw	1	51	347
H3BSY2	Chainsaw	1	1	495
A8MWL6	Chainsaw	1	17	179
A8MSI8	Chainsaw	1	7	76
A6NLJ0	Chainsaw	1	237	362
C9JJH3	Chainsaw	2	81	198
A6NNN8	Chainsaw	1	26	434
A6NNX1	Chainsaw	1	18	91
A7KAX9	Chainsaw	3	572	574
A8MV57	Chainsaw	1	2	85
B1ANY3	Chainsaw	1	179	269
O14793	Chainsaw	2	40	108
O00255	Chainsaw	2	545	580
O15160	Chainsaw	2	1	80
O14867	Chainsaw	1	513	651
O00358	Chainsaw	1	58	160
O15069	Chainsaw	1	1412	1470
O14595	Chainsaw	1	73	269
O15297	Chainsaw	2	6	37
O15439	Chainsaw	3	12	395
O15116	Chainsaw	1	7	89
O14579	Chainsaw	1	19	280
O15047	Chainsaw	4	20	51
O14490	Chainsaw	1	793	897
O00294	Chainsaw	1	243	247
O14843	Chainsaw	1	5	282
O15217	Chainsaw	2	6	81
O14599	Chainsaw	1	31	97
O15375	Chainsaw	1	1	396
O15162	Chainsaw	1	100	305
O14925	Chainsaw	1	50	207
O00221	Chainsaw	1	330	459
O14746	Chainsaw	4	8	183
O00398	Chainsaw	1	20	311
O15143	Chainsaw	2	2	286
O14715	Chainsaw	5	1182	1232
O14907	Chainsaw	1	13	123
O15055	Chainsaw	4	101	153
O14717	Chainsaw	2	4	189
O14645	Chainsaw	1	15	254
O00762	Chainsaw	1	26	176
O00584	Chainsaw	1	36	247
O00322	Chainsaw	2	1	125
O15194	Chainsaw	1	108	274
O14983	Chainsaw	5	4	43
O00712	Chainsaw	2	6	174
O15120	Chainsaw	1	3	264
O14520	Chainsaw	1	30	276
O14948	Chainsaw	1	44	237
O15353	Chainsaw	1	276	385
O15444	Chainsaw	1	40	108
O15265	Chainsaw	1	527	561
O14960	Chainsaw	1	36	150
O00764	Chainsaw	1	6	311
O00219	Chainsaw	2	3	73
O15305	Chainsaw	2	7	85
O15130	Chainsaw	1	3	60
O14796	Chainsaw	1	12	100
O00220	Chainsaw	1	352	456
O14976	Chainsaw	4	1	13
O00533	Chainsaw	8	6	24
O00422	Chainsaw	1	28	138
O14966	Chainsaw	1	4	186
O14977	Chainsaw	3	10	19
O15056	Chainsaw	3	7	62
O14718	Chainsaw	1	22	310
O14503	Chainsaw	1	30	184
O15455	Chainsaw	1	756	898
O00258	Chainsaw	1	1	171
O00628	Chainsaw	1	10	320
O15172	Chainsaw	1	28	70
O15263	Chainsaw	1	1	62
O00483	Chainsaw	1	1	73
O14493	Chainsaw	1	4	183
O00629	Chainsaw	1	22	485
O15021	Chainsaw	2	322	489
O14792	Chainsaw	1	51	149
O15432	Chainsaw	1	11	142
O14522	Chainsaw	8	1153	1160
O14686	Chainsaw	1	82	354
O15254	Chainsaw	3	9	133
O00534	Chainsaw	4	17	235
O00750	Chainsaw	7	231	340
O00468	Chainsaw	8	36	244
O00625	Chainsaw	2	6	136
O15013	Chainsaw	4	1326	1365
O15511	Chainsaw	1	4	146
O15392	Chainsaw	1	8	140
O15240	Chainsaw	2	8	226
O14519	Chainsaw	1	34	114
O15151	Chainsaw	2	26	114
O00585	Chainsaw	1	42	92
O14763	Chainsaw	2	36	58
O14815	Chainsaw	4	9	13
O14810	Chainsaw	1	1	133
O14795	Chainsaw	6	720	724
O00421	Chainsaw	1	33	311
O14735	Chainsaw	1	6	212
O15020	Chainsaw	6	298	541
O14931	Chainsaw	1	21	128
O15342	Chainsaw	1	4	79
O15405	Chainsaw	1	18	525
O15212	Chainsaw	1	1	124
O15231	Chainsaw	1	628	686
O15321	Chainsaw	2	19	19
O15127	Chainsaw	1	133	310
O15520	Chainsaw	1	71	205
O14894	Chainsaw	1	1	186
O14836	Chainsaw	1	38	190
O00559	Chainsaw	1	1	210
O15145	Chainsaw	1	15	170
O14610	Chainsaw	1	7	57
O15061	Chainsaw	1	921	1005
O14559	Chainsaw	3	295	525
O14581	Chainsaw	1	11	306
O00295	Chainsaw	1	272	518
O14497	Chainsaw	2	1827	1828
O00401	Chainsaw	2	457	483
O14654	Chainsaw	1	6	346
O00570	Chainsaw	1	45	122
O14807	Chainsaw	1	13	191
O00555	Chainsaw	4	1260	1362
O00626	Chainsaw	1	47	92
O14733	Chainsaw	1	96	96
O00716	Chainsaw	2	11	75
O00222	Chainsaw	4	39	197
O14684	Chainsaw	1	3	150
O00338	Chainsaw	1	14	285
O14603	Chainsaw	1	6	128
O00270	Chainsaw	1	11	301
O15049	Chainsaw	1	27	529
O00341	Chainsaw	2	1	159
O14545	Chainsaw	3	10	12
O14964	Chainsaw	4	540	559
O14602	Chainsaw	1	33	106
O00257	Chainsaw	1	13	64
O15198	Chainsaw	2	266	456
O14967	Chainsaw	2	3	44
O15131	Chainsaw	1	24	505
O14569	Chainsaw	1	5	220
O14798	Chainsaw	1	6	37
O15016	Chainsaw	3	17	238
O15062	Chainsaw	1	6	162
O15239	Chainsaw	1	5	68
O00592	Chainsaw	1	340	438
O00292	Chainsaw	2	24	75
O15117	Chainsaw	1	462	588
O14525	Chainsaw	5	1	9
O14495	Chainsaw	1	26	274
O00501	Chainsaw	1	1	190
O14604	Chainsaw	1	5	43
O15496	Chainsaw	1	43	156
O15514	Chainsaw	1	17	140
O00461	Chainsaw	1	8	636
O15370	Chainsaw	1	46	103
O15218	Chainsaw	1	49	328
O14921	Chainsaw	1	7	157
O15260	Chainsaw	1	1	268
O15178	Chainsaw	1	7	214
O14924	Chainsaw	4	1173	1234
O15075	Chainsaw	4	420	420
O00590	Chainsaw	1	38	318
O00244	Chainsaw	1	3	67
O14494	Chainsaw	1	6	246
O14668	Chainsaw	1	8	202
O14737	Chainsaw	1	1	104
O15498	Chainsaw	1	3	194
O15083	Chainsaw	1	137	921
O15446	Chainsaw	1	32	119
O15090	Chainsaw	2	103	106
O14713	Chainsaw	1	61	197
O15379	Chainsaw	1	5	368
O00602	Chainsaw	1	118	325
O00267	Chainsaw	5	96	132
O15084	Chainsaw	3	132	858
O00399	Chainsaw	1	9	171
O15303	Chainsaw	4	16	195
O14609	Chainsaw	1	1	156
O14944	Chainsaw	1	7	162
O14625	Chainsaw	1	42	91
O00311	Chainsaw	2	528	569
O00519	Chainsaw	3	39	310
O00253	Chainsaw	1	92	121
O15078	Chainsaw	6	7	338
O14626	Chainsaw	1	14	318
O14787	Chainsaw	2	7	578
O15492	Chainsaw	1	43	194
O15258	Chainsaw	1	19	172
O15442	Chainsaw	1	74	321
O15243	Chainsaw	1	1	121
O15155	Chainsaw	1	20	117
O14756	Chainsaw	2	27	210
O15467	Chainsaw	1	48	102
O14669	Chainsaw	1	34	140
O15354	Chainsaw	2	4	29
O15431	Chainsaw	1	54	188
O00488	Chainsaw	1	8	106
O00767	Chainsaw	1	73	334
O15164	Chainsaw	4	44	154
O15503	Chainsaw	1	77	269
O14802	Chainsaw	8	17	94
O15355	Chainsaw	2	4	119
O00230	Chainsaw	1	5	78
O15079	Chainsaw	1	72	480
O15121	Chainsaw	2	11	34
O14818	Chainsaw	1	17	247
O14990	Chainsaw	1	49	165
O00526	Chainsaw	1	44	136
O14901	Chainsaw	1	404	499
O14841	Chainsaw	6	8	89
O15403	Chainsaw	1	13	206
O15400	Chainsaw	1	11	205
O14776	Chainsaw	5	136	460
O14933	Chainsaw	1	1	147
O15209	Chainsaw	2	509	568
O14804	Chainsaw	1	31	331
O00254	Chainsaw	1	83	373
O15264	Chainsaw	2	3	112
O14817	Chainsaw	1	1	237
O15245	Chainsaw	3	4	44
O14514	Chainsaw	5	10	36
O15244	Chainsaw	3	5	45
O14981	Chainsaw	7	5	74
O00574	Chainsaw	1	7	306
O14544	Chainsaw	1	372	531
O14556	Chainsaw	2	77	221
O00743	Chainsaw	1	6	304
O15399	Chainsaw	4	49	165
O15173	Chainsaw	1	91	199
O15027	Chainsaw	1	1475	1840
O14653	Chainsaw	1	1	211
O00321	Chainsaw	1	243	320
O14842	Chainsaw	1	5	276
O15118	Chainsaw	5	613	861
O14593	Chainsaw	1	94	253
O15119	Chainsaw	1	104	303
O14813	Chainsaw	1	3	159
O15015	Chainsaw	2	48	233
O14558	Chainsaw	1	2	146
O14627	Chainsaw	1	158	241
O15499	Chainsaw	1	22	35
O15105	Chainsaw	2	5	22
O43861	Chainsaw	5	73	113
O43261	Chainsaw	1	4	68
O43823	Chainsaw	1	359	590
O60902	Chainsaw	1	149	329
O43435	Chainsaw	1	2	24
O60684	Chainsaw	1	24	503
O60287	Chainsaw	4	32	601
O60318	Chainsaw	4	338	436
O60755	Chainsaw	1	15	305
O60885	Chainsaw	1	61	177
O43674	Chainsaw	1	61	178
O43175	Chainsaw	3	8	100
O60518	Chainsaw	2	13	577
O60469	Chainsaw	11	1	121
O60566	Chainsaw	2	1	216
O15551	Chainsaw	1	3	182
O60404	Chainsaw	1	11	311
O43852	Chainsaw	2	45	105
O15537	Chainsaw	1	65	220
O43193	Chainsaw	2	35	181
O60488	Chainsaw	4	7	72
O60391	Chainsaw	5	1	152
O60293	Chainsaw	4	1400	1403
O60384	Chainsaw	1	53	97
O43448	Chainsaw	1	80	396
O43292	Chainsaw	2	7	42
O43653	Chainsaw	1	13	78
O43286	Chainsaw	1	134	382
O43715	Chainsaw	1	6	55
O60312	Chainsaw	4	24	83
O43889	Chainsaw	1	7	248
O43869	Chainsaw	1	26	343
O60225	Chainsaw	1	19	72
O60262	Chainsaw	1	1	56
O60333	Chainsaw	6	951	1206
O60486	Chainsaw	8	39	455
O60840	Chainsaw	6	70	235
O60359	Chainsaw	1	1	212
O43402	Chainsaw	1	4	209
O60479	Chainsaw	1	138	190
O43280	Chainsaw	3	37	97
O60243	Chainsaw	1	72	363
O60814	Chainsaw	1	38	125
O43521	Chainsaw	1	119	197
O60503	Chainsaw	3	98	310
O43399	Chainsaw	1	43	179
O43813	Chainsaw	1	15	391
O43808	Chainsaw	1	7	299
O60281	Chainsaw	3	1	518
O43424	Chainsaw	5	26	148
O43312	Chainsaw	1	1	249
O43818	Chainsaw	1	128	466
O60477	Chainsaw	5	3	74
O60493	Chainsaw	1	18	146
O60811	Chainsaw	1	13	15
O43897	Chainsaw	6	53	82
O60925	Chainsaw	1	4	121
O43927	Chainsaw	1	45	98
O43240	Chainsaw	1	47	275
O43921	Chainsaw	1	25	170
O43313	Chainsaw	1	68	220
O43914	Chainsaw	1	4	85
O60343	Chainsaw	4	34	196
O43306	Chainsaw	3	134	318
O60883	Chainsaw	1	125	424
O60721	Chainsaw	2	1	45
O60635	Chainsaw	1	1	239
O60336	Chainsaw	4	39	40
O60573	Chainsaw	1	55	222
O43248	Chainsaw	1	241	299
O43365	Chainsaw	1	157	254
O43257	Chainsaw	1	21	91
O43614	Chainsaw	1	53	370
O60542	Chainsaw	1	3	155
O60337	Chainsaw	4	22	71
O43278	Chainsaw	5	46	156
O43665	Chainsaw	1	34	162
O15524	Chainsaw	1	61	206
O15539	Chainsaw	1	55	180
O43247	Chainsaw	1	144	275
O43704	Chainsaw	1	4	286
O43820	Chainsaw	1	9	409
O43617	Chainsaw	1	16	170
O43345	Chainsaw	4	959	959
O60602	Chainsaw	1	693	837
O43426	Chainsaw	3	7	60
O60522	Chainsaw	6	2019	2075
O60431	Chainsaw	1	11	296
O43716	Chainsaw	1	34	68
O60299	Chainsaw	1	317	664
O60513	Chainsaw	1	98	324
O43423	Chainsaw	1	3	145
O43749	Chainsaw	1	11	311
O43173	Chainsaw	1	94	375
O60296	Chainsaw	1	43	376
O60248	Chainsaw	1	55	112
O43684	Chainsaw	1	6	320
O60258	Chainsaw	1	52	177
O43688	Chainsaw	1	3	243
O43680	Chainsaw	1	12	136
