accession	source	n_domains	datasets	groel_class	protein_length	length_n_domain	length_c_region	length_diff	net_charge_n_domain	net_charge_c_region	net_charge_diff	frac_hydrophobic_n_domain	frac_hydrophobic_c_region	frac_hydrophobic_diff	frac_helix_n_domain	frac_helix_c_region	frac_helix_diff	frac_strand_n_domain	frac_strand_c_region	frac_strand_diff	mean_plddt_n_domain	mean_plddt_c_region	mean_plddt_diff	frac_plddt_gt70_n_domain	frac_plddt_gt70_c_region	frac_plddt_gt70_diff	relative_contact_order_n_domain	relative_contact_order_c_region	relative_contact_order_diff	foldx_total_energy
P0CE49	Chainsaw	2	groel	II	326	115	205	-90	1	7	-6	0.391304347826087	0.375609756097561	0.0156945917285259	0.7043478260869566	0.4439024390243902	0.2604453870625663	0.0	0.2195121951219512	-0.2195121951219512	93.56408671503482	92.81536560058592	0.7487211144488839	1.0	1.0	0.0	0.3023501762632197	0.2350332594235033	0.0673169168397164	-62.94
P0CE50	Chainsaw	2	proteome_bg		326	115	205	-90	1	7	-6	0.391304347826087	0.375609756097561	0.0156945917285259	0.7043478260869566	0.4536585365853658	0.2506892895015907	0.0	0.2195121951219512	-0.2195121951219512	93.63808660092562	92.89887795797208	0.7392086429535283	0.991304347826087	0.9951219512195122	-0.0038176033934251	0.3032757593805837	0.2376417585831909	0.0656340007973927	-63.14
P0CE51	Chainsaw	2	proteome_bg		326	115	205	-90	1	7	-6	0.391304347826087	0.375609756097561	0.0156945917285259	0.7043478260869566	0.448780487804878	0.2555673382820785	0.0	0.2195121951219512	-0.2195121951219512	93.57878291917883	92.9894633967702	0.5893195224086298	0.991304347826087	0.9951219512195122	-0.0038176033934251	0.3032757593805837	0.2372576610381488	0.0660180983424348	-67.44
P0CE52	Chainsaw	2	proteome_bg		326	115	205	-90	1	7	-6	0.391304347826087	0.375609756097561	0.0156945917285259	0.7043478260869566	0.4585365853658537	0.2458112407211028	0.0	0.2195121951219512	-0.2195121951219512	93.80834785129711	93.0777559978206	0.7305918534765254	0.991304347826087	0.9951219512195122	-0.0038176033934251	0.3032757593805837	0.2365853658536585	0.0666903935269251	-66.8
P0CE53	Chainsaw	2	proteome_bg		326	115	205	-90	1	7	-6	0.391304347826087	0.375609756097561	0.0156945917285259	0.7043478260869566	0.4439024390243902	0.2604453870625663	0.0	0.2195121951219512	-0.2195121951219512	93.53504333496092	92.82039065477323	0.7146526801876831	0.991304347826087	0.9951219512195122	-0.0038176033934251	0.3032757593805837	0.2377695866990824	0.0655061726815013	-67.66
P0CE54	Chainsaw	2	proteome_bg		326	115	205	-90	1	7	-6	0.391304347826087	0.375609756097561	0.0156945917285259	0.7043478260869566	0.448780487804878	0.2555673382820785	0.0	0.2146341463414634	-0.2146341463414634	94.06191300101902	92.87970711312644	1.182205887892593	1.0	0.9951219512195122	0.0048780487804878	0.3023501762632197	0.2352268213235878	0.0671233549396319	-71.34
P0CE55	Chainsaw	2	proteome_bg		326	115	205	-90	1	7	-6	0.391304347826087	0.375609756097561	0.0156945917285259	0.7043478260869566	0.4585365853658537	0.2458112407211028	0.0	0.2195121951219512	-0.2195121951219512	93.5326086293096	93.18619507580269	0.3464135535069204	0.991304347826087	0.9951219512195122	-0.0038176033934251	0.3032757593805837	0.2365001935733643	0.0667755658072194	-63.57
P0CE56	Chainsaw	2	proteome_bg		326	115	205	-90	1	7	-6	0.391304347826087	0.375609756097561	0.0156945917285259	0.7043478260869566	0.4585365853658537	0.2458112407211028	0.0	0.2195121951219512	-0.2195121951219512	93.0026083904764	92.84814646651104	0.1544619239653428	0.991304347826087	0.9951219512195122	-0.0038176033934251	0.3032757593805837	0.2386384686631676	0.064637290717416	-64.21
P0CE57	Chainsaw	2	proteome_bg		326	115	205	-90	1	7	-6	0.391304347826087	0.375609756097561	0.0156945917285259	0.7043478260869566	0.4439024390243902	0.2604453870625663	0.0	0.2195121951219512	-0.2195121951219512	93.78391279137652	93.27985367193456	0.5040591194419761	0.991304347826087	1.0	-0.0086956521739129	0.2997584541062801	0.2372833503254646	0.0624751037808155	-66.04
P0CE58	Chainsaw	2	proteome_bg		326	115	205	-90	1	7	-6	0.391304347826087	0.375609756097561	0.0156945917285259	0.7043478260869566	0.4682926829268293	0.2360551431601272	0.0	0.2195121951219512	-0.2195121951219512	93.51600049889606	93.09209754757764	0.4239029513184107	0.991304347826087	0.9951219512195122	-0.0038176033934251	0.3032757593805837	0.2379592466810744	0.0653165126995093	-73.16
P0CF53	Chainsaw	3	proteome_bg		301	33	268	-235	5	4	1	0.5151515151515151	0.332089552238806	0.1830619629127091	0.8181818181818182	0.4738805970149253	0.3443012211668929	0.0	0.1417910447761194	-0.1417910447761194	85.50363621567234	86.69332100028423	-1.1896847846118843	0.9393939393939394	0.8544776119402985	0.0849163274536409	0.4175084175084175	0.1585535624629147	0.2589548550455027	-9.46
P0CF54	Chainsaw	3	proteome_bg		301	33	268	-235	5	4	1	0.5151515151515151	0.332089552238806	0.1830619629127091	0.8181818181818182	0.4477611940298507	0.3704206241519674	0.0	0.1417910447761194	-0.1417910447761194	86.72696986342922	86.85701495497975	-0.130045091550528	0.9696969696969696	0.8656716417910447	0.104025327905925	0.4175084175084175	0.1621098049575133	0.2553986125509042	-14.13
P0CF55	Chainsaw	3	proteome_bg		301	31	268	-237	6	4	2	0.5161290322580645	0.332089552238806	0.1840394800192585	0.8064516129032258	0.4738805970149253	0.3325710158883004	0.0	0.1417910447761194	-0.1417910447761194	85.29806469332787	87.0998878194325	-1.8018231261046225	1.0	0.8395522388059702	0.1604477611940298	0.4415322580645161	0.1602578425239074	0.2812744155406087	-25.06
P0CF56	Chainsaw	3	proteome_bg		301	33	268	-235	5	4	1	0.5151515151515151	0.332089552238806	0.1830619629127091	0.8181818181818182	0.4738805970149253	0.3443012211668929	0.0	0.1417910447761194	-0.1417910447761194	86.11242421468098	86.94772381569022	-0.8352996010092397	0.9393939393939394	0.8582089552238806	0.0811849841700588	0.4175084175084175	0.1575634099441443	0.2599450075642732	-17.82
P0CF57	Chainsaw	3	proteome_bg		301	33	268	-235	5	4	1	0.5151515151515151	0.332089552238806	0.1830619629127091	0.8181818181818182	0.4738805970149253	0.3443012211668929	0.0	0.1417910447761194	-0.1417910447761194	86.87969693270597	87.80350757712749	-0.923810644421522	0.9696969696969696	0.8694029850746269	0.1002939846223428	0.3957219251336898	0.1555744007236544	0.2401475244100353	-22.23
P0CF58	Chainsaw	3	proteome_bg		301	33	268	-235	5	4	1	0.5151515151515151	0.332089552238806	0.1830619629127091	0.8181818181818182	0.4738805970149253	0.3443012211668929	0.0	0.1417910447761194	-0.1417910447761194	86.16939348163027	87.44208955053074	-1.2726960689004727	0.9393939393939394	0.8619402985074627	0.0774536408864767	0.4175084175084175	0.1577679782903663	0.2597404392180512	-7.5
P0CF79	Chainsaw	3	proteome_bg		288	37	251	-214	6	15	-9	0.4054054054054054	0.350597609561753	0.0548077958436524	0.7837837837837838	0.450199203187251	0.3335845805965328	0.0	0.1513944223107569	-0.1513944223107569	91.09756717166384	91.14414338191666	-0.0465762102528088	1.0	0.9362549800796812	0.0637450199203187	0.3941441441441441	0.1764737297458957	0.2176704143982483	-19.65
P0CF80	Chainsaw	3	proteome_bg		288	37	251	-214	6	15	-9	0.4054054054054054	0.350597609561753	0.0548077958436524	0.7837837837837838	0.450199203187251	0.3335845805965328	0.0	0.1513944223107569	-0.1513944223107569	89.54729791589685	90.8726692351687	-1.325371319271852	1.0	0.9322709163346612	0.0677290836653387	0.3941441441441441	0.1766868695431041	0.21745727460104	-20.64
P0CF81	Chainsaw	3	proteome_bg		288	37	251	-214	6	15	-9	0.4054054054054054	0.350597609561753	0.0548077958436524	0.7837837837837838	0.450199203187251	0.3335845805965328	0.0	0.1513944223107569	-0.1513944223107569	92.1343243573163	91.21023892406448	0.9240854332518182	1.0	0.9362549800796812	0.0637450199203187	0.3941441441441441	0.1766516820418859	0.2174924621022582	-18.75
P0CF82	Chainsaw	3	proteome_bg		288	37	251	-214	6	15	-9	0.4054054054054054	0.350597609561753	0.0548077958436524	0.7837837837837838	0.450199203187251	0.3335845805965328	0.0	0.1513944223107569	-0.1513944223107569	90.67540534766944	91.59115538274148	-0.9157500350720368	1.0	0.9442231075697212	0.0557768924302788	0.3941441441441441	0.1775180445327443	0.2166260996113998	-16.56
P0CF83	Chainsaw	3	proteome_bg		288	37	251	-214	6	15	-9	0.4054054054054054	0.350597609561753	0.0548077958436524	0.7837837837837838	0.450199203187251	0.3335845805965328	0.0	0.1513944223107569	-0.1513944223107569	90.85810872670768	91.56816733310896	-0.7100586064013044	1.0	0.9482071713147412	0.0517928286852589	0.3941441441441441	0.1769802510388553	0.2171638931052888	-20.95
P0CF88	Chainsaw	4	proteome_bg		383	37	340	-303	-1	38	-39	0.4054054054054054	0.3058823529411765	0.0995230524642289	0.8378378378378378	0.4911764705882352	0.3466613672496025	0.0	0.0970588235294117	-0.0970588235294117	88.04945971514728	89.507529370925	-1.4580696557777202	1.0	0.9470588235294116	0.0529411764705882	0.3300142247510669	0.1502673796791443	0.1797468450719225	141.4
P0CF89	Chainsaw	4	proteome_bg		383	37	340	-303	-1	38	-39	0.4054054054054054	0.3058823529411765	0.0995230524642289	0.8378378378378378	0.4823529411764706	0.3554848966613672	0.0	0.0970588235294117	-0.0970588235294117	88.61270224081504	88.71050015056835	-0.0977979097533108	1.0	0.9382352941176472	0.0617647058823529	0.3300142247510669	0.1500899653979238	0.179924259353143	130.24
P0CF90	Chainsaw	4	proteome_bg		383	37	340	-303	-1	38	-39	0.4054054054054054	0.3058823529411765	0.0995230524642289	0.8378378378378378	0.488235294117647	0.3496025437201908	0.0	0.0911764705882352	-0.0911764705882352	86.98081062935493	88.66605872546926	-1.6852480961143217	1.0	0.9382352941176472	0.0617647058823529	0.3300142247510669	0.1493767507002801	0.1806374740507867	142.78
P0CF91	Chainsaw	2	proteome_bg		370	158	13	145	2	1	1	0.5063291139240507	0.1538461538461538	0.3524829600778968	0.7784810126582279	0.0	0.7784810126582279	0.0	0.0	0.0	89.22449367861205	46.71384605994592	42.51064761866613	0.9620253164556962	0.0	0.9620253164556962	0.8108047016274864			-48.42
P0CF92	Chainsaw	2	proteome_bg		370	159	12	147	2	2	0	0.5031446540880503	0.1666666666666666	0.3364779874213837	0.779874213836478	0.0	0.779874213836478	0.0	0.0	0.0	88.8856602074965	47.34333292643229	41.54232728106421	0.9433962264150944	0.0	0.9433962264150944	0.8242348008385745			-48.58
P0CF93	Chainsaw	2	proteome_bg		370	157	12	145	2	2	0	0.5095541401273885	0.1666666666666666	0.3428874734607219	0.7834394904458599	0.0	0.7834394904458599	0.0	0.0	0.0	88.53343973342021	45.57583332061768	42.95760641280253	0.9554140127388536	0.0	0.9554140127388536	0.8296178343949044			-44.13
P0CG19	Chainsaw	2	proteome_bg		228	145	81	64	4	-10	14	0.3724137931034483	0.419753086419753	-0.0473392933163047	0.3241379310344827	0.2098765432098765	0.1142613878246062	0.296551724137931	0.3703703703703703	-0.0738186462324393	96.77110332620556	92.4193827311198	4.351720595085752	1.0	0.9506172839506172	0.0493827160493827	0.3570578020342346	0.2737777777777777	0.0832800242564569	-17.27
P0CK95	Chainsaw	7	proteome_bg		1520	157	1295	-1138	-9	-40	31	0.3121019108280254	0.3328185328185328	-0.0207166219905073	0.3694267515923566	0.2733590733590733	0.0960676782332833	0.2802547770700637	0.2293436293436293	0.0509111477264343	75.93210222766658	84.99183775853926	-9.059735530872686	0.7388535031847133	0.8764478764478765	-0.1375943732631631	0.2136311107527748	0.0825016947154351	0.1311294160373397	510.12
P0DM85	Chainsaw	2	proteome_bg		742	419	323	96	-10	-12	2	0.4200477326968974	0.3746130030959752	0.0454347296009221	0.5727923627684964	0.8204334365325078	-0.2476410737640113	0.107398568019093	0.0	0.107398568019093	81.49119336622142	74.1832817774439	7.307911588777529	0.8210023866348448	0.7430340557275542	0.0779683309072906	0.2399145752068881	0.4626652019041912	-0.222750626697303	81.12
P0DMC5	Chainsaw	7	proteome_bg		949	71	608	-537	7	-14	21	0.6338028169014085	0.3898026315789473	0.2440001853224611	0.9859154929577464	0.4309210526315789	0.5549944403261675	0.0	0.21875	-0.21875	81.15338016563737	78.29963818976753	2.8537419758698377	0.9014084507042254	0.7894736842105263	0.111934766493699	4.166901408450705	0.0721001568882837	4.094801251562421	315.26
P0DMC7	Chainsaw	2	proteome_bg		216	131	82	49	-4	4	-8	0.4503816793893129	0.3780487804878049	0.072332898901508	0.4351145038167939	0.6707317073170732	-0.2356172035002793	0.2137404580152671	0.0	0.2137404580152671	92.99190806614534	82.54414600279273	10.447762063352611	1.0	0.7926829268292683	0.2073170731707316	0.209409864944216	0.364473078693051	-0.155063213748835	-51.44
P0DMC9	Chainsaw	2	proteome_bg		207	130	75	55	-3	9	-12	0.4076923076923077	0.36	0.0476923076923077	0.4846153846153846	0.6533333333333333	-0.1687179487179487	0.2153846153846154	0.08	0.1353846153846153	90.1631541618934	94.4037336730957	-4.240579511202299	0.9	0.9866666666666668	-0.0866666666666666	0.2137766188613646	0.4433939393939394	-0.2296173205325748	-55.16
P0DP22	Chainsaw	2	proteome_bg		186	88	59	29	-3	1	-4	0.4431818181818182	0.3389830508474576	0.1041987673343605	0.8068181818181818	0.711864406779661	0.0949537750385207	0.0	0.0	0.0	91.02784113450484	83.1555930315438	7.872248102961038	1.0	0.7796610169491526	0.2203389830508474	0.2820616883116883	0.3414043583535109	-0.0593426700418225	-12.35
P0DP89	Chainsaw	2	proteome_bg		327	161	164	-3	-7	-5	-2	0.453416149068323	0.4512195121951219	0.002196636873201	0.4968944099378882	0.3536585365853658	0.1432358733525223	0.1925465838509316	0.1707317073170731	0.0218148765338584	97.58453402311906	95.14615879989252	2.438375223226544	1.0	0.9634146341463414	0.0365853658536585	0.2599166170339488	0.2784906943146086	-0.0185740772806598	-29.75
P0DTT0	CATH	5	groel	II	607	198	409	-211	-14	-8	-6	0.4242424242424242	0.3496332518337408	0.0746091724086834	0.3939393939393939	0.1907090464547677	0.2032303474846262	0.2323232323232323	0.393643031784841	-0.1613197994616087	81.90186853119822	87.7453790025781	-5.843510471379886	0.797979797979798	0.9462102689486552	-0.1482304709688572	0.2462020737882806	0.122177232473656	0.1240248413146246	127.35
P10100	Chainsaw	2	proteome_bg		362	147	175	-28	-1	-1	0	0.3469387755102041	0.3371428571428571	0.0097959183673469	0.0884353741496598	0.1714285714285714	-0.0829931972789115	0.3877551020408163	0.1542857142857142	0.233469387755102	93.81401350060288	67.42828582763671	26.38572767296617	0.9727891156462584	0.4514285714285714	0.5213605442176871	0.3428412300592751	0.1874446680080482	0.1553965620512268	207.07
P10121	Chainsaw	2	proteome_bg		497	142	216	-74	-18	-3	-15	0.3943661971830985	0.449074074074074	-0.0547078768909755	0.6830985915492958	0.4583333333333333	0.2247652582159624	0.0140845070422535	0.1805555555555555	-0.166471048513302	72.90091552197093	93.33365738833392	-20.43274186636299	0.6197183098591549	0.9907407407407408	-0.3710224308815858	0.2035732916014606	0.261701749711342	-0.0581284581098814	362.07
P10151	Chainsaw	3	proteome_bg		314	81	215	-134	2	-8	10	0.4938271604938271	0.3813953488372093	0.1124318116566178	0.7283950617283951	0.3302325581395349	0.3981625035888602	0.0987654320987654	0.2744186046511628	-0.1756531725523973	90.6392593383789	93.07888371667195	-2.439624378293061	1.0	0.9906976744186048	0.0093023255813953	0.2878086419753086	0.2985417976115651	-0.0107331556362564	-31.27
P10378	Chainsaw	2	proteome_bg		536	419	108	311	-16	1	-17	0.3890214797136038	0.4166666666666667	-0.0276451869530628	0.3699284009546539	0.3333333333333333	0.0365950676213206	0.2482100238663484	0.3425925925925926	-0.0943825687262441	95.79116922346677	86.33944433706777	9.451724886398978	0.9880668257756564	0.9166666666666666	0.0714001591089896	0.1282357260877547	0.2346240179573513	-0.1063882918695965	-106.76
P10408	Chainsaw	5	proteome_bg		901	258	490	-232	-4	-13	9	0.4031007751937984	0.3714285714285714	0.031672203765227	0.6317829457364341	0.6448979591836734	-0.0131150134472393	0.1356589147286821	0.0673469387755102	0.0683119759531719	93.314263513846	82.72579581591548	10.588467697930511	0.9767441860465116	0.8367346938775511	0.1400094921689605	0.3732856290995825	0.1345024313665428	0.2387831977330397	211.76
P10442	Chainsaw	2	proteome_bg		198	133	54	79	0	1	-1	0.4586466165413533	0.4074074074074074	0.0512392091339459	0.4285714285714285	0.5370370370370371	-0.1084656084656085	0.2556390977443609	0.0185185185185185	0.2371205792258423	96.41315810124676	95.74685181511774	0.6663062861290285	1.0	0.9814814814814816	0.0185185185185184	0.3925957277299208	0.2178362573099415	0.1747594704199793	-44.74
P10443	Chainsaw	7	proteome_bg		1160	253	894	-641	-15	-28	13	0.4071146245059288	0.3937360178970917	0.0133786066088371	0.5059288537549407	0.5223713646532439	-0.0164425108983031	0.1620553359683794	0.1554809843400447	0.0065743516283347	95.53391308087134	86.92356828181802	8.610344799053323	1.0	0.95413870246085	0.0458612975391499	0.1698323361556582	0.0719310593301996	0.0979012768254586	175.93
P10515	CATH	4	hsp60,matrix_bg,mito_bg		647	106	455	-349	-7	-2	-5	0.3679245283018867	0.3978021978021978	-0.029877669500311	0.0566037735849056	0.2571428571428571	-0.2005390835579514	0.4622641509433962	0.2483516483516483	0.2139125025917478	74.65688689249866	77.61160430069808	-2.9547174081994143	0.7641509433962265	0.7516483516483516	0.0125025917478748	0.3152213352685051	0.1133890649228072	0.2018322703456978	523.54
P10805	Chainsaw	2	proteome_bg		253	142	110	32	2	10	-8	0.4295774647887324	0.3727272727272727	0.0568501920614596	0.352112676056338	0.7363636363636363	-0.3842509603072983	0.2535211267605634	0.0	0.2535211267605634	90.41852129009408	90.91763610839844	-0.4991148183043634	1.0	0.9636363636363636	0.0363636363636363	0.2873239436619718	0.2331872946330777	0.054136649028894	-62.69
P10809	CATH	3	matrix_bg,mito_bg		573	518	26	492	-8	-2	-6	0.4111969111969112	0.3076923076923077	0.1035046035046035	0.5386100386100386	0.0	0.5386100386100386	0.1776061776061776	0.0384615384615384	0.1391446391446391	92.06610041143352	50.70730781555176	41.35879259588175	0.9884169884169884	0.1538461538461538	0.8345708345708346	0.2751159466451217			141.87
P10902	Chainsaw	4	proteome_bg		540	203	128	75	-1	-1	0	0.3842364532019704	0.375	0.0092364532019704	0.334975369458128	0.5625	-0.2275246305418719	0.2906403940886699	0.0703125	0.2203278940886699	97.2512312264278	90.2682032585144	6.983027967913401	1.0	0.9140625	0.0859375	0.4886417439833983	0.274754213483146	0.2138875305002522	48.31
P10903	Chainsaw	2	proteome_bg		463	224	226	-2	3	9	-6	0.5267857142857143	0.5176991150442478	0.0090865992414664	0.7857142857142857	0.8451327433628318	-0.0594184576485461	0.0357142857142857	0.0088495575221238	0.0268647281921618	95.17691959653584	92.27053098762984	2.9063886089059707	1.0	0.9557522123893806	0.0442477876106194	0.3748092185592185	0.343350540806293	0.0314586777529254	-112.58
P10905	Chainsaw	2	proteome_bg		295	53	231	-178	-3	2	-5	0.5660377358490566	0.5411255411255411	0.0249121947235154	0.7358490566037735	0.8095238095238095	-0.073674752920036	0.1132075471698113	0.0	0.1132075471698113	87.02867875009213	90.28064942463136	-3.251970674539237	0.9433962264150944	0.9653679653679652	-0.0219717389528709	0.2195540308747856	0.288857753588044	-0.0693037227132584	-31.08
P10906	Chainsaw	2	proteome_bg		281	59	217	-158	-1	-1	0	0.5932203389830508	0.5668202764976958	0.0264000624853549	0.7966101694915254	0.7788018433179723	0.0178083261735531	0.0	0.0	0.0	93.433389825336	91.46248834144136	1.97090148389465	1.0	0.9585253456221198	0.0414746543778802	0.2723553477498539	0.3629202515266395	-0.0905649037767856	-34.86
P10907	Chainsaw	2	proteome_bg		356	233	122	111	4	-4	8	0.4206008583690987	0.3688524590163934	0.0517483993527052	0.3862660944206008	0.0737704918032786	0.3124956026173221	0.2618025751072961	0.5245901639344263	-0.2627875888271301	94.5078968817584	95.33647549738647	-0.8285786156280892	0.9957081545064378	1.0	-0.0042918454935622	0.2820241541071963	0.2687531048186786	0.0132710492885177	-79.43
P11071	Chainsaw	4	proteome_bg		578	110	467	-357	-1	-10	9	0.4	0.3982869379014989	0.001713062098501	0.9090909090909092	0.4047109207708779	0.5043799883200311	0.0	0.2077087794432548	-0.2077087794432548	93.86372756958008	94.53907929447018	-0.6753517248901062	0.990909090909091	0.9807280513918628	0.010181039517228	0.4369230769230769	0.1121023477669927	0.3248207291560841	45.41
P11072	Chainsaw	3	proteome_bg		297	62	232	-170	0	-9	9	0.3709677419354839	0.3663793103448275	0.0045884315906563	0.5	0.6681034482758621	-0.1681034482758621	0.3064516129032258	0.0	0.3064516129032258	95.16129032258064	88.79969817194446	6.361592150636184	1.0	0.9224137931034484	0.0775862068965517	0.2912713472485768	0.1782168980444842	0.1130544492040925	11.97
P11177	CATH	2	hsp60,matrix_bg,mito_bg		359	193	135	58	-6	-2	-4	0.4093264248704663	0.4296296296296296	-0.0203032047591633	0.4196891191709844	0.437037037037037	-0.0173479178660526	0.1761658031088082	0.1925925925925926	-0.0164267894837843	98.58129483554028	98.7356288768627	-0.1543340413224143	1.0	1.0	0.0	0.2574571142883115	0.2690705800139762	-0.0116134657256647	13.25
P11182	CATH	3	matrix_bg,mito_bg		482	92	330	-238	-9	7	-16	0.3369565217391304	0.396969696969697	-0.0600131752305665	0.0	0.3727272727272727	-0.3727272727272727	0.5217391304347826	0.1969696969696969	0.3247694334650856	82.70902181708294	85.6428787578236	-2.933856940740654	0.8478260869565217	0.8393939393939394	0.0084321475625823	0.3774861239592969	0.1862590267935479	0.1912270971657489	327.63
P11290	Chainsaw	2	proteome_bg		344	214	127	87	-7	17	-24	0.3925233644859813	0.3464566929133858	0.0460666715725954	0.3785046728971962	0.7401574803149606	-0.3616528074177644	0.2710280373831775	0.0	0.2710280373831775	97.10042030120565	90.80141746340774	6.2990028377979	1.0	0.952755905511811	0.047244094488189	0.2673833811821717	0.2840761409678159	-0.0166927597856442	-94.44
P11291	Chainsaw	2	proteome_bg		161	58	94	-36	-2	3	-5	0.5517241379310345	0.351063829787234	0.2006603081438004	0.6896551724137931	0.0851063829787234	0.6045487894350697	0.0689655172413793	0.5	-0.4310344827586206	44.97689638466671	41.06829787315206	3.908598511514647	0.0	0.0	0.0	0.1724137931034483	0.3060075093867334	-0.1335937162832851	81.65
P11310	CATH	3	matrix_bg,mito_bg		421	130	266	-136	-4	4	-8	0.3461538461538461	0.3984962406015037	-0.0523423944476575	0.676923076923077	0.4962406015037593	0.1806824754193176	0.0	0.2330827067669172	-0.2330827067669172	94.36453807537372	98.13063871053824	-3.76610063516452	0.9307692307692308	0.9962406015037594	-0.0654713707345285	0.2684210526315789	0.1639036114877357	0.1045174411438432	86.16
P11349	Chainsaw	2	proteome_bg		512	305	165	140	-2	-2	0	0.3344262295081967	0.3636363636363636	-0.0292101341281669	0.3540983606557377	0.4	-0.0459016393442623	0.1704918032786885	0.0545454545454545	0.1159463487332339	98.47586830014087	94.16127259225556	4.314595707885317	1.0	0.9818181818181818	0.0181818181818181	0.3338776551636155	0.1221818181818181	0.2116958369817973	188.75
P11446	Chainsaw	2	proteome_bg		334	166	9	157	-8	-1	-7	0.4337349397590361	0.3333333333333333	0.1004016064257028	0.3855421686746988	0.0	0.3855421686746988	0.1987951807228915	0.0	0.1987951807228915	98.27801168970316	98.32666609022353	-0.0486544005203768	1.0	1.0	0.0	0.307173479192845			-65.76
P11447	Chainsaw	3	proteome_bg		457	90	354	-264	-5	-11	6	0.4222222222222222	0.4124293785310734	0.0097928436911488	0.8555555555555555	0.6581920903954802	0.1973634651600753	0.0	0.0706214689265536	-0.0706214689265536	96.83922170003255	96.19070624227578	0.6485154577567727	1.0	1.0	0.0	0.4198611111111111	0.2075002882508936	0.2123608228602175	47.63
P11454	Chainsaw	6	proteome_bg		1293	174	1115	-941	-11	-35	24	0.4482758620689655	0.420627802690583	0.0276480593783825	0.3850574712643678	0.3901345291479821	-0.0050770578836142	0.2586206896551724	0.2161434977578475	0.0424771918973249	92.68718399398628	87.5428519963149	5.144331997671387	1.0	0.9103139013452914	0.0896860986547085	0.3367486338797814	0.0638343995069389	0.2729142343728424	73.35
P11498	CATH	4	hsp60,matrix_bg,mito_bg		1178	464	688	-224	-5	-12	7	0.3857758620689655	0.4026162790697674	-0.0168404170008019	0.3793103448275862	0.4433139534883721	-0.0640036086607859	0.2521551724137931	0.1845930232558139	0.0675621491579791	91.37812512085355	92.00011631499888	-0.6219911941453375	0.9676724137931034	0.9811046511627908	-0.0134322373696872	0.1395770419271016	0.1455602337848968	-0.0059831918577952	189.83
P11551	Chainsaw	2	proteome_bg		438	212	203	9	0	6	-6	0.5566037735849056	0.4975369458128079	0.0590668277720977	0.8867924528301887	0.8472906403940886	0.0395018124361	0.0047169811320754	0.0	0.0047169811320754	88.33066035216709	92.07078824724468	-3.740127895077606	0.9528301886792452	0.9310344827586208	0.0217957059206246	0.3829711010269883	0.3899128959645059	-0.0069417949375176	-123.89
P11553	Chainsaw	2	proteome_bg		472	247	223	24	-1	-11	10	0.437246963562753	0.4035874439461883	0.0336595196165647	0.3967611336032389	0.42152466367713	-0.0247635300738911	0.3036437246963562	0.2017937219730941	0.101850002723262	97.93259087072212	93.82914809154288	4.1034427791792325	1.0	0.9596412556053812	0.0403587443946188	0.206085428239651	0.2092076014750665	-0.0031221732354154	-98.65
P11864	Chainsaw	2	proteome_bg		395	95	254	-159	-2	-25	23	0.3578947368421052	0.326771653543307	0.0311230832987982	0.3684210526315789	0.405511811023622	-0.0370907583920431	0.2736842105263158	0.0393700787401574	0.2343141317861583	43.07347373962402	59.82704720534677	-16.753573465722752	0.0	0.3661417322834646	-0.3661417322834646	0.2734671730873576	0.1072172592775679	0.1662499138097896	244.97
P11868	Chainsaw	2	proteome_bg		402	158	6	152	-10	-1	-9	0.4367088607594936	0.6666666666666666	-0.2299578059071729	0.4177215189873418	0.0	0.4177215189873418	0.2911392405063291	0.0	0.2911392405063291	95.1838611409634	35.08166694641113	60.10219419455227	0.9873417721518988	0.0	0.9873417721518988	0.431716589380457			-36.93
P11875	Chainsaw	4	proteome_bg		577	97	478	-381	-1	-18	17	0.4845360824742268	0.3974895397489539	0.0870465427252728	0.5154639175257731	0.5941422594142259	-0.0786783418884528	0.1958762886597938	0.1213389121338912	0.0745373765259026	95.57855649338556	93.79171548627907	1.7868410071064602	1.0	0.9853556485355648	0.0146443514644351	0.2696219931271477	0.1715600888298286	0.0980619042973191	7.52
P11880	Chainsaw	3	proteome_bg		452	90	359	-269	-5	-7	2	0.4555555555555555	0.4456824512534819	0.0098731043020736	0.3333333333333333	0.4289693593314763	-0.095636025998143	0.2555555555555555	0.245125348189415	0.0104302073661405	96.2639998541938	95.06222823204104	1.201771622152762	1.0	0.9888579387186628	0.0111420612813371	0.2946031746031746	0.1478103967931292	0.1467927778100453	-106.99
P11989	Chainsaw	3	proteome_bg		278	64	212	-148	1	-3	4	0.359375	0.4245283018867924	-0.0651533018867924	0.234375	0.7924528301886793	-0.5580778301886793	0.40625	0.0	0.40625	87.51468741893768	93.78080141319418	-6.2661139942565	1.0	0.9716981132075472	0.0283018867924528	0.3466796875	0.177376720444809	0.1693029670551909	-99.41
P12008	Chainsaw	2	proteome_bg		361	143	214	-71	1	-7	8	0.3006993006993007	0.4065420560747663	-0.1058427553754656	0.3286713286713286	0.308411214953271	0.0202601137180576	0.2237762237762237	0.2289719626168224	-0.0051957388405986	92.76741267917872	95.94761671975394	-3.180204040575205	1.0	1.0	0.0	0.3161410018552875	0.2702127141744548	0.0459282876808326	3.42
