uniprot_accession	protein_length	n_domains	is_single_domain	pre_domain_start	pre_domain_end	pre_domain_length	n_domain_start	n_domain_end	n_domain_length	c_region_start	c_region_end	c_region_length	source_dataset
P30177	320	2	False	0	0	0	1	72	72	73	320	248	groel
P30405	207	1	True	1	35	35	36	207	172	0	0	0	hsp60,matrix,mito
P30536	169	1	True	1	1	1	2	160	159	161	169	9	mito
P30745	329	1	True	0	0	0	1	329	329	0	0	0	groel
P30837	517	2	False	1	50	50	51	508	458	509	517	9	hsp60,matrix,mito
P31040	664	4	False	1	62	62	63	468	406	469	664	196	hsp60,mito
P31057	264	1	True	0	0	0	1	263	263	264	264	1	groel
P31327	1500	9	False	1	42	42	43	197	155	198	1500	1303	matrix,mito
P31666	409	1	True	1	160	160	161	404	244	405	409	5	groel
P31930	480	2	False	1	27	27	28	252	225	253	480	228	hsp60,mito
P31937	336	2	False	1	34	34	35	201	167	202	336	135	matrix,mito
P31979	445	4	False	1	4	4	5	58	54	59	445	387	groel
P32119	198	1	True	1	1	1	2	198	197	0	0	0	mito
P32322	319	2	False	0	0	0	1	166	166	167	319	153	matrix,mito
P32677	283	2	False	1	166	166	167	218	52	219	283	65	groel
P32695	345	2	False	1	24	24	25	266	242	267	345	79	groel
P33121	698	1	True	1	83	83	84	555	472	556	698	143	mito
P33232	396	1	True	1	2	2	3	380	378	381	396	16	groel
P33316	252	1	True	1	104	104	105	251	147	252	252	1	matrix,mito
P33371	315	2	False	0	0	0	1	242	242	243	315	73	groel
P33599	596	2	False	1	4	4	5	153	149	154	596	443	groel
P33667	364	1	True	1	4	4	5	134	130	135	364	230	groel
P33897	745	1	True	1	462	462	463	710	248	711	745	35	mito
P34897	504	2	False	1	52	52	53	499	447	500	504	5	hsp60,matrix,mito
P34913	555	3	False	1	4	4	5	214	210	215	555	341	mito
P35218	305	1	True	1	33	33	34	304	271	305	305	1	matrix,mito
P35232	272	1	True	1	54	54	55	189	135	190	272	83	hsp60,mito
P35270	261	1	True	1	5	5	6	261	256	0	0	0	mito
P35914	325	1	True	1	25	25	26	324	299	325	325	1	matrix,mito
P36404	184	1	True	1	3	3	4	183	180	184	184	1	hsp60,mito
P36542	298	2	False	1	28	28	29	294	266	295	298	4	hsp60,mito
P36548	289	1	True	1	44	44	45	278	234	279	289	11	groel
P36551	454	1	True	1	109	109	110	454	345	0	0	0	hsp60,mito
P36776	959	6	False	1	118	118	119	229	111	230	959	730	hsp60,matrix,mito
P36928	450	3	False	0	0	0	1	228	228	229	450	222	groel
P36957	453	2	False	1	66	66	67	168	102	169	453	285	hsp60,matrix,mito
P36969	197	1	True	1	26	26	27	197	171	0	0	0	mito
P37326	385	3	False	0	0	0	1	84	84	85	385	301	groel
P37339	422	2	False	1	2	2	3	386	384	387	422	36	groel
P37685	512	2	False	1	30	30	31	498	468	499	512	14	groel
P37745	185	1	True	0	0	0	1	184	184	185	185	1	groel
P37765	291	2	False	0	0	0	1	61	61	62	291	230	groel
P38104	404	2	False	1	7	7	8	400	393	401	404	4	groel
P38117	255	1	True	0	0	0	1	255	255	0	0	0	hsp60,matrix,mito
P38646	679	6	False	1	55	55	56	423	368	424	679	256	matrix,mito
P39177	142	1	True	0	0	0	1	142	142	0	0	0	groel
P39406	343	2	False	0	0	0	1	158	158	159	343	185	groel
P39407	357	2	False	1	16	16	17	111	95	112	357	246	groel
P39408	259	1	True	0	0	0	1	259	259	0	0	0	groel
P40305	122	1	True	1	30	30	31	114	84	115	122	8	mito
P40926	338	2	False	1	22	22	23	169	147	170	338	169	hsp60,matrix,mito
P40939	763	3	False	1	38	38	39	359	321	360	763	404	hsp60,mito
P41250	739	5	False	1	65	65	66	110	45	111	739	629	matrix,mito
P42126	302	2	False	1	41	41	42	246	205	247	302	56	hsp60,matrix,mito
P42574	277	1	True	1	28	28	29	277	249	0	0	0	mito
P42596	378	2	False	1	7	7	8	182	175	183	378	196	groel
P42704	1394	4	False	1	135	135	136	330	195	331	1394	1064	hsp60,matrix,mito
P42765	397	2	False	1	6	6	7	279	273	280	397	118	hsp60,matrix,mito
P43155	626	2	False	1	34	34	35	615	581	616	626	11	mito
P43304	727	4	False	1	67	67	68	442	375	443	727	285	mito
P43329	1300	3	False	1	27	27	28	252	225	253	1300	1048	groel
P43897	325	3	False	1	42	42	43	102	60	103	325	223	hsp60,matrix,mito
P45577	232	1	True	0	0	0	1	119	119	120	232	113	groel
P45578	171	1	True	0	0	0	1	171	171	0	0	0	groel
P45880	294	1	True	1	1	1	2	294	293	0	0	0	mito
P45954	432	3	False	1	50	50	51	171	121	172	432	261	matrix,mito
P46199	727	4	False	1	175	175	176	350	175	351	727	377	matrix,mito
P47985	274	3	False	0	0	0	1	78	78	79	274	196	hsp60,mito
P48047	213	1	True	1	35	35	36	129	94	130	213	84	hsp60,mito
P48201	142	1	True	1	68	68	69	140	72	141	142	2	mito
P48728	403	4	False	1	33	33	34	268	235	269	403	135	matrix,mito
P48735	452	1	True	1	40	40	41	451	411	452	452	1	hsp60,matrix,mito
P49189	494	2	False	1	29	29	30	483	454	484	494	11	hsp60,matrix,mito
P49247	311	2	False	1	81	81	82	301	220	302	311	10	matrix,mito
P49327	2511	10	False	0	0	0	1	406	406	407	2511	2105	mito
P49406	292	1	True	1	83	83	84	205	122	206	292	87	hsp60,matrix,mito
P49411	455	3	False	1	57	57	58	253	196	254	455	202	hsp60,matrix,mito
P49419	539	2	False	1	62	62	63	517	455	518	539	22	hsp60,matrix,mito
P49448	558	3	False	1	53	53	54	113	60	114	558	445	matrix,mito
P49590	506	2	False	1	44	44	45	405	361	406	506	101	hsp60,matrix,mito
P49675	285	1	True	1	64	64	65	284	220	285	285	1	mito
P49748	655	4	False	1	90	90	91	211	121	212	655	444	hsp60,mito
P49753	483	2	False	1	45	45	46	192	147	193	483	291	matrix,mito
P49773	126	1	True	0	0	0	1	126	126	0	0	0	mito
P49789	147	1	True	0	0	0	1	147	147	0	0	0	matrix,mito
P49821	464	3	False	1	84	84	85	264	180	265	464	200	hsp60,mito
P49914	203	1	True	0	0	0	1	203	203	0	0	0	matrix,mito
P49916	1009	6	False	1	90	90	91	186	96	187	1009	823	matrix,mito
P50213	366	1	True	1	27	27	28	366	339	0	0	0	hsp60,matrix,mito
P50336	477	1	True	0	0	0	1	477	477	0	0	0	hsp60,mito
P50416	773	3	False	0	0	0	1	49	49	50	773	724	mito
P50440	423	1	True	1	63	63	64	423	360	0	0	0	matrix,mito
P50583	147	1	True	0	0	0	1	146	146	147	147	1	matrix,mito
P51530	1060	3	False	1	124	124	125	403	279	404	1060	657	matrix,mito
P51553	393	1	True	1	39	39	40	393	354	0	0	0	hsp60,matrix,mito
P51648	485	2	False	1	8	8	9	423	415	424	485	62	mito
P51649	535	2	False	1	73	73	74	524	451	525	535	11	hsp60,matrix,mito
P51659	736	5	False	1	1	1	2	249	248	250	736	487	mito
P51687	545	3	False	1	79	79	80	166	87	167	545	379	mito
P52758	137	1	True	1	1	1	2	137	136	0	0	0	matrix,mito
P52815	198	2	False	1	62	62	63	120	58	121	198	78	matrix,mito
P53007	311	1	True	1	26	26	27	310	284	311	311	1	mito
P53370	316	3	False	1	42	42	43	134	92	135	316	182	matrix,mito
P53396	1101	5	False	0	0	0	1	236	236	237	1101	865	matrix,mito
P53597	346	2	False	1	43	43	44	168	125	169	346	178	hsp60,matrix,mito
P54098	1239	5	False	1	133	133	134	340	207	341	1239	899	hsp60,matrix,mito
P54819	239	1	True	0	0	0	1	239	239	0	0	0	hsp60,mito
P54868	508	1	True	1	48	48	49	508	460	0	0	0	matrix,mito
P54886	795	3	False	1	59	59	60	358	299	359	795	437	hsp60,matrix,mito
P55084	474	1	True	1	43	43	44	471	428	472	474	3	hsp60,mito
P55211	416	2	False	0	0	0	1	105	105	106	416	311	mito
P55789	205	1	True	1	80	80	81	205	125	0	0	0	mito
P55809	520	2	False	1	39	39	40	272	233	273	520	248	matrix,mito
P55851	309	1	True	1	12	12	13	307	295	308	309	2	mito
P55916	312	1	True	1	12	12	13	310	298	311	312	2	mito
P55957	195	1	True	0	0	0	1	195	195	0	0	0	mito
P56277	68	1	True	0	0	0	1	68	68	0	0	0	mito
P56381	51	1	True	1	1	1	2	51	50	0	0	0	mito
P56962	302	1	True	1	157	157	158	228	71	229	302	74	mito
P57105	145	1	True	0	0	0	1	112	112	113	145	33	mito
P58557	167	1	True	1	8	8	9	157	149	158	167	10	matrix,mito
P60716	321	1	True	1	81	81	82	298	217	299	321	23	groel
P61517	220	1	True	0	0	0	1	220	220	0	0	0	groel
P61604	102	1	True	0	0	0	1	102	102	0	0	0	matrix,mito
P62072	90	1	True	0	0	0	1	90	90	0	0	0	mito
P62244	130	2	False	0	0	0	1	69	69	70	130	61	hsp60
P62269	152	2	False	0	0	0	1	80	80	81	152	72	hsp60
P62593	286	1	True	1	24	24	25	286	262	0	0	0	groel
P62707	250	1	True	1	1	1	2	250	249	0	0	0	groel
P63020	191	2	False	0	0	0	1	98	98	99	191	93	groel
P64530	90	1	True	0	0	0	1	90	90	0	0	0	groel
P64588	207	1	True	1	51	51	52	154	103	155	207	53	groel
P68767	503	2	False	0	0	0	1	180	180	181	503	323	groel
P69408	216	2	False	0	0	0	1	147	147	148	216	69	groel
P69776	78	1	True	1	21	21	22	77	56	78	78	1	groel
P69783	169	1	True	1	8	8	9	169	161	0	0	0	groel
P69908	466	3	False	0	0	0	1	65	65	66	466	401	groel
P75736	254	1	True	0	0	0	1	253	253	254	254	1	groel
P75821	337	1	True	0	0	0	1	335	335	336	337	2	groel
P75823	333	2	False	0	0	0	1	244	244	245	333	89	groel
P75849	215	1	True	0	0	0	1	210	210	211	215	5	groel
P75864	702	4	False	1	5	5	6	246	241	247	702	456	groel
P75949	341	1	True	0	0	0	1	341	341	0	0	0	groel
P76085	437	2	False	0	0	0	1	327	327	328	437	110	groel
P76116	353	1	True	1	30	30	31	353	323	0	0	0	groel
P76143	291	1	True	0	0	0	1	291	291	0	0	0	groel
P76187	298	1	True	0	0	0	1	298	298	0	0	0	groel
P76250	307	2	False	1	5	5	6	90	85	91	307	217	groel
P76344	216	1	True	1	23	23	24	216	193	0	0	0	groel
P76550	269	1	True	1	21	21	22	82	61	83	269	187	groel
P77333	299	2	False	1	4	4	5	91	87	92	299	208	groel
P77395	284	3	False	0	0	0	1	112	112	113	284	172	groel
P77444	406	2	False	1	9	9	10	396	387	397	406	10	groel
P77475	188	2	False	1	7	7	8	183	176	184	188	5	groel
P77581	406	2	False	1	26	26	27	389	363	390	406	17	groel
P77730	468	3	False	1	1	1	2	97	96	98	468	371	groel
P77735	324	1	True	0	0	0	1	322	322	323	324	2	groel
P77739	286	2	False	0	0	0	1	92	92	93	286	194	groel
P78540	354	1	True	1	20	20	21	341	321	342	354	13	matrix,mito
P78549	304	2	False	1	111	111	112	220	109	221	304	84	mito
P80404	500	2	False	1	47	47	48	489	442	490	500	11	matrix,mito
P82663	173	1	True	1	8	8	9	127	119	128	173	46	hsp60,matrix,mito
P82664	201	1	True	1	73	73	74	176	103	177	201	25	matrix,mito
P82675	430	2	False	1	211	211	212	279	68	280	430	151	hsp60,matrix,mito
P82912	194	1	True	1	58	58	59	194	136	0	0	0	matrix,mito
P82914	257	1	True	1	97	97	98	188	91	189	257	69	hsp60,matrix,mito
P82921	87	1	True	1	23	23	24	59	36	60	87	28	matrix,mito
P82932	125	1	True	0	0	0	1	124	124	125	125	1	hsp60,matrix,mito
P82933	396	1	True	1	261	261	262	396	135	0	0	0	hsp60,matrix,mito
P83111	547	2	False	1	111	111	112	257	146	258	547	290	mito
P84085	180	1	True	1	6	6	7	180	174	0	0	0	mito
P86397	168	1	True	1	21	21	22	168	147	0	0	0	matrix,mito
P99999	105	1	True	0	0	0	1	105	105	0	0	0	mito
Q00059	246	2	False	1	42	42	43	151	109	152	246	95	matrix,mito
Q00325	362	1	True	1	65	65	66	340	275	341	362	22	mito
Q02127	395	1	True	1	31	31	32	395	364	0	0	0	mito
Q02218	1023	4	False	1	119	119	120	216	97	217	1023	807	hsp60,matrix,mito
Q02221	97	1	True	1	12	12	13	97	85	0	0	0	mito
Q02252	535	2	False	1	43	43	44	493	450	494	535	42	mito
Q02318	531	1	True	1	49	49	50	530	481	531	531	1	mito
Q02338	343	1	True	1	54	54	55	330	276	331	343	13	mito
Q02978	314	1	True	1	20	20	21	310	290	311	314	4	mito
Q04837	148	1	True	1	16	16	17	148	132	0	0	0	hsp60,matrix,mito
Q05932	587	2	False	1	38	38	39	326	288	327	587	261	matrix,mito
Q06055	141	1	True	1	67	67	68	139	72	140	141	2	mito
Q07021	282	1	True	1	73	73	74	282	209	0	0	0	hsp60,matrix,mito
Q07812	192	1	True	0	0	0	1	167	167	168	192	25	mito
Q07817	233	1	True	0	0	0	1	209	209	210	233	24	mito
Q07820	350	1	True	1	169	169	170	319	150	320	350	31	mito
Q07973	514	1	True	1	51	51	52	514	463	0	0	0	mito
Q08257	329	2	False	1	14	14	15	325	311	326	329	4	matrix,mito
Q08426	723	3	False	0	0	0	1	280	280	281	723	443	mito
Q08AE8	756	1	True	1	33	33	34	236	203	237	756	520	mito
Q08AH1	577	2	False	1	38	38	39	469	431	470	577	108	matrix,mito
Q08AH3	577	2	False	1	33	33	34	465	432	466	577	112	matrix,mito
Q08J23	767	1	True	1	39	39	40	429	390	430	767	338	matrix,mito
Q09013	629	3	False	1	18	18	19	369	351	370	629	260	mito
Q10713	525	2	False	1	56	56	57	273	217	274	525	252	hsp60,matrix,mito
Q12849	480	3	False	1	138	138	139	236	98	237	480	244	hsp60,matrix,mito
Q12887	443	1	True	1	159	159	160	330	171	331	443	113	mito
Q12931	704	4	False	1	81	81	82	294	213	295	704	410	matrix,mito
Q12983	194	1	True	1	158	158	159	190	32	191	194	4	mito
Q13011	328	2	False	1	49	49	50	265	216	266	328	63	hsp60,matrix,mito
Q13057	564	2	False	1	194	194	195	344	150	345	564	220	matrix,mito
Q13084	256	1	True	1	86	86	87	151	65	152	256	105	matrix,mito
Q13085	2346	8	False	1	82	82	83	242	160	243	2346	2104	matrix,mito
Q13162	271	1	True	1	73	73	74	271	198	0	0	0	hsp60,mito
Q13232	169	1	True	1	19	19	20	169	150	0	0	0	mito
Q13268	280	1	True	1	23	23	24	277	254	278	280	3	matrix,mito
Q13405	166	1	True	1	33	33	34	166	133	0	0	0	hsp60,matrix,mito
Q13423	1086	3	False	1	59	59	60	413	354	414	1086	673	mito
Q13472	1001	5	False	1	20	20	21	196	176	197	1001	805	matrix,mito
Q13505	466	1	True	1	291	291	292	387	96	388	466	79	mito
Q13686	389	1	True	1	113	113	114	347	234	348	389	42	matrix,mito
Q13825	339	2	False	1	67	67	68	279	212	280	339	60	matrix,mito
Q13907	227	1	True	0	0	0	1	227	227	0	0	0	matrix,mito
Q14061	63	1	True	0	0	0	1	63	63	0	0	0	mito
Q14154	515	1	True	1	246	246	247	445	199	446	515	70	mito
Q14197	206	1	True	1	65	65	66	205	140	206	206	1	hsp60,matrix,mito
Q14249	297	1	True	1	58	58	59	287	229	288	297	10	mito
Q14318	412	2	False	1	57	57	58	205	148	206	412	207	mito
Q14596	966	4	False	1	2	2	3	85	83	86	966	881	mito
Q14790	479	3	False	0	0	0	1	97	97	98	479	382	mito
Q15031	903	4	False	1	56	56	57	80	24	81	903	823	matrix,mito
Q15046	597	2	False	1	72	72	73	215	143	216	597	382	matrix,mito
Q15118	436	2	False	1	29	29	30	214	185	215	436	222	hsp60,matrix,mito
Q15119	407	2	False	1	14	14	15	186	172	187	407	221	hsp60,matrix,mito
Q15120	406	2	False	1	6	6	7	182	176	183	406	224	hsp60,matrix,mito
Q15388	145	1	True	1	50	50	51	145	95	0	0	0	mito
Q15785	309	2	False	1	5	5	6	135	130	136	309	174	mito
Q16134	617	3	False	1	66	66	67	451	385	452	617	166	mito
Q16526	586	4	False	0	0	0	1	129	129	130	586	457	mito
Q16540	153	1	True	0	0	0	1	153	153	0	0	0	hsp60,matrix,mito
Q16548	175	1	True	0	0	0	1	151	151	152	175	24	mito
Q16595	210	1	True	1	81	81	82	210	129	0	0	0	matrix,mito
Q16611	211	1	True	1	15	15	16	186	171	187	211	25	mito
Q16654	411	2	False	1	17	17	18	189	172	190	411	222	mito
Q16698	335	1	True	1	33	33	34	335	302	0	0	0	matrix,mito
Q16740	277	1	True	1	56	56	57	261	205	262	277	16	hsp60,matrix,mito
Q16762	297	2	False	1	1	1	2	157	156	158	297	140	hsp60,matrix,mito
Q16774	197	1	True	0	0	0	1	195	195	196	197	2	matrix,mito
Q16775	308	1	True	1	48	48	49	308	260	0	0	0	hsp60,matrix,mito
Q16795	377	1	True	1	47	47	48	265	218	266	377	112	hsp60,mito
Q16798	604	2	False	1	47	47	48	302	255	303	604	302	matrix,mito
Q16822	640	3	False	1	46	46	47	285	239	286	640	355	hsp60,matrix,mito
Q16836	314	2	False	1	12	12	13	217	205	218	314	97	hsp60,matrix,mito
Q16854	277	1	True	1	36	36	37	277	241	0	0	0	matrix,mito
Q16881	649	4	False	1	51	51	52	157	106	158	649	492	mito
Q32NB8	556	2	False	1	93	93	94	310	217	311	556	246	mito
Q32P41	509	2	False	1	181	181	182	259	78	260	509	250	matrix,mito
Q330K2	333	1	True	1	56	56	57	309	253	310	333	24	mito
Q3KQZ1	300	1	True	0	0	0	1	299	299	300	300	1	mito
Q3SXM5	330	1	True	1	60	60	61	287	227	288	330	43	mito
Q3SY17	297	1	True	1	30	30	31	297	267	0	0	0	mito
Q3SY69	923	5	False	1	22	22	23	227	205	228	923	696	matrix,mito
Q3ZCQ8	353	1	True	1	132	132	133	317	185	318	353	36	mito
Q46851	346	1	True	1	14	14	15	346	332	0	0	0	groel
Q49AM1	385	1	True	1	139	139	140	371	232	372	385	14	matrix,mito
Q4G0N4	442	2	False	1	67	67	68	236	169	237	442	206	hsp60,matrix,mito
Q4G176	576	2	False	1	47	47	48	471	424	472	576	105	hsp60,matrix,mito
Q4J6C6	727	2	False	1	84	84	85	698	614	699	727	29	matrix,mito
Q53FZ2	586	2	False	1	49	49	50	478	429	479	586	108	matrix,mito
Q53H12	422	1	True	1	51	51	52	190	139	191	422	232	mito
Q53H82	288	2	False	0	0	0	1	204	204	205	288	84	matrix,mito
Q53S33	107	1	True	1	26	26	27	107	81	0	0	0	matrix,mito
Q5EBM0	449	1	True	1	247	247	248	448	201	449	449	1	matrix,mito
Q5H9E4	307	1	True	1	28	28	29	306	278	307	307	1	mito
Q5HYK3	327	1	True	1	73	73	74	327	254	0	0	0	mito
Q5JPH6	523	2	False	1	29	29	30	362	333	363	523	161	hsp60,matrix,mito
Q5JRX3	1037	4	False	1	23	23	24	293	270	294	1037	744	hsp60,matrix,mito
Q5JTJ3	125	1	True	1	37	37	38	114	77	115	125	11	mito
Q5JTZ9	985	4	False	1	36	36	37	281	245	282	985	704	hsp60,matrix,mito
Q5ST30	1063	5	False	1	101	101	102	298	197	299	1063	765	matrix,mito
Q5SVS4	291	1	True	1	6	6	7	290	284	291	291	1	mito
Q5T160	578	3	False	1	3	3	4	113	110	114	578	465	matrix,mito
Q5T1C6	240	1	True	1	30	30	31	240	210	0	0	0	mito
Q5T2R2	415	1	True	1	87	87	88	415	328	0	0	0	mito
Q5T440	356	1	True	1	42	42	43	348	306	349	356	8	hsp60,matrix,mito
Q5T653	305	2	False	1	60	60	61	166	106	167	305	139	matrix,mito
Q5T9A4	648	1	True	1	307	307	308	494	187	495	648	154	hsp60,mito
Q5TEU4	345	1	True	1	49	49	50	247	198	248	345	98	mito
Q5THJ4	4388	1	True	1	2624	2624	2625	2681	57	2682	4388	1707	mito
Q5VTE6	544	1	True	1	126	126	127	544	418	0	0	0	matrix,mito
Q5VWZ2	237	1	True	0	0	0	1	237	237	0	0	0	mito
Q68CK6	577	2	False	1	33	33	34	463	430	464	577	114	matrix,mito
Q6DKK2	380	1	True	1	162	162	163	378	216	379	380	2	mito
Q6IAN0	325	1	True	1	43	43	44	323	280	324	325	2	mito
Q6IB77	296	1	True	1	160	160	161	279	119	280	296	17	matrix,mito
Q6IN84	353	2	False	1	43	43	44	125	82	126	353	228	matrix,mito
Q6J4K2	584	2	False	1	134	134	135	258	124	259	584	326	mito
Q6JQN1	1059	7	False	1	43	43	44	242	199	243	1059	817	matrix,mito
Q6KCM7	469	3	False	1	25	25	26	93	68	94	469	376	mito
Q6L8Q7	609	1	True	1	278	278	279	609	331	0	0	0	matrix,mito
Q6NUK1	477	3	False	1	21	21	22	99	78	100	477	378	mito
Q6NUN0	579	2	False	1	43	43	44	472	429	473	579	107	matrix,mito
Q6NVY1	386	1	True	1	30	30	31	386	356	0	0	0	hsp60,matrix,mito
Q6P087	351	1	True	1	76	76	77	331	255	332	351	20	hsp60,matrix,mito
Q6P1L8	145	1	True	1	30	30	31	145	115	0	0	0	hsp60,matrix,mito
Q6P1S2	294	1	True	1	101	101	102	227	126	228	294	67	matrix,mito
Q6P4F2	183	1	True	1	63	63	64	178	115	179	183	5	matrix,mito
Q6P4H8	233	1	True	1	66	66	67	215	149	216	233	18	mito
Q6P587	221	1	True	0	0	0	1	221	221	0	0	0	hsp60,matrix,mito
Q6PI48	645	3	False	1	39	39	40	155	116	156	645	490	hsp60,matrix,mito
Q6PIV7	304	1	True	1	5	5	6	303	298	304	304	1	mito
Q6PML9	568	2	False	1	104	104	105	195	91	196	568	373	mito
Q6Q0C1	308	2	False	0	0	0	1	95	95	96	308	213	mito
Q6UB28	335	1	True	1	51	51	52	333	282	334	335	2	matrix,mito
Q6UB35	978	6	False	1	76	76	77	200	124	201	978	778	hsp60,matrix,mito
Q6UXN7	152	1	True	1	56	56	57	150	94	151	152	2	mito
Q6YFQ2	88	1	True	1	9	9	10	88	79	0	0	0	mito
Q6YN16	418	2	False	0	0	0	1	275	275	276	418	143	matrix,mito
Q6YP21	454	2	False	1	52	52	53	445	393	446	454	9	matrix,mito
Q6ZT89	311	1	True	1	7	7	8	308	301	309	311	3	mito
Q709F0	780	5	False	1	18	18	19	124	106	125	780	656	mito
Q70CQ3	517	1	True	1	54	54	55	503	449	504	517	14	mito
Q70HW3	274	1	True	1	5	5	6	272	267	273	274	2	mito
Q7KZF4	910	6	False	1	14	14	15	183	169	184	910	727	mito
Q7L0Y3	403	1	True	1	190	190	191	380	190	381	403	23	matrix,mito
Q7L2E3	1194	5	False	1	51	51	52	145	94	146	1194	1049	hsp60,matrix,mito
Q7L311	632	1	True	1	376	376	377	632	256	0	0	0	mito
Q7L3T8	475	2	False	1	58	58	59	357	299	358	475	118	matrix,mito
Q7L592	441	1	True	1	30	30	31	425	395	426	441	16	hsp60,mito
Q7Z3D6	616	3	False	1	25	25	26	256	231	257	616	360	matrix,mito
Q7Z434	540	1	True	0	0	0	1	94	94	95	540	446	mito
Q7Z4L0	72	1	True	1	28	28	29	71	43	72	72	1	mito
Q7Z4W1	244	1	True	0	0	0	1	244	244	0	0	0	hsp60,matrix,mito
Q7Z6M4	381	1	True	1	74	74	75	320	246	321	381	61	matrix,mito
Q7Z7F7	128	1	True	1	33	33	34	78	45	79	128	50	matrix,mito
Q7Z7H8	261	1	True	1	29	29	30	197	168	198	261	64	hsp60,matrix,mito
Q86SX6	157	1	True	1	43	43	44	146	103	147	157	11	hsp60,matrix,mito
Q86TW2	530	1	True	1	152	152	153	381	229	382	530	149	mito
Q86U28	154	1	True	1	48	48	49	154	106	0	0	0	matrix,mito
Q86U90	279	1	True	1	57	57	58	266	209	267	279	13	matrix,mito
Q86UT6	975	2	False	1	75	75	76	300	225	301	975	675	matrix,mito
Q86UY8	548	1	True	1	244	244	245	440	196	441	548	108	matrix,mito
Q86VD7	318	1	True	1	25	25	26	316	291	317	318	2	mito
Q86VU5	262	1	True	1	33	33	34	262	229	0	0	0	mito
Q86WA6	291	1	True	1	37	37	38	290	253	291	291	1	matrix,mito
Q86WU2	507	5	False	1	6	6	7	119	113	120	507	388	mito
Q86X67	352	2	False	1	27	27	28	196	169	197	352	156	matrix,mito
Q86X76	327	1	True	1	48	48	49	319	271	320	327	8	matrix,mito
Q86XE3	530	2	False	1	130	130	131	372	242	373	530	158	mito
Q86XE5	327	1	True	1	23	23	24	327	304	0	0	0	matrix,mito
Q86Y79	214	1	True	1	26	26	27	209	183	210	214	5	matrix,mito
Q86YB7	292	2	False	1	23	23	24	232	209	233	292	60	matrix,mito
Q86YH6	399	1	True	1	56	56	57	397	341	398	399	2	mito
Q8IUA7	1624	2	False	1	473	473	474	745	272	746	1624	879	mito
Q8IVH4	418	3	False	1	69	69	70	135	66	136	418	283	matrix,mito
Q8IVS2	390	2	False	1	64	64	65	355	291	356	390	35	matrix,mito
Q8IVS8	523	2	False	1	50	50	51	305	255	306	523	218	matrix,mito
Q8IW45	347	1	True	1	49	49	50	345	296	346	347	2	mito
Q8IWA4	741	2	False	1	77	77	78	311	234	312	741	430	mito
Q8IWL3	235	2	False	1	28	28	29	143	115	144	235	92	matrix,mito
Q8IWW8	467	2	False	1	37	37	38	232	195	233	467	235	matrix,mito
Q8IXI1	618	4	False	1	2	2	3	170	168	171	618	448	mito
Q8IXI2	618	4	False	0	0	0	1	178	178	179	618	440	mito
Q8IXL7	192	1	True	1	36	36	37	179	143	180	192	13	mito
Q8IXQ9	262	1	True	1	81	81	82	251	170	252	262	11	matrix,mito
Q8IYB8	786	5	False	1	45	45	46	174	129	175	786	612	hsp60,matrix,mito
Q8IYQ7	743	4	False	1	53	53	54	228	175	229	743	515	matrix,mito
Q8IYU8	434	2	False	1	84	84	85	270	186	271	434	164	mito
Q8N0U4	392	1	True	1	67	67	68	242	175	243	392	150	matrix,mito
Q8N0V3	343	1	True	1	78	78	79	184	106	185	343	159	matrix,mito
Q8N0X4	340	1	True	1	32	32	33	340	308	0	0	0	matrix,mito
Q8N0Z8	303	2	False	1	11	11	12	125	114	126	303	178	matrix,mito
Q8N159	534	2	False	1	95	95	96	377	282	378	534	157	matrix,mito
Q8N1Q8	247	1	True	1	51	51	52	247	196	0	0	0	matrix,mito
Q8N2A8	252	1	True	1	31	31	32	212	181	213	252	40	mito
Q8N2F6	343	2	False	1	87	87	88	181	94	182	343	162	mito
Q8N3J5	372	1	True	1	87	87	88	359	272	360	372	13	matrix,mito
Q8N3Z0	413	1	True	1	134	134	135	299	165	300	413	114	mito
Q8N413	288	1	True	1	1	1	2	287	286	288	288	1	mito
Q8N442	669	5	False	1	64	64	65	248	184	249	669	421	hsp60,matrix,mito
Q8N465	521	5	False	1	53	53	54	152	99	153	521	369	matrix,mito
Q8N490	385	1	True	1	118	118	119	385	267	0	0	0	mito
Q8N4E7	242	1	True	1	60	60	61	242	182	0	0	0	matrix,mito
Q8N4Q0	377	2	False	1	37	37	38	368	331	369	377	9	hsp60,mito
Q8N4Q1	142	1	True	1	31	31	32	110	79	111	142	32	mito
Q8N4T8	237	1	True	0	0	0	1	237	237	0	0	0	hsp60,matrix,mito
Q8N573	874	1	True	1	88	88	89	154	66	155	874	720	mito
Q8N5M1	289	2	False	1	41	41	42	103	62	104	289	186	matrix,mito
Q8N5S1	370	1	True	1	84	84	85	368	284	369	370	2	mito
Q8N5Z0	425	1	True	0	0	0	1	425	425	0	0	0	matrix,mito
Q8N8R3	303	1	True	0	0	0	1	281	281	282	303	22	mito
Q8N983	215	1	True	0	0	0	1	158	158	159	215	57	matrix,mito
Q8N9F0	302	1	True	1	143	143	144	276	133	277	302	26	mito
Q8NBN7	331	1	True	1	31	31	32	321	290	322	331	10	mito
Q8NBU5	361	2	False	1	86	86	87	348	262	349	361	13	mito
Q8NC60	698	1	True	1	198	198	199	401	203	402	698	297	mito
Q8NCN5	879	5	False	1	44	44	45	421	377	422	879	458	matrix,mito
Q8NCW5	288	1	True	1	55	55	56	288	233	0	0	0	matrix,mito
